"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"349","E3",2024-09-07,"Newport County","Port Vale",1,4,"A",1,2,"A",3.3,3.46,2.12,"1-2","1-4",9,3,24,7,3,2,2,0,0,7,14,11,5,7,25,"0-7","Y","Y","Y",5,2,5,100,1600,500,700,35,3500
"360","E3",2024-09-14,"Port Vale","Chesterfield",1,0,"H",1,0,"H",2.45,3.45,2.75,"1-0","1-0",13,4,5,0,6,0,0,0,2,7,16,10,1,9,26,"2-7","N","N","N",6,0,1,60,0,60,540,9,540
"363","E3",2024-09-21,"Accrington","Port Vale",2,2,"D",2,0,"H",3.34,3.63,2.09,"2-0","2-2",13,4,14,6,3,0,0,0,3,8,11,8,4,11,19,"3-8","Y","Y","Y",3,0,4,30,0,120,330,44,1320
"385","E3",2024-09-28,"Port Vale","Swindon",2,1,"H",0,0,"D",1.88,3.56,3.91,"0-0","2-1",20,6,4,1,3,1,0,0,12,3,15,11,3,15,26,"12-3","Y","Y","N",4,0,3,40,300,120,600,45,1800
"394","E3",2024-10-01,"Port Vale","Colchester",1,1,"D",0,0,"D",1.84,3.65,4.29,"0-0","1-1",16,4,11,2,2,4,0,0,3,3,8,8,2,6,16,"3-3","Y","N","N",6,0,2,60,800,120,360,12,720
"405","E3",2024-10-05,"Notts County","Port Vale",0,1,"A",0,1,"A",2.44,3.42,2.77,"0-1","0-1",15,3,8,3,3,4,0,0,6,3,8,13,1,9,21,"6-3","N","N","N",7,0,1,70,1200,70,630,9,630
"332","E3",2024-08-31,"AFC Wimbledon","Fleetwood Town",1,0,"H",1,0,"H",2.18,3.46,3.37,"1-0","1-0",20,5,9,1,3,2,0,0,9,6,15,10,1,15,25,"9-6","N","N","N",5,0,1,50,600,50,750,15,750
"356","E3",2024-09-14,"Carlisle","Fleetwood Town",2,3,"A",1,2,"A",2.31,3.45,2.95,"1-2","2-3",9,5,13,4,4,4,0,0,3,4,11,17,5,7,28,"3-4","Y","Y","Y",8,0,5,80,1600,400,560,35,2800
"374","E3",2024-09-23,"Fleetwood Town","Morecambe",2,2,"D",2,0,"H",1.57,4.02,5.44,"2-0","2-2",25,12,9,4,6,4,0,0,5,1,14,12,4,6,26,"5-1","Y","Y","Y",10,0,4,100,2400,400,600,24,2400
"380","E3",2024-09-28,"Cheltenham","Fleetwood Town",0,2,"A",0,1,"A",2.87,3.39,2.39,"0-1","0-2",6,1,14,5,2,3,0,0,2,6,13,13,2,8,26,"2-6","Y","N","N",5,0,2,50,600,100,400,16,800
"396","E3",2024-10-01,"Walsall","Fleetwood Town",2,6,"A",2,1,"H",2.01,3.56,3.7,"2-1","2-6",17,3,12,7,0,2,0,0,5,5,10,5,8,10,15,"5-5","Y","Y","Y",2,0,8,20,0,160,200,80,1600
"397","E3",2024-10-05,"Fleetwood Town","Bromley",0,0,"D",0,0,"D",1.73,3.85,4.56,"0-0","0-0",16,2,13,4,0,1,0,0,6,4,12,7,0,10,19,"6-4","N","N","N",1,0,0,10,0,0,100,0,0
"13","E3",2024-10-05,"Fleetwood Town","Bromley",0,0,"D",0,0,"D",1.73,3.85,4.56,"0-0","0-0",16,2,13,4,0,1,0,0,6,4,12,7,0,10,19,"6-4","N","N","N",1,0,3,55.8333333333333,758.333333333333,175,480.833333333333,27,1405
