"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"311","E3",2023-08-26,"Newport County","Sutton",3,1,"H",0,0,"D",1.99,3.54,3.99,"0-0","3-1",13,5,15,5,1,3,0,0,1,6,8,10,4,7,18,"1-6","Y","Y","Y",4,0,4,40,300,160,280,28,1120
"326","E3",2023-09-02,"Sutton","Forest Green",0,1,"A",0,0,"D",2.09,3.45,3.76,"0-0","0-1",12,2,17,6,1,2,0,0,7,3,13,14,1,10,27,"7-3","N","N","N",3,0,1,30,200,30,300,10,300
"337","E3",2023-09-09,"Swindon","Sutton",5,3,"H",3,2,"H",1.83,3.85,4.34,"3-2","5-3",15,7,13,5,1,2,0,0,5,3,4,6,8,8,10,"5-3","Y","Y","Y",3,0,8,30,200,240,240,64,1920
"340","E3",2023-09-16,"Accrington","Sutton",4,1,"H",1,0,"H",2.09,3.63,3.57,"1-0","4-1",15,5,12,1,3,1,0,0,2,3,10,12,5,5,22,"2-3","Y","Y","Y",4,0,5,40,300,200,200,25,1000
"360","E3",2023-09-23,"Sutton","Milton Keynes Dons",1,1,"D",1,0,"H",2.66,3.42,2.74,"1-0","1-1",10,5,12,2,0,1,0,0,7,10,10,13,2,17,23,"7-10","Y","N","N",1,0,2,10,0,20,170,34,340
"304","E3",2023-08-26,"AFC Wimbledon","Forest Green",1,1,"D",1,0,"H",1.82,3.7,4.64,"1-0","1-1",22,6,8,3,2,1,0,0,9,2,12,4,2,11,16,"9-2","Y","N","N",3,0,2,30,200,60,330,22,660
"3261","E3",2023-09-02,"Sutton","Forest Green",0,1,"A",0,0,"D",2.09,3.45,3.76,"0-0","0-1",12,2,17,6,1,2,0,0,7,3,13,14,1,10,27,"7-3","N","N","N",3,0,1,30,200,30,300,10,300
"333","E3",2023-09-09,"Forest Green","Crewe",1,4,"A",1,0,"H",2.18,3.52,3.44,"1-0","1-4",9,4,18,5,4,3,0,0,3,7,12,10,5,10,22,"3-7","Y","Y","Y",7,0,5,70,1200,350,700,50,3500
"345","E3",2023-09-16,"Forest Green","Doncaster",1,2,"A",0,1,"A",2.21,3.59,3.3,"0-1","1-2",28,3,15,7,4,2,0,0,10,12,8,10,3,22,18,"10-12","Y","Y","N",6,0,3,60,800,180,1320,66,3960
"358","E3",2023-09-23,"Notts County","Forest Green",4,3,"H",2,0,"H",1.51,4.79,5.96,"2-0","4-3",11,6,14,4,3,5,0,0,7,10,10,11,7,17,21,"7-10","Y","Y","Y",8,0,7,80,1500,560,1360,119,9520
"11","E3",2023-09-23,"Notts County","Forest Green",4,3,"H",2,0,"H",1.51,4.79,5.96,"2-0","4-3",11,6,14,4,3,5,0,0,7,10,10,11,7,17,21,"7-10","Y","Y","Y",8,0,3.8,42,490,183,520,42.8,2262
