"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"341","E3",2024-09-07,"Barrow","Swindon",1,1,"D",1,0,"H",1.78,3.61,4.39,"1-0","1-1",7,3,19,5,1,2,1,1,6,5,11,10,2,11,21,"6-5","Y","N","N",3,2,2,80,1575,160,880,22,1760
"353","E3",2024-09-14,"Swindon","Newport County",4,0,"H",4,0,"H",1.76,3.94,4.09,"4-0","4-0",13,6,3,0,1,0,0,0,3,1,11,8,4,4,19,"3-1","Y","Y","Y",1,0,4,10,0,40,40,16,160
"373","E3",2024-09-21,"Swindon","Carlisle",0,2,"A",0,1,"A",1.98,3.5,3.65,"0-1","0-2",17,2,8,2,0,3,0,0,9,5,10,9,2,14,19,"9-5","Y","N","N",3,0,2,30,0,60,420,28,840
"385","E3",2024-09-28,"Port Vale","Swindon",2,1,"H",0,0,"D",1.88,3.56,3.91,"0-0","2-1",20,6,4,1,3,1,0,0,12,3,15,11,3,15,26,"12-3","Y","Y","N",4,0,3,40,300,120,600,45,1800
"395","E3",2024-10-01,"Tranmere","Swindon",1,1,"D",1,0,"H",2.21,3.31,3.39,"1-0","1-1",15,3,16,2,0,2,0,0,4,6,6,10,2,10,16,"4-6","Y","N","N",2,0,2,20,0,40,200,20,400
"407","E3",2024-10-05,"Swindon","Harrogate",0,0,"D",0,0,"D",1.77,3.87,4.13,"0-0","0-0",13,2,7,1,1,1,0,0,6,2,12,12,0,8,24,"6-2","N","N","N",2,0,0,20,100,0,160,0,0
"347","E3",2024-09-07,"Doncaster","Gillingham",1,0,"H",1,0,"H",1.8,3.61,4.25,"1-0","1-0",10,3,6,1,1,1,0,0,3,5,17,16,1,8,33,"3-5","N","N","N",2,0,1,20,100,20,160,8,160
"351","E3",2024-09-12,"Harrogate","Doncaster",2,0,"H",2,0,"H",4.27,3.68,1.78,"2-0","2-0",8,4,21,5,3,3,0,0,5,6,16,8,2,11,24,"5-6","Y","N","N",6,0,2,60,900,120,660,22,1320
"370","E3",2024-09-21,"Milton Keynes Dons","Doncaster",1,1,"D",1,0,"H",2.43,3.45,2.77,"1-0","1-1",11,3,13,6,2,1,1,1,4,5,8,8,2,9,16,"4-5","Y","N","N",3,2,2,80,1575,160,720,18,1440
"381","E3",2024-09-28,"Doncaster","Chesterfield",0,3,"A",0,1,"A",2.06,3.45,3.45,"0-1","0-3",7,1,6,4,3,2,2,0,4,10,16,9,3,14,25,"4-10","Y","Y","N",5,2,3,100,1600,300,1400,42,4200
"389","E3",2024-10-01,"Doncaster","Barrow",1,0,"H",0,0,"D",2.21,3.36,3.34,"0-0","1-0",13,4,5,1,0,2,0,0,5,4,9,11,1,9,20,"5-4","N","N","N",2,0,1,20,0,20,180,9,180
"398","E3",2024-10-05,"Grimsby","Doncaster",0,3,"A",0,3,"A",2.93,3.46,2.36,"0-3","0-3",10,3,8,5,2,0,1,0,4,4,7,11,3,8,18,"4-4","Y","Y","N",2,1,3,45,0,135,360,24,1080
"13","E3",2024-10-05,"Grimsby","Doncaster",0,3,"A",0,3,"A",2.93,3.46,2.36,"0-3","0-3",10,3,8,5,2,0,1,0,4,4,7,11,3,8,18,"4-4","Y","Y","N",2,1,2.08333333333333,43.75,512.5,97.9166666666667,481.666666666667,21.1666666666667,1111.66666666667
