"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"436","E3",2023-09-16,"Crawley Town","Tranmere",3,2,"H",0,1,"A",2.22,3.59,3.28,"0-1","3-2",16,7,7,4,4,5,0,0,9,0,7,9,5,9,16,"9-0","Y","Y","Y",9,0,5,90,2000,450,810,45,4050
"453","E3",2023-09-23,"Tranmere","Accrington",2,0,"H",1,0,"H",2.74,3.49,2.62,"1-0","2-0",17,7,9,3,0,3,0,1,8,6,11,16,2,14,27,"8-6","Y","N","N",3,1,2,55,0,110,770,28,1540
"456","E3",2023-09-30,"AFC Wimbledon","Tranmere",4,1,"H",2,1,"H",1.72,3.93,4.97,"2-1","4-1",19,8,8,2,1,2,0,1,4,4,9,10,5,8,19,"4-4","Y","Y","Y",3,1,5,55,450,275,440,40,2200
"477","E3",2023-10-03,"Tranmere","Bradford",2,1,"H",1,0,"H",3.36,3.34,2.29,"1-0","2-1",9,5,10,5,3,3,0,0,5,6,6,15,3,11,21,"5-6","Y","Y","N",6,0,3,60,900,180,660,33,1980
"490","E3",2023-10-07,"Tranmere","Grimsby",2,2,"D",1,2,"A",2.73,3.42,2.67,"1-2","2-2",8,3,13,5,1,1,0,0,1,5,10,9,4,6,19,"1-5","Y","Y","Y",2,0,4,20,100,80,120,24,480
"442","E3",2023-09-16,"Wrexham","Grimsby",3,0,"H",2,0,"H",1.66,4.19,5.1,"2-0","3-0",17,9,9,1,2,2,0,0,3,1,7,6,3,4,13,"3-1","Y","Y","N",4,0,3,40,400,120,160,12,480
"445","E3",2023-09-23,"Grimsby","Crawley Town",2,3,"A",2,2,"D",2.07,3.62,3.64,"2-2","2-3",18,7,13,3,1,1,0,0,5,5,14,8,5,10,22,"5-5","Y","Y","Y",2,0,5,20,100,100,200,50,1000
"465","E3",2023-09-30,"Swindon","Grimsby",2,1,"H",1,0,"H",1.86,3.91,4.12,"1-0","2-1",8,3,13,4,2,2,0,0,9,7,5,10,3,16,15,"9-7","Y","Y","N",4,0,3,40,400,120,640,48,1920
"469","E3",2023-10-03,"Grimsby","Barrow",2,1,"H",1,0,"H",2.17,3.33,3.68,"1-0","2-1",9,6,24,7,1,1,0,0,4,7,13,11,3,11,24,"4-7","Y","Y","N",2,0,3,20,100,60,220,33,660
"4901","E3",2023-10-07,"Tranmere","Grimsby",2,2,"D",1,2,"A",2.73,3.42,2.67,"1-2","2-2",8,3,13,5,1,1,0,0,1,5,10,9,4,6,19,"1-5","Y","Y","Y",2,0,4,20,100,80,120,24,480
"11","E3",2023-10-07,"Tranmere","Grimsby",2,2,"D",1,2,"A",2.73,3.42,2.67,"1-2","2-2",8,3,13,5,1,1,0,0,1,5,10,9,4,6,19,"1-5","Y","Y","Y",2,0,3.7,42,455,157.5,414,33.7,1479
