"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1465","E3",2024-02-10,"Doncaster","Tranmere",2,1,"H",1,0,"H",2.44,3.49,2.97,"1-0","2-1",4,3,11,3,1,3,0,0,2,10,13,7,3,12,20,"2-10","Y","Y","N",4,0,3,40,300,120,480,36,1440
"1484","E3",2024-02-13,"Tranmere","Morecambe",2,3,"A",2,1,"H",2.02,3.65,3.77,"2-1","2-3",10,5,18,6,5,2,0,0,0,10,12,13,5,10,25,"0-10","Y","Y","Y",7,0,5,70,1000,350,700,50,3500
"1494","E3",2024-02-17,"Tranmere","Stockport",4,0,"H",1,0,"H",4.69,3.82,1.78,"1-0","4-0",16,9,11,3,1,2,0,0,7,6,8,9,4,13,17,"7-6","Y","Y","Y",3,0,4,30,200,120,390,52,1560
"1503","E3",2024-02-24,"Forest Green","Tranmere",1,0,"H",1,0,"H",2.53,3.47,2.86,"1-0","1-0",4,3,20,4,1,2,0,1,1,9,9,10,1,10,19,"1-9","N","N","N",3,1,1,55,450,55,550,10,550
"1516","E3",2024-02-27,"Swindon","Tranmere",3,1,"H",2,1,"H",2.46,3.52,2.92,"2-1","3-1",15,7,9,3,2,1,0,0,9,5,12,12,4,14,24,"9-5","Y","Y","Y",3,0,4,30,200,120,420,56,1680
"1524","E3",2024-03-02,"Tranmere","Sutton",1,0,"H",0,0,"D",2.03,3.58,3.84,"0-0","1-0",24,13,11,6,3,3,0,0,9,8,4,13,1,17,17,"9-8","N","N","N",6,0,1,60,900,60,1020,17,1020
"1468","E3",2024-02-10,"Harrogate","Colchester",1,0,"H",0,0,"D",2.19,3.62,3.33,"0-0","1-0",11,6,25,5,1,3,0,0,7,9,4,12,1,16,16,"7-9","N","N","N",4,0,1,40,300,40,640,16,640
"1479","E3",2024-02-13,"Mansfield","Harrogate",9,2,"H",5,0,"H",1.44,4.83,7.27,"5-0","9-2",23,13,7,3,1,0,0,0,6,3,11,5,11,9,16,"6-3","Y","Y","Y",1,0,11,10,0,110,90,99,990
"1489","E3",2024-02-17,"Crewe","Harrogate",0,0,"D",0,0,"D",1.79,3.88,4.56,"0-0","0-0",18,2,1,0,0,3,0,0,7,1,11,12,0,8,23,"7-1","N","N","N",3,0,0,30,0,0,240,0,0
"1505","E3",2024-02-24,"Harrogate","Walsall",0,2,"A",0,0,"D",3.06,3.35,2.45,"0-0","0-2",12,0,16,6,0,2,0,0,7,4,2,7,2,11,9,"7-4","Y","N","N",2,0,2,20,0,40,220,22,440
"1513","E3",2024-02-27,"Harrogate","Newport County",1,4,"A",0,2,"A",2.59,3.43,2.81,"0-2","1-4",7,1,16,6,1,0,0,0,1,8,7,15,5,9,22,"1-8","Y","Y","Y",1,0,5,10,0,50,90,45,450
"1523","E3",2024-03-02,"Swindon","Harrogate",1,1,"D",0,0,"D",1.83,3.99,4.2,"0-0","1-1",15,3,9,1,1,1,0,0,11,5,7,10,2,16,17,"11-5","Y","N","N",2,0,2,20,100,40,320,32,640
"13","E3",2024-03-02,"Swindon","Harrogate",1,1,"D",0,0,"D",1.83,3.99,4.2,"0-0","1-1",15,3,9,1,1,1,0,0,11,5,7,10,2,16,17,"11-5","Y","N","N",2,0,3.25,34.5833333333333,287.5,92.0833333333333,430,36.25,1075.83333333333
