"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2520","EC",2023-04-07,"Chesterfield","York",1,3,"A",1,1,"D",1.41,4.72,7.54,"1-1","1-3",0,0,0,0,3,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",5,0,4,50,600,200,0,0,0
"2532","EC",2023-04-10,"Dag and Red","Chesterfield",0,1,"A",0,0,"D",5.88,4.3,1.54,"0-0","0-1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",1,0,1,10,0,10,0,0,0
"2545","EC",2023-04-15,"Chesterfield","Eastleigh",3,2,"H",0,2,"A",1.58,4.16,5.67,"0-2","3-2",0,0,0,0,2,3,0,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",5,0,5,50,600,250,0,0,0
"2556","EC",2023-04-18,"Chesterfield","Torquay",5,1,"H",3,0,"H",1.35,5.17,8.36,"3-0","5-1",0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",1,0,6,10,0,60,0,0,0
"2563","EC",2023-04-22,"Bromley","Chesterfield",2,0,"H",1,0,"H",3.26,3.53,2.17,"1-0","2-0",0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",6,0,2,60,800,120,0,0,0
"2580","EC",2023-04-29,"Chesterfield","Maidstone",4,0,"H",0,0,"D",1.15,7.84,17.23,"0-0","4-0",0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",3,0,4,30,200,120,0,0,0
"2528","EC",2023-04-07,"Torquay","Eastleigh",2,0,"H",0,0,"D",2.59,3.48,2.7,"0-0","2-0",0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",7,0,2,70,1200,140,0,0,0
"2533","EC",2023-04-10,"Eastleigh","Aldershot",3,3,"D",3,1,"H",1.95,3.63,3.86,"3-1","3-3",0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",4,0,6,40,300,240,0,0,0
"2541","EC",2023-04-12,"Eastleigh","Gateshead",2,5,"A",1,2,"A",2.46,3.39,2.92,"1-2","2-5",0,0,0,0,2,3,0,0,0,0,0,0,7,0,0,"0-0","Y","Y","Y",5,0,7,50,600,350,0,0,0
"25451","EC",2023-04-15,"Chesterfield","Eastleigh",3,2,"H",0,2,"A",1.58,4.16,5.67,"0-2","3-2",0,0,0,0,2,3,0,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",5,0,5,50,600,250,0,0,0
"2565","EC",2023-04-22,"Eastleigh","Solihull",0,0,"D",0,0,"D",1.97,3.81,3.61,"0-0","0-0",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-0","N","N","N",1,1,0,35,250,0,0,0,0
"2583","EC",2023-04-29,"Halifax","Eastleigh",1,1,"D",0,1,"A",1.85,3.64,4.33,"0-1","1-1",0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"13","EC",2023-04-29,"Halifax","Eastleigh",1,1,"D",0,1,"A",1.85,3.64,4.33,"0-1","1-1",0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,3.66666666666667,40.4166666666667,445.833333333333,150,0,0,0
