"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1408","EC",2023-11-25,"Fylde","Dorking",3,3,"D",3,1,"H",1.62,4.48,4.77,"3-1","3-3",0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",2,0,6,20,100,120,0,0,0
"1428","EC",2023-12-16,"Dorking","Woking",1,2,"A",1,1,"D",3.5,3.77,2.02,"1-1","1-2",0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",3,0,3,30,200,90,0,0,0
"1437","EC",2023-12-23,"Eastleigh","Dorking",2,1,"H",1,0,"H",1.69,4.2,4.57,"1-0","2-1",0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",1,0,3,10,0,30,0,0,0
"1451","EC",2023-12-26,"Dorking","Oxford City",0,2,"A",0,0,"D",2.21,3.84,3.05,"0-0","0-2",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",1,0,2,10,0,20,0,0,0
"1467","EC",2024-01-01,"Oxford City","Dorking",1,2,"A",0,0,"D",2.07,3.82,3.33,"0-0","1-2",0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",7,0,3,70,1200,210,0,0,0
"1471","EC",2024-01-06,"Dorking","Oldham",0,1,"A",0,1,"A",4.16,4.31,1.74,"0-1","0-1",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",2,0,1,20,0,20,0,0,0
"1414","EC",2023-11-25,"Gateshead","Southend",1,1,"D",1,0,"H",1.93,3.8,3.79,"1-0","1-1",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",1,0,2,10,0,20,0,0,0
"1423","EC",2023-12-16,"Gateshead","Halifax",0,2,"A",0,1,"A",1.62,4.14,5.23,"0-1","0-2",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",1,0,2,10,0,20,0,0,0
"1441","EC",2023-12-23,"Oldham","Gateshead",1,2,"A",1,0,"H",3.15,3.68,2.2,"1-0","1-2",0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",5,0,3,50,600,150,0,0,0
"1453","EC",2023-12-26,"Gateshead","York",1,1,"D",0,1,"A",1.44,4.77,6.8,"0-1","1-1",0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",4,0,2,40,400,80,0,0,0
"1469","EC",2024-01-01,"York","Gateshead",2,0,"H",1,0,"H",4.81,4.48,1.62,"1-0","2-0",0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"1481","EC",2024-01-10,"Chesterfield","Gateshead",5,0,"H",4,0,"H",1.52,4.49,5.87,"4-0","5-0",0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",2,0,5,20,100,100,0,0,0
"13","EC",2024-01-10,"Chesterfield","Gateshead",5,0,"H",4,0,"H",1.52,4.49,5.87,"4-0","5-0",0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",2,0,2.83333333333333,26.6666666666667,233.333333333333,76.6666666666667,0,0,0
