"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1854","EC",2023-02-18,"Bromley","Dorking",2,0,"H",1,0,"H",1.66,4.24,4.76,"1-0","2-0",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",0,0,2,0,0,0,0,0,0
"1867","EC",2023-02-21,"Dorking","Torquay",3,2,"H",1,1,"D",2.71,3.8,2.42,"1-1","3-2",0,0,0,0,3,1,0,1,0,0,0,0,5,0,0,"0-0","Y","Y","Y",4,1,5,65,1050,325,0,0,0
"1885","EC",2023-02-25,"Wrexham","Dorking",3,1,"H",2,0,"H",1.13,9.04,19.7,"2-0","3-1",0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",2,0,4,20,0,80,0,0,0
"1889","EC",2023-02-28,"Boreham Wood","Dorking",1,0,"H",1,0,"H",1.49,4.54,6.26,"1-0","1-0",0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,1,30,200,30,0,0,0
"1901","EC",2023-03-04,"Dorking","Halifax",0,0,"D",0,0,"D",2.92,3.65,2.34,"0-0","0-0",0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,"0-0","N","N","N",6,0,0,60,900,0,0,0,0
"1911","EC",2023-03-07,"Dorking","Barnet",2,1,"H",1,1,"D",3.19,4.23,2.02,"1-1","2-1",0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",5,0,3,50,400,150,0,0,0
"1860","EC",2023-02-18,"Torquay","Barnet",2,1,"H",1,0,"H",2.97,3.57,2.28,"1-0","2-1",0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",3,0,3,30,200,90,0,0,0
"18671","EC",2023-02-21,"Dorking","Torquay",3,2,"H",1,1,"D",2.71,3.8,2.42,"1-1","3-2",0,0,0,0,3,1,0,1,0,0,0,0,5,0,0,"0-0","Y","Y","Y",4,1,5,65,1050,325,0,0,0
"1883","EC",2023-02-25,"Torquay","Southend",1,2,"A",0,1,"A",3.86,3.68,1.94,"0-1","1-2",0,0,0,0,2,4,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",6,0,3,60,800,180,0,0,0
"1894","EC",2023-02-28,"Torquay","Bromley",1,2,"A",0,1,"A",2.81,3.49,2.49,"0-1","1-2",0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",3,0,3,30,200,90,0,0,0
"1898","EC",2023-03-04,"Aldershot","Torquay",1,1,"D",1,1,"D",2.27,3.61,3.06,"1-1","1-1",0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",2,0,2,20,0,40,0,0,0
"1916","EC",2023-03-07,"Solihull","Torquay",3,2,"H",2,1,"H",1.83,3.85,4.16,"2-1","3-2",0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",2,1,5,45,350,225,0,0,0
"13","EC",2023-03-07,"Solihull","Torquay",3,2,"H",2,1,"H",1.83,3.85,4.16,"2-1","3-2",0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,"0-0","Y","Y","Y",2,1,3,39.5833333333333,429.166666666667,127.916666666667,0,0,0
