"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2089","EC",2023-03-07,"Dorking","Barnet",2,1,"H",1,1,"D",3.19,4.23,2.02,"1-1","2-1",0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",5,0,3,50,400,150,0,0,0
"2103","EC",2023-03-11,"Notts County","Dorking",3,1,"H",1,1,"D",1.14,8.28,18.04,"1-1","3-1",0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",2,0,4,20,100,80,0,0,0
"2122","EC",2023-03-18,"York","Dorking",2,1,"H",1,0,"H",1.92,3.79,3.84,"1-0","2-1",0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",4,0,3,40,400,120,0,0,0
"2127","EC",2023-03-25,"Dorking","Maidenhead",3,1,"H",1,0,"H",2.75,3.75,2.41,"1-0","3-1",0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",2,0,4,20,100,80,0,0,0
"2137","EC",2023-03-28,"Dorking","Southend",1,0,"H",1,0,"H",3.36,3.87,2.04,"1-0","1-0",0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,1,30,0,30,0,0,0
"2145","EC",2023-04-01,"Dag and Red","Dorking",0,2,"A",0,0,"D",2.15,3.86,3.11,"0-0","0-2",0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"2085","EC",2023-03-04,"Yeovil","Woking",0,1,"A",0,1,"A",4.33,3.39,1.93,"0-1","0-1",0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",5,0,1,50,400,50,0,0,0
"2092","EC",2023-03-07,"Oldham","Woking",1,0,"H",0,0,"D",3.84,3.49,2,"0-0","1-0",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",2,0,1,20,0,20,0,0,0
"2101","EC",2023-03-11,"Woking","Maidenhead",2,0,"H",1,0,"H",1.6,3.93,5.68,"1-0","2-0",0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",2,0,2,20,100,40,0,0,0
"2111","EC",2023-03-18,"Woking","Chesterfield",0,1,"A",0,1,"A",2.58,3.32,2.81,"0-1","0-1",0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",5,0,1,50,600,50,0,0,0
"2128","EC",2023-03-25,"Maidstone","Woking",1,2,"A",0,0,"D",6.67,4.21,1.51,"0-0","1-2",0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",4,0,3,40,300,120,0,0,0
"2142","EC",2023-03-28,"Woking","Barnet",1,1,"D",0,1,"A",1.74,4.21,4.28,"0-1","1-1",0,0,0,0,3,5,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",8,0,2,80,1500,160,0,0,0
"13","EC",2023-03-28,"Woking","Barnet",1,1,"D",0,1,"A",1.74,4.21,4.28,"0-1","1-1",0,0,0,0,3,5,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",8,0,2.25,37.5,341.666666666667,80,0,0,0
