"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1814","EC",2024-01-27,"Gateshead","Barnet",2,1,"H",0,1,"A",2.56,3.93,2.5,"0-1","2-1",0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",5,0,3,50,600,150,0,0,0
"1830","EC",2024-02-03,"Southend","Gateshead",0,1,"A",0,0,"D",1.77,3.94,4.39,"0-0","0-1",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,1,30,200,30,0,0,0
"1835","EC",2024-02-06,"Gateshead","Eastleigh",1,1,"D",0,0,"D",1.46,4.99,6,"0-0","1-1",0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"1860","EC",2024-02-17,"Wealdstone","Gateshead",2,4,"A",1,3,"A",2.19,4.01,2.95,"1-3","2-4",0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",2,0,6,20,100,120,0,0,0
"1868","EC",2024-02-20,"Kidderminster","Gateshead",0,2,"A",0,1,"A",2.59,3.46,2.71,"0-1","0-2",0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"1879","EC",2024-02-24,"Gateshead","Oxford City",4,0,"H",1,0,"H",1.23,6.77,10.78,"1-0","4-0",0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,"0-0","Y","Y","Y",2,1,4,45,350,180,0,0,0
"1799","EC",2024-01-23,"Aldershot","Bromley",1,1,"D",1,0,"H",2.8,3.57,2.46,"1-0","1-1",0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,0,60,0,0,0
"1813","EC",2024-01-27,"Fylde","Bromley",1,0,"H",1,0,"H",2.57,3.47,2.73,"1-0","1-0",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",2,0,1,20,100,20,0,0,0
"1823","EC",2024-02-03,"Bromley","Hartlepool",1,2,"A",1,1,"D",1.81,3.92,4.21,"1-1","1-2",0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",2,0,3,20,0,60,0,0,0
"1851","EC",2024-02-17,"Bromley","Chesterfield",4,3,"H",0,1,"A",3.74,3.78,1.94,"0-1","4-3",0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,"0-0","Y","Y","Y",2,0,7,20,100,140,0,0,0
"1864","EC",2024-02-20,"Bromley","Dag and Red",2,2,"D",2,0,"H",2.05,3.75,3.44,"2-0","2-2",0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",4,0,4,40,300,160,0,0,0
"1872","EC",2024-02-24,"Eastleigh","Bromley",2,0,"H",0,0,"D",3.51,4.04,1.95,"0-0","2-0",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",1,0,2,10,0,20,0,0,0
"13","EC",2024-02-24,"Eastleigh","Bromley",2,0,"H",0,0,"D",3.51,4.04,1.95,"0-0","2-0",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",1,0,3.08333333333333,28.75,179.166666666667,88.3333333333333,0,0,0
