"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"348","EC",2024-08-31,"Ebbsfleet","Halifax",0,1,"A",0,1,"A",2.51,3.25,2.88,"0-1","0-1",0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,"0-0","N","N","N",4,1,1,65,1050,65,0,0,0
"359","EC",2024-09-07,"Hartlepool","Halifax",0,0,"D",0,0,"D",2.16,3.24,3.4,"0-0","0-0",0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,"0-0","N","N","N",6,0,0,60,800,0,0,0,0
"371","EC",2024-09-10,"Halifax","Oldham",1,1,"D",0,0,"D",2.93,3.21,2.53,"0-0","1-1",0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,"0-0","Y","N","N",4,1,2,65,900,130,0,0,0
"381","EC",2024-09-14,"Halifax","Eastleigh",3,1,"H",2,0,"H",2.23,3.49,3.02,"2-0","3-1",0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",3,0,4,30,200,120,0,0,0
"397","EC",2024-09-21,"Maidenhead","Halifax",0,1,"A",0,0,"D",2.66,3.23,2.63,"0-0","0-1",0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,1,30,200,30,0,0,0
"404","EC",2024-09-24,"Braintree Town","Halifax",1,0,"H",0,0,"D",2.96,3.2,2.51,"0-0","1-0",0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",6,0,1,60,800,60,0,0,0
"352","EC",2024-08-31,"Solihull","Wealdstone",1,1,"D",1,0,"H",1.99,3.94,3.32,"1-0","1-1",0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",4,0,2,40,300,80,0,0,0
"364","EC",2024-09-07,"Wealdstone","York",0,2,"A",0,1,"A",3.33,3.53,2.07,"0-1","0-2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",0,0,2,0,0,0,0,0,0
"374","EC",2024-09-10,"Woking","Wealdstone",1,0,"H",1,0,"H",2.11,3.46,3.49,"1-0","1-0",0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",5,0,1,50,600,50,0,0,0
"380","EC",2024-09-14,"Forest Green","Wealdstone",2,2,"D",2,1,"H",1.45,4.33,6.4,"2-1","2-2",0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",3,0,4,30,200,120,0,0,0
"401","EC",2024-09-21,"Wealdstone","Barnet",0,3,"A",0,0,"D",4.15,3.91,1.74,"0-0","0-3",0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",7,0,3,70,1000,210,0,0,0
"413","EC",2024-09-24,"Wealdstone","Southend",1,1,"D",0,0,"D",3.26,3.56,2.17,"0-0","1-1",0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",4,0,2,40,300,80,0,0,0
"13","EC",2024-09-24,"Wealdstone","Southend",1,1,"D",0,0,"D",3.26,3.56,2.17,"0-0","1-1",0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",4,0,1.91666666666667,45,529.166666666667,78.75,0,0,0
