"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2331","EC",2024-03-16,"Oldham","Chesterfield",2,2,"D",2,1,"H",4.16,3.73,1.85,"2-1","2-2",0,0,0,0,3,4,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",7,0,4,70,1200,280,0,0,0
"2351","EC",2024-03-23,"Dag and Red","Oldham",0,0,"D",0,0,"D",2.22,3.65,3.12,"0-0","0-0",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"0-0","N","N","N",2,0,0,20,100,0,0,0,0
"2367","EC",2024-03-29,"Oldham","Fylde",1,3,"A",1,3,"A",2.23,3.58,3.1,"1-3","1-3",0,0,0,0,4,1,1,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",5,1,4,75,650,300,0,0,0
"2373","EC",2024-04-01,"Altrincham","Oldham",1,0,"H",1,0,"H",2.23,3.37,3.29,"1-0","1-0",0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",4,0,1,40,300,40,0,0,0
"2383","EC",2024-04-06,"Oldham","Rochdale",1,1,"D",1,1,"D",2.1,3.4,3.55,"1-1","1-1",0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"2405","EC",2024-04-13,"Oxford City","Oldham",0,0,"D",0,0,"D",5.24,4.37,1.57,"0-0","0-0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0-0","N","N","N",1,0,0,10,0,0,0,0,0
"2368","EC",2024-03-29,"Oxford City","Wealdstone",1,0,"H",1,0,"H",4.29,4.07,1.74,"1-0","1-0",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",2,0,1,20,0,20,0,0,0
"2381","EC",2024-04-01,"Wealdstone","Solihull",0,1,"A",0,0,"D",2.69,3.55,2.55,"0-0","0-1",0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",4,0,1,40,400,40,0,0,0
"2384","EC",2024-04-06,"Boreham Wood","Wealdstone",4,0,"H",1,0,"H",2.02,3.7,3.51,"1-0","4-0",0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",2,0,4,20,100,80,0,0,0
"2395","EC",2024-04-09,"Wealdstone","Southend",1,2,"A",1,1,"D",4.8,3.54,1.78,"1-1","1-2",0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",2,0,3,20,0,60,0,0,0
"2397","EC",2024-04-11,"Wealdstone","Dorking",4,2,"H",0,0,"D",NA,NA,NA,"0-0","4-2",0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",4,0,6,40,300,240,0,0,0
"2407","EC",2024-04-13,"Wealdstone","Chesterfield",1,0,"H",0,0,"D",3.8,3.83,1.89,"0-0","1-0",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,1,30,200,30,0,0,0
"13","EC",2024-04-13,"Wealdstone","Chesterfield",1,0,"H",0,0,"D",3.8,3.83,1.89,"0-0","1-0",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",3,0,2.25,34.5833333333333,287.5,95.8333333333333,0,0,0
