"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2325","EC",2024-03-12,"Chesterfield","Oxford City",2,0,"H",1,0,"H",1.09,12.35,19.57,"1-0","2-0",0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",7,0,2,70,1200,140,0,0,0
"2342","EC",2024-03-17,"Oxford City","Halifax",0,2,"A",0,2,"A",4.81,3.79,1.74,"0-2","0-2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",0,0,2,0,0,0,0,0,0
"2353","EC",2024-03-23,"Fylde","Oxford City",2,1,"H",0,1,"A",1.26,6.24,9.64,"0-1","2-1",0,0,0,0,1,5,0,0,0,0,0,0,3,0,0,"0-0","Y","Y","N",6,0,3,60,500,180,0,0,0
"2368","EC",2024-03-29,"Oxford City","Wealdstone",1,0,"H",1,0,"H",4.29,4.07,1.74,"1-0","1-0",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"0-0","N","N","N",2,0,1,20,0,20,0,0,0
"2374","EC",2024-04-01,"Barnet","Oxford City",3,1,"H",1,0,"H",1.15,8.7,14,"1-0","3-1",0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",6,0,4,60,800,240,0,0,0
"2405","EC",2024-04-13,"Oxford City","Oldham",0,0,"D",0,0,"D",5.24,4.37,1.57,"0-0","0-0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0-0","N","N","N",1,0,0,10,0,0,0,0,0
"2348","EC",2024-03-23,"Barnet","Dorking",6,0,"H",4,0,"H",1.42,5.14,6.65,"4-0","6-0",0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,"0-0","Y","Y","Y",6,0,6,60,900,360,0,0,0
"2369","EC",2024-03-29,"Solihull","Barnet",2,2,"D",1,2,"A",3.73,3.7,1.95,"1-2","2-2",0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",3,0,4,30,0,120,0,0,0
"23741","EC",2024-04-01,"Barnet","Oxford City",3,1,"H",1,0,"H",1.15,8.7,14,"1-0","3-1",0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",6,0,4,60,800,240,0,0,0
"2388","EC",2024-04-06,"Maidenhead","Barnet",2,2,"D",1,0,"H",4.65,4.09,1.68,"1-0","2-2",0,0,0,0,6,1,0,0,0,0,0,0,4,0,0,"0-0","Y","Y","Y",7,0,4,70,600,280,0,0,0
"2392","EC",2024-04-09,"Barnet","Bromley",1,1,"D",0,0,"D",1.88,3.64,4.06,"0-0","1-1",0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",2,0,2,20,100,40,0,0,0
"2401","EC",2024-04-13,"Halifax","Barnet",0,2,"A",0,2,"A",2.92,3.39,2.42,"0-2","0-2",0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2,30,200,60,0,0,0
"13","EC",2024-04-13,"Halifax","Barnet",0,2,"A",0,2,"A",2.92,3.39,2.42,"0-2","0-2",0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,"0-0","Y","N","N",3,0,2.83333333333333,40.8333333333333,425,140,0,0,0
