"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-08-25,"Nantes","Auxerre",2,0,"H",1,0,"H",2.25,3.22,3.22,"1-0","2-0",8,6,10,3,0,0,0,1,3,12,9,6,2,15,15,"3-12","Y","N","N",0,1,"Nantes-Auxerre",104,2,89,25,0,50,375,2225,30,178,1335,1560,750
"2","F1",2024-09-01,"Le Havre","Auxerre",3,1,"H",1,1,"D",2.81,3.28,2.69,"1-1","3-1",21,8,7,2,1,5,0,1,2,2,10,15,4,4,25,"2-2","Y","Y","Y",6,1,"Le Havre-Auxerre",182,4,165,85,750,340,340,14025,16,660,660,728,1360
"3","F1",2024-09-14,"Auxerre","Monaco",0,3,"A",0,2,"A",4.02,3.8,1.89,"0-2","0-3",13,3,19,9,3,0,0,0,1,6,13,16,3,7,29,"1-6","Y","Y","N",3,0,"Auxerre-Monaco",122,3,13,30,0,90,210,390,21,39,91,854,630
"4","F1",2024-09-22,"Montpellier","Auxerre",3,2,"H",0,1,"A",2.39,3.37,3.14,"0-1","3-2",14,5,11,6,3,4,0,0,11,5,13,20,5,16,33,"11-5","Y","Y","Y",7,0,"Montpellier-Auxerre",301,5,91,70,1200,350,1120,6370,80,455,1456,4816,5600
"5","F1",2024-09-27,"Auxerre","Brest",3,0,"H",2,0,"H",2.86,3.38,2.62,"2-0","3-0",15,4,8,4,2,0,0,0,2,3,13,16,3,5,29,"2-3","Y","Y","N",2,0,"Auxerre-Brest",122,3,71,20,0,60,100,1420,15,213,355,610,300
"6","F1",2024-10-05,"St Etienne","Auxerre",3,1,"H",1,0,"H",2.79,3.47,2.58,"1-0","3-1",13,5,11,3,3,1,0,0,5,4,13,10,4,9,23,"5-4","Y","Y","Y",4,0,"St Etienne-Auxerre",229,4,75,40,300,160,360,3000,36,300,675,2061,1440
"7","F1",2024-08-25,"Marseille","Reims",2,2,"D",1,0,"H",1.56,4.47,5.84,"1-0","2-2",16,10,12,3,1,1,0,0,2,4,10,13,4,6,23,"2-4","Y","Y","Y",2,0,"Marseille-Reims",202,4,110,20,100,80,120,2200,24,440,660,1212,480
"8","F1",2024-09-01,"Reims","Rennes",2,1,"H",1,1,"D",2.94,3.29,2.37,"1-1","2-1",11,7,13,5,2,1,0,0,3,5,9,12,3,8,21,"3-5","Y","Y","N",3,0,"Reims-Rennes",102,3,84,30,200,90,240,2520,24,252,672,816,720
"9","F1",2024-09-15,"Nantes","Reims",1,2,"A",1,1,"D",2.43,3.37,3.03,"1-1","1-2",18,6,11,4,3,1,0,0,6,3,14,5,3,9,19,"6-3","Y","Y","N",4,0,"Nantes-Reims",152,3,38,40,300,120,360,1520,27,114,342,1368,1080
"10","F1",2024-09-21,"Reims","Paris SG",1,1,"D",1,0,"H",6.91,5.01,1.44,"1-0","1-1",8,1,11,4,2,1,0,0,3,5,11,6,2,8,17,"3-5","Y","N","N",3,0,"Reims-Paris SG",77,2,27,30,200,60,240,810,16,54,216,616,480
"11","F1",2024-09-29,"Angers","Reims",1,3,"A",0,2,"A",3.59,3.28,2.22,"0-2","1-3",14,3,21,10,0,3,0,0,5,4,7,11,4,9,18,"5-4","Y","Y","Y",3,0,"Angers-Reims",197,4,52,30,0,120,270,1560,36,208,468,1773,1080
"12","F1",2024-10-06,"Reims","Montpellier",4,2,"H",2,1,"H",1.81,3.99,4.28,"2-1","4-2",18,5,10,3,3,5,0,0,4,4,15,13,6,8,28,"4-4","Y","Y","Y",8,0,"Reims-Montpellier",305,6,78,80,1500,480,640,6240,48,468,624,2440,3840
"13","F1",2024-10-06,"Reims","Montpellier",4,2,"H",2,1,"H",1.81,3.99,4.28,"2-1","4-2",18,5,10,3,3,5,0,0,4,4,15,13,6,8,28,"4-4","Y","Y","Y",8,0,"Reims-Montpellier",174.583333333333,3.58333333333333,74.4166666666667,41.6666666666667,379.166666666667,166.666666666667,364.583333333333,3523.33333333333,31.0833333333333,281.75,629.5,1571.16666666667,1480
