"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2025-03-30,"Toulouse","Brest",2,4,"A",0,2,"A",2.02,3.39,4.11,"0-2","2-4",17,4,10,5,0,5,0,0,10,3,10,18,6,13,28,"10-3","Y","Y","Y",5,0,"Toulouse-Brest",343,6,119,50,0,300,650,5950,78,714,1547,4459,3900
"2","F1",2025-04-05,"Brest","Monaco",2,1,"H",1,0,"H",3.97,3.78,1.93,"1-0","2-1",13,4,10,3,3,2,0,0,2,9,13,16,3,11,29,"2-9","Y","Y","N",5,0,"Brest-Monaco",195,3,67,50,600,150,550,3350,33,201,737,2145,1650
"3","F1",2025-04-13,"St Etienne","Brest",3,3,"D",2,3,"A",3.47,3.7,2.11,"2-3","3-3",9,4,14,6,2,4,0,0,7,9,21,18,6,16,39,"7-9","Y","Y","Y",6,0,"St Etienne-Brest",198,6,101,60,800,360,960,6060,96,606,1616,3168,5760
"4","F1",2025-04-20,"Brest","Lens",1,3,"A",1,2,"A",2.38,3.4,3.13,"1-2","1-3",11,5,17,9,0,0,1,0,7,6,11,11,4,13,22,"7-6","Y","Y","Y",0,1,"Brest-Lens",165,4,84,25,0,100,325,2100,52,336,1092,2145,1300
"5","F1",2025-04-27,"Marseille","Brest",4,1,"H",3,1,"H",1.5,4.83,6.07,"3-1","4-1",11,7,9,4,1,4,0,0,4,3,14,16,5,7,30,"4-3","Y","Y","Y",5,0,"Marseille-Brest",178,5,54,50,400,250,350,2700,35,270,378,1246,1750
"6","F1",2025-05-04,"Brest","Montpellier",1,0,"H",1,0,"H",1.37,5.37,8.16,"1-0","1-0",16,5,6,1,1,2,0,0,4,6,14,18,1,10,32,"4-6","N","N","N",3,0,"Brest-Montpellier",15,1,10,30,200,30,300,300,10,10,100,150,300
"7","F1",2025-03-30,"Lille","Lens",1,0,"H",1,0,"H",2.03,3.53,3.85,"1-0","1-0",11,5,5,2,1,3,0,0,6,2,13,15,1,8,28,"6-2","N","N","N",4,0,"Lille-Lens",19,1,19,40,300,40,320,760,8,19,152,152,320
"8","F1",2025-04-05,"Lyon","Lille",2,1,"H",1,1,"D",2.31,3.6,3.1,"1-1","2-1",10,4,10,4,3,2,0,0,1,3,15,14,3,4,29,"1-3","Y","Y","N",5,0,"Lyon-Lille",109,3,46,50,600,150,200,2300,12,138,184,436,600
"9","F1",2025-04-12,"Toulouse","Lille",1,2,"A",1,2,"A",2.93,3.23,2.62,"1-2","1-2",10,5,6,3,1,2,0,0,4,2,15,11,3,6,26,"4-2","Y","Y","N",3,0,"Toulouse-Lille",108,3,43,30,200,90,180,1290,18,129,258,648,540
"10","F1",2025-04-20,"Lille","Auxerre",3,1,"H",2,0,"H",1.51,4.44,6.69,"2-0","3-1",15,9,7,3,1,2,0,0,8,4,8,13,4,12,21,"8-4","Y","Y","Y",3,0,"Lille-Auxerre",232,4,34,30,200,120,360,1020,48,136,408,2784,1440
"11","F1",2025-04-27,"Angers","Lille",0,2,"A",0,1,"A",6.21,4.08,1.58,"0-1","0-2",6,3,9,5,1,5,0,1,7,2,17,10,2,9,27,"7-2","Y","N","N",6,1,"Angers-Lille",95,2,11,85,750,170,765,935,18,22,99,855,1530
"12","F1",2025-05-04,"Lille","Marseille",1,1,"D",0,0,"D",2.37,3.43,3.13,"0-0","1-1",5,1,13,6,2,2,0,0,2,5,9,8,2,7,17,"2-5","Y","N","N",4,0,"Lille-Marseille",131,2,28,40,400,80,280,1120,14,56,196,917,560
"13","F1",2025-05-04,"Lille","Marseille",1,1,"D",0,0,"D",2.37,3.43,3.13,"0-0","1-1",5,1,13,6,2,2,0,0,2,5,9,8,2,7,17,"2-5","Y","N","N",4,0,"Lille-Marseille",149,3.33333333333333,51.3333333333333,45,370.833333333333,153.333333333333,436.666666666667,2323.75,35.1666666666667,219.75,563.916666666667,1592.08333333333,1637.5
