"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2023-10-08,"Lyon","Lorient",3,3,"D",3,1,"H",1.71,4.06,5.04,"3-1","3-3",9,6,6,5,0,0,0,0,5,2,22,10,6,7,32,"5-2","Y","Y","Y",0,0,"Lyon-Lorient",233,6,113,0,0,0,0,0,42,678,791,1631,0
"2","F1",2023-10-22,"Lorient","Rennes",2,1,"H",2,1,"H",4.02,3.79,1.93,"2-1","2-1",5,4,20,6,0,2,0,0,6,16,5,14,3,22,19,"6-16","Y","Y","N",2,0,"Lorient-Rennes",70,3,129,20,0,60,440,2580,66,387,2838,1540,1320
"3","F1",2023-10-28,"Reims","Lorient",1,0,"H",0,0,"D",1.67,4.24,5.13,"0-0","1-0",12,5,9,1,1,3,0,0,4,4,16,7,1,8,23,"4-4","N","N","N",4,0,"Reims-Lorient",84,1,19,40,300,40,320,760,8,19,152,672,320
"4","F1",2023-11-04,"Lorient","Lens",0,0,"D",0,0,"D",4.73,3.95,1.75,"0-0","0-0",7,2,14,7,3,3,0,0,1,5,10,14,0,6,24,"1-5","N","N","N",6,0,"Lorient-Lens",0,0,0,60,900,0,360,0,0,0,0,0,0
"5","F1",2023-11-12,"Clermont","Lorient",1,0,"H",0,0,"D",2.18,3.35,3.63,"0-0","1-0",17,6,10,3,3,2,0,0,5,4,15,10,1,9,25,"5-4","N","N","N",5,0,"Clermont-Lorient",69,1,23,50,600,50,450,1150,9,23,207,621,450
"6","F1",2023-11-26,"Lorient","Metz",2,3,"A",2,1,"H",2,3.45,4.07,"2-1","2-3",11,5,14,5,2,1,0,0,5,6,10,17,5,11,27,"5-6","Y","Y","Y",3,0,"Lorient-Metz",178,5,90,30,200,150,330,2700,55,450,990,1958,1650
"7","F1",2023-09-30,"Monaco","Marseille",3,2,"H",2,2,"D",2.21,3.88,3.14,"2-2","3-2",10,7,8,4,4,4,0,0,2,6,17,15,5,8,32,"2-6","Y","Y","Y",8,0,"Monaco-Marseille",102,5,104,80,1600,400,640,8320,40,520,832,816,3200
"8","F1",2023-10-08,"Marseille","Le Havre",3,0,"H",2,0,"H",1.48,4.63,7.2,"2-0","3-0",14,6,7,1,0,3,0,1,4,3,6,16,3,7,22,"4-3","Y","Y","N",3,1,"Marseille-Le Havre",123,3,126,55,0,165,385,6930,21,378,882,861,1155
"9","F1",2023-10-21,"Nice","Marseille",1,0,"H",0,0,"D",2.51,3.22,3.14,"0-0","1-0",10,2,9,1,4,3,0,1,4,2,13,6,1,6,19,"4-2","N","N","N",7,1,"Nice-Marseille",79,1,29,95,2200,95,570,2755,6,29,174,474,570
"10","F1",2023-11-04,"Marseille","Lille",0,0,"D",0,0,"D",2.21,3.59,3.31,"0-0","0-0",8,3,10,1,2,3,0,0,2,8,10,12,0,10,22,"2-8","N","N","N",5,0,"Marseille-Lille",0,0,0,50,600,0,500,0,0,0,0,0,0
"11","F1",2023-11-12,"Lens","Marseille",1,0,"H",0,0,"D",2.27,3.54,3.22,"0-0","1-0",14,3,8,2,2,2,0,0,4,5,19,15,1,9,34,"4-5","N","N","N",4,0,"Lens-Marseille",90,1,24,40,400,40,360,960,9,24,216,810,360
"12","F1",2023-11-25,"Strasbourg","Marseille",1,1,"D",1,1,"D",3.94,3.58,1.99,"1-1","1-1",15,7,16,3,1,2,0,0,7,11,14,16,2,18,30,"7-11","Y","N","N",3,0,"Strasbourg-Marseille",33,2,17,30,200,60,540,510,36,34,306,594,1080
"13","F1",2023-11-25,"Strasbourg","Marseille",1,1,"D",1,1,"D",3.94,3.58,1.99,"1-1","1-1",15,7,16,3,1,2,0,0,7,11,14,16,2,18,30,"7-11","Y","N","N",3,0,"Strasbourg-Marseille",88.4166666666667,2.33333333333333,56.1666666666667,45.8333333333333,583.333333333333,88.3333333333333,407.916666666667,2222.08333333333,24.3333333333333,211.833333333333,615.666666666667,831.416666666667,842.083333333333
