"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-03-15,"Toulouse","Lyon",2,3,"A",0,1,"A",2.89,3.26,2.63,"0-1","2-3",13,5,18,6,2,2,0,0,5,3,18,12,5,8,30,"5-3","Y","Y","Y",4,0,"Toulouse-Lyon",303,5,57,40,400,200,320,2280,40,285,456,2424,1600
"2","F1",2024-03-30,"Lyon","Reims",1,1,"D",0,0,"D",2.12,3.69,3.43,"0-0","1-1",16,3,17,5,2,3,0,0,7,8,7,10,2,15,17,"7-8","Y","N","N",5,0,"Lyon-Reims",120,2,39,50,600,100,750,1950,30,78,585,1800,1500
"3","F1",2024-04-07,"Nantes","Lyon",1,3,"A",1,0,"H",3.3,3.3,2.34,"1-0","1-3",14,6,19,10,2,2,0,0,5,5,8,14,4,10,22,"5-5","Y","Y","Y",4,0,"Nantes-Lyon",258,4,68,40,400,160,400,2720,40,272,680,2580,1600
"4","F1",2024-04-14,"Lyon","Brest",4,3,"H",1,0,"H",2.28,3.31,3.41,"1-0","4-3",16,8,22,7,5,5,1,1,10,7,12,7,7,17,19,"10-7","Y","Y","Y",10,2,"Lyon-Brest",448,7,148,150,5625,1050,2550,22200,119,1036,2516,7616,17850
"5","F1",2024-04-21,"Paris SG","Lyon",4,1,"H",4,1,"H",1.5,5.06,5.71,"4-1","4-1",14,6,16,6,0,0,0,0,4,10,9,10,5,14,19,"4-10","Y","Y","Y",0,0,"Paris SG-Lyon",121,5,121,0,0,0,0,0,70,605,1694,1694,0
"6","F1",2024-04-28,"Lyon","Monaco",3,2,"H",2,1,"H",2.61,3.79,2.59,"2-1","3-2",15,4,13,5,1,3,0,0,3,3,15,14,5,6,29,"3-3","Y","Y","Y",4,0,"Lyon-Monaco",193,5,58,40,300,200,240,2320,30,290,348,1158,1200
"7","F1",2024-03-17,"Reims","Metz",2,1,"H",1,1,"D",1.58,4.11,6.19,"1-1","2-1",17,7,12,4,4,4,0,0,7,7,17,10,3,14,27,"7-7","Y","Y","N",8,0,"Reims-Metz",96,3,54,80,1600,240,1120,4320,42,162,756,1344,3360
"8","F1",2024-03-30,"Metz","Monaco",2,5,"A",0,3,"A",5.37,4.33,1.61,"0-3","2-5",13,7,17,7,0,0,0,0,5,5,8,8,7,10,16,"5-5","Y","Y","Y",0,0,"Metz-Monaco",355,7,143,0,0,0,0,0,70,1001,1430,3550,0
"9","F1",2024-04-07,"Brest","Metz",4,3,"H",3,1,"H",1.53,4.11,7.13,"3-1","4-3",24,10,8,6,0,1,0,0,8,5,11,17,7,13,28,"8-5","Y","Y","Y",1,0,"Brest-Metz",301,7,72,10,0,70,130,720,91,504,936,3913,910
"10","F1",2024-04-12,"Metz","Lens",2,1,"H",2,1,"H",5.07,3.92,1.73,"2-1","2-1",11,5,17,2,2,5,0,0,5,2,11,17,3,7,28,"5-2","Y","Y","N",7,0,"Metz-Lens",92,3,27,70,1000,210,490,1890,21,81,189,644,1470
"11","F1",2024-04-21,"Le Havre","Metz",0,1,"A",0,0,"D",2.24,3.18,3.67,"0-0","0-1",16,4,9,2,2,3,0,0,4,2,9,19,1,6,28,"4-2","N","N","N",5,0,"Le Havre-Metz",46,1,10,50,600,50,300,500,6,10,60,276,300
"12","F1",2024-04-28,"Metz","Lille",1,2,"A",1,2,"A",4.73,3.92,1.76,"1-2","1-2",5,2,14,4,1,2,0,0,2,4,15,12,3,6,27,"2-4","Y","Y","N",3,0,"Metz-Lille",98,3,53,30,200,90,180,1590,18,159,318,588,540
"13","F1",2024-04-28,"Metz","Lille",1,2,"A",1,2,"A",4.73,3.92,1.76,"1-2","1-2",5,2,14,4,1,2,0,0,2,4,15,12,3,6,27,"2-4","Y","Y","N",3,0,"Metz-Lille",202.583333333333,4.33333333333333,70.8333333333333,46.6666666666667,893.75,197.5,540,3374.16666666667,48.0833333333333,373.583333333333,830.666666666667,2298.91666666667,2527.5
