"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1767","F1","4/28/2023","Strasbourg","Lyon",1,2,"A",1,2,"A",2.79,3.46,2.67,"2-Jan","2-Jan",11,3,7,4,2,4,0,1,5,4,13,24,3,9,37,"4-May","Y","Y","N",6,1,"Strasbourg-Lyon",83,3,18,85,1300,255,765,1530,27,54,162,747,2295
"1785","F1","5/7/2023","Lyon","Montpellier",5,4,"H",1,2,"A",1.7,4.36,4.72,"2-Jan","4-May",16,8,12,6,0,3,0,0,3,5,12,14,9,8,26,"5-Mar","Y","Y","Y",3,0,"Lyon-Montpellier",521,9,129,30,0,270,240,3870,72,1161,1032,4168,2160
"1790","F1","5/14/2023","Clermont","Lyon",2,1,"H",1,1,"D",4.21,4.07,1.83,"1-Jan","1-Feb",9,6,15,4,3,3,0,0,5,2,17,10,3,7,27,"2-May","Y","Y","N",6,0,"Clermont-Lyon",112,3,190,60,900,180,420,11400,21,570,1330,784,1260
"1797","F1","5/19/2023","Lyon","Monaco",3,1,"H",1,1,"D",2.41,4.1,2.72,"1-Jan","1-Mar",22,11,16,9,0,3,0,0,2,8,8,14,4,10,22,"8-Feb","Y","Y","Y",3,0,"Lyon-Monaco",175,4,44,30,0,120,300,1320,40,176,440,1750,1200
"1811","F1","5/27/2023","Lyon","Reims",3,0,"H",2,0,"H",1.6,4.58,5.38,"Feb-00","Mar-00",23,7,10,1,1,1,0,1,7,4,11,15,3,11,26,"4-Jul","Y","Y","N",2,1,"Lyon-Reims",93,3,40,45,350,135,495,1800,33,120,440,1023,1485
"1823","F1","6/3/2023","Nice","Lyon",3,1,"H",3,1,"H",2.39,4.06,2.72,"1-Mar","1-Mar",16,6,16,7,0,1,0,0,3,2,8,12,4,5,20,"2-Mar","Y","Y","Y",1,0,"Nice-Lyon",107,4,97,10,0,40,50,970,20,388,485,535,200
"1773","F1","4/30/2023","Paris SG","Lorient",1,3,"A",1,2,"A",1.2,7.92,12.9,"2-Jan","3-Jan",13,4,14,7,4,3,1,0,2,3,15,17,4,5,32,"3-Feb","Y","Y","Y",7,1,"Paris SG-Lorient",171,4,110,95,1950,380,475,10450,20,440,550,855,1900
"1786","F1","5/7/2023","Troyes","Paris SG",1,3,"A",0,1,"A",8.03,6.29,1.34,"0-1","3-Jan",7,3,31,12,1,0,0,0,6,6,5,5,4,12,10,"6-Jun","Y","Y","Y",1,0,"Troyes-Paris SG",236,4,56,10,0,40,120,560,48,224,672,2832,480
"1789","F1","5/13/2023","Paris SG","Ajaccio",5,0,"H",2,0,"H",1.12,10.55,24.63,"Feb-00","May-00",16,9,7,2,1,1,1,1,8,3,7,6,5,11,13,"3-Aug","Y","Y","Y",2,2,"Paris SG-Ajaccio",229,5,44,70,1225,350,770,3080,55,220,484,2519,3850
"1806","F1","5/21/2023","Auxerre","Paris SG",1,2,"A",0,2,"A",7.97,5.57,1.38,"0-2","2-Jan",14,7,15,4,1,0,0,0,4,6,11,6,3,10,17,"6-Apr","Y","Y","N",1,0,"Auxerre-Paris SG",65,3,31,10,0,30,100,310,30,93,310,650,300
"1815","F1","5/27/2023","Strasbourg","Paris SG",1,1,"D",0,0,"D",5.16,4.3,1.65,"0-0","1-Jan",17,5,7,2,1,2,0,0,4,2,9,8,2,6,17,"2-Apr","Y","N","N",3,0,"Strasbourg-Paris SG",138,2,39,30,200,60,180,1170,12,78,234,828,360
"1824","F1","6/3/2023","Paris SG","Clermont",2,3,"A",2,2,"D",1.24,7.09,10.71,"2-Feb","3-Feb",16,6,12,5,2,1,0,0,6,2,17,11,5,8,28,"2-Jun","Y","Y","Y",3,0,"Paris SG-Clermont",169,5,133,30,200,150,240,3990,40,665,1064,1352,1200
"13","F1","6/3/2023","Paris SG","Clermont",2,3,"A",2,2,"D",1.24,7.09,10.71,"2-Feb","3-Feb",16,6,12,5,2,1,0,0,6,2,17,11,5,8,28,"2-Jun","Y","Y","Y",3,0,"Paris SG-Clermont",174.916666666667,4.08333333333333,77.5833333333333,42.0833333333333,510.416666666667,167.5,346.25,3370.83333333333,34.8333333333333,349.083333333333,600.25,1503.58333333333,1390.83333333333
