"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-08-24,"Lyon","Monaco",0,2,"A",0,0,"D",2.62,3.73,2.61,"0-0","0-2",2,1,15,4,0,0,0,1,0,6,10,7,2,6,17,"0-6","Y","N","N",0,1,"Lyon-Monaco",145,2,22,25,0,50,150,550,12,44,132,870,300
"2","F1",2024-09-01,"Monaco","Lens",1,1,"D",0,0,"D",1.83,3.74,3.9,"0-0","1-1",14,3,12,4,1,4,0,0,7,7,11,21,2,14,32,"7-7","Y","N","N",5,0,"Monaco-Lens",174,2,35,50,400,100,700,1750,28,70,490,2436,1400
"3","F1",2024-09-14,"Auxerre","Monaco",0,3,"A",0,2,"A",4.02,3.8,1.89,"0-2","0-3",13,3,19,9,3,0,0,0,1,6,13,16,3,7,29,"1-6","Y","Y","N",3,0,"Auxerre-Monaco",122,3,13,30,0,90,210,390,21,39,91,854,630
"4","F1",2024-09-22,"Monaco","Le Havre",3,1,"H",1,1,"D",1.38,5.23,8.11,"1-1","3-1",14,4,9,2,1,3,0,0,6,4,10,17,4,10,27,"6-4","Y","Y","Y",4,0,"Monaco-Le Havre",175,4,34,40,300,160,400,1360,40,136,340,1750,1600
"5","F1",2024-09-28,"Monaco","Montpellier",2,1,"H",1,1,"D",1.34,5.7,8.48,"1-1","2-1",21,7,9,4,4,3,0,1,6,2,17,17,3,8,34,"6-2","Y","Y","N",7,1,"Monaco-Montpellier",138,3,43,95,2200,285,760,4085,24,129,344,1104,2280
"6","F1",2024-10-05,"Rennes","Monaco",1,2,"A",1,2,"A",2.75,3.65,2.53,"1-2","1-2",14,3,5,2,2,4,0,0,10,4,9,16,3,14,25,"10-4","Y","Y","N",6,0,"Rennes-Monaco",39,3,25,60,800,180,840,1500,42,75,350,546,2520
"7","F1",2024-08-24,"Lille","Angers",2,0,"H",1,0,"H",1.33,4.72,8.77,"1-0","2-0",11,6,5,2,1,2,0,0,3,2,9,17,2,5,26,"3-2","Y","N","N",3,0,"Lille-Angers",124,2,39,30,200,60,150,1170,10,78,195,620,300
"8","F1",2024-09-01,"Lille","Paris SG",1,3,"A",0,2,"A",4.31,3.74,1.86,"0-2","1-3",10,4,10,7,3,2,0,0,3,1,7,5,4,4,12,"3-1","Y","Y","Y",5,0,"Lille-Paris SG",237,4,92,50,600,200,200,4600,16,368,368,948,800
"9","F1",2024-09-13,"St Etienne","Lille",1,0,"H",1,0,"H",5.22,3.78,1.72,"1-0","1-0",10,5,17,4,1,1,0,0,2,7,12,10,1,9,22,"2-7","N","N","N",2,0,"St Etienne-Lille",6,1,18,20,100,20,180,360,9,18,162,54,180
"10","F1",2024-09-21,"Lille","Strasbourg",3,3,"D",2,2,"D",1.74,3.88,4.93,"2-2","3-3",15,7,12,9,2,2,0,0,9,5,16,12,6,14,28,"9-5","Y","Y","Y",4,0,"Lille-Strasbourg",264,6,88,40,400,240,560,3520,84,528,1232,3696,3360
"11","F1",2024-09-28,"Le Havre","Lille",0,3,"A",0,2,"A",4.7,3.71,1.81,"0-2","0-3",7,4,18,10,2,1,0,0,1,5,11,9,3,6,20,"1-5","Y","Y","N",3,0,"Le Havre-Lille",137,3,27,30,200,90,180,810,18,81,162,822,540
"12","F1",2024-10-05,"Lille","Toulouse",2,1,"H",0,1,"A",1.75,4.02,4.64,"0-1","2-1",10,3,9,3,3,2,0,0,4,6,13,8,3,10,21,"4-6","Y","Y","N",5,0,"Lille-Toulouse",168,3,35,50,600,150,500,1750,30,105,350,1680,1500
"13","F1",2024-10-05,"Lille","Toulouse",2,1,"H",0,1,"A",1.75,4.02,4.64,"0-1","2-1",10,3,9,3,3,2,0,0,4,6,13,8,3,10,21,"4-6","Y","Y","N",5,0,"Lille-Toulouse",144.083333333333,3,39.25,43.3333333333333,483.333333333333,135.416666666667,402.5,1820.41666666667,27.8333333333333,139.25,351.333333333333,1281.66666666667,1284.16666666667
