"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-02-18,"Monaco","Toulouse",1,2,"A",0,1,"A",1.52,4.67,6.01,"0-1","1-2",22,5,14,7,1,3,0,0,4,6,18,12,3,10,30,"4-6","Y","Y","N",4,0,"Monaco-Toulouse",159,3,35,40,300,120,400,1400,30,105,350,1590,1200
"2","F1",2024-02-25,"Lens","Monaco",2,3,"A",1,2,"A",2.48,3.55,2.87,"1-2","2-3",20,10,15,9,6,3,0,0,9,3,10,13,5,12,23,"9-3","Y","Y","Y",9,0,"Lens-Monaco",247,5,105,90,1800,450,1080,9450,60,525,1260,2964,5400
"3","F1",2024-03-01,"Monaco","Paris SG",0,0,"D",0,0,"D",3.51,3.93,2.05,"0-0","0-0",14,6,14,7,0,0,0,0,5,6,10,13,0,11,23,"5-6","N","N","N",0,0,"Monaco-Paris SG",0,0,0,0,0,0,0,0,0,0,0,0,0
"4","F1",2024-03-10,"Strasbourg","Monaco",0,1,"A",0,0,"D",3.5,3.84,2.05,"0-0","0-1",8,1,17,6,1,3,0,0,5,8,9,15,1,13,24,"5-8","N","N","N",4,0,"Strasbourg-Monaco",72,1,7,40,300,40,520,280,13,7,91,936,520
"5","F1",2024-03-17,"Monaco","Lorient",2,2,"D",1,1,"D",1.33,5.72,8.83,"1-1","2-2",23,8,11,6,3,1,1,1,10,8,21,8,4,18,29,"10-8","Y","Y","Y",4,2,"Monaco-Lorient",178,4,145,90,1925,360,1620,13050,72,580,2610,3204,6480
"6","F1",2024-03-30,"Metz","Monaco",2,5,"A",0,3,"A",5.37,4.33,1.61,"0-3","2-5",13,7,17,7,0,0,0,0,5,5,8,8,7,10,16,"5-5","Y","Y","Y",0,0,"Metz-Monaco",355,7,143,0,0,0,0,0,70,1001,1430,3550,0
"7","F1",2024-02-18,"Rennes","Clermont",3,1,"H",1,0,"H",1.52,4.41,6.44,"1-0","3-1",16,8,14,5,1,0,0,1,4,4,9,10,4,8,19,"4-4","Y","Y","Y",1,1,"Rennes-Clermont",215,4,41,35,250,140,280,1435,32,164,328,1720,1120
"8","F1",2024-02-25,"Paris SG","Rennes",1,1,"D",0,1,"A",1.47,4.65,6.94,"0-1","1-1",15,3,3,1,5,3,0,0,4,0,13,16,2,4,29,"4-0","Y","N","N",8,0,"Paris SG-Rennes",123,2,19,80,1500,160,320,1520,8,38,76,492,640
"9","F1",2024-03-03,"Rennes","Lorient",1,2,"A",0,0,"D",1.45,4.59,7.78,"0-0","1-2",22,6,12,6,1,2,0,0,6,3,12,9,3,9,21,"6-3","Y","Y","N",3,0,"Rennes-Lorient",239,3,41,30,200,90,270,1230,27,123,369,2151,810
"10","F1",2024-03-10,"Lille","Rennes",2,2,"D",0,2,"A",2.05,3.5,3.84,"0-2","2-2",15,8,11,3,5,2,0,0,6,3,17,20,4,9,37,"6-3","Y","Y","Y",7,0,"Lille-Rennes",195,4,38,70,1000,280,630,2660,36,152,342,1755,2520
"11","F1",2024-03-17,"Rennes","Marseille",2,0,"H",1,0,"H",2.51,3.49,2.87,"1-0","2-0",7,4,8,1,1,3,0,0,4,5,9,12,2,9,21,"4-5","Y","N","N",4,0,"Rennes-Marseille",98,2,21,40,300,80,360,840,18,42,189,882,720
"12","F1",2024-03-31,"Strasbourg","Rennes",2,0,"H",0,0,"D",3.14,3.43,2.36,"0-0","2-0",14,7,12,0,1,2,0,0,4,5,10,17,2,9,27,"4-5","Y","N","N",3,0,"Strasbourg-Rennes",144,2,68,30,200,60,270,2040,18,136,612,1296,540
"13","F1",2024-03-31,"Strasbourg","Rennes",2,0,"H",0,0,"D",3.14,3.43,2.36,"0-0","2-0",14,7,12,0,1,2,0,0,4,5,10,17,2,9,27,"4-5","Y","N","N",3,0,"Strasbourg-Rennes",168.75,3.08333333333333,55.25,45.4166666666667,647.916666666667,148.333333333333,479.166666666667,2825.41666666667,32,239.416666666667,638.083333333333,1711.66666666667,1662.5
