"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-01-28,"Paris SG","Brest",2,2,"D",2,0,"H",1.4,5.45,6.98,"2-0","2-2",10,4,9,6,5,3,1,0,7,0,12,10,4,7,22,"7-0","Y","Y","Y",8,1,"Paris SG-Brest",218,4,105,105,2250,420,735,11025,28,420,735,1526,2940
"2","F1",2024-02-02,"Strasbourg","Paris SG",1,2,"A",0,1,"A",6.58,4.66,1.5,"0-1","1-2",20,8,9,5,3,1,0,0,3,4,12,13,3,7,25,"3-4","Y","Y","N",4,0,"Strasbourg-Paris SG",148,3,44,40,300,120,280,1760,21,132,308,1036,840
"3","F1",2024-02-10,"Paris SG","Lille",3,1,"H",2,1,"H",1.63,4.28,5.3,"2-1","3-1",16,8,10,3,2,3,0,0,6,8,12,10,4,14,22,"6-8","Y","Y","Y",5,0,"Paris SG-Lille",113,4,48,50,600,200,700,2400,56,192,672,1582,2800
"4","F1",2024-02-17,"Nantes","Paris SG",0,2,"A",0,0,"D",6.4,4.77,1.49,"0-0","0-2",12,7,12,2,1,0,0,0,3,8,10,12,2,11,22,"3-8","Y","N","N",1,0,"Nantes-Paris SG",138,2,28,10,0,20,110,280,22,56,308,1518,220
"5","F1",2024-02-25,"Paris SG","Rennes",1,1,"D",0,1,"A",1.47,4.65,6.94,"0-1","1-1",15,3,3,1,5,3,0,0,4,0,13,16,2,4,29,"4-0","Y","N","N",8,0,"Paris SG-Rennes",123,2,19,80,1500,160,320,1520,8,38,76,492,640
"6","F1",2024-03-01,"Monaco","Paris SG",0,0,"D",0,0,"D",3.51,3.93,2.05,"0-0","0-0",14,6,14,7,0,0,0,0,5,6,10,13,0,11,23,"5-6","N","N","N",0,0,"Monaco-Paris SG",0,0,0,0,0,0,0,0,0,0,0,0,0
"7","F1",2024-01-28,"Reims","Nantes",0,0,"D",0,0,"D",1.83,3.76,4.5,"0-0","0-0",10,1,7,5,3,2,0,0,6,2,8,16,0,8,24,"6-2","N","N","N",5,0,"Reims-Nantes",0,0,0,50,600,0,400,0,0,0,0,0,0
"8","F1",2024-02-04,"Reims","Toulouse",2,3,"A",0,3,"A",1.8,3.73,4.69,"0-3","2-3",17,5,9,4,2,3,0,0,10,6,13,16,5,16,29,"10-6","Y","Y","Y",5,0,"Reims-Toulouse",226,5,130,50,600,250,800,6500,80,650,2080,3616,4000
"9","F1",2024-02-11,"Lorient","Reims",2,0,"H",0,0,"D",3.73,3.57,2.06,"0-0","2-0",17,5,23,6,1,1,0,0,1,7,9,14,2,8,23,"1-7","Y","N","N",2,0,"Lorient-Reims",155,2,23,20,100,40,160,460,16,46,184,1240,320
"10","F1",2024-02-18,"Reims","Lens",1,1,"D",1,1,"D",2.75,3.3,2.73,"1-1","1-1",11,2,9,1,2,2,0,0,3,2,15,9,2,5,24,"3-2","Y","N","N",4,0,"Reims-Lens",85,2,44,40,400,80,200,1760,10,88,220,425,400
"11","F1",2024-02-25,"Le Havre","Reims",1,2,"A",0,0,"D",3.02,3.3,2.51,"0-0","1-2",18,4,16,5,3,3,0,1,5,5,11,13,3,10,24,"5-5","Y","Y","N",6,1,"Le Havre-Reims",228,3,112,85,1650,255,850,9520,30,336,1120,2280,2550
"12","F1",2024-03-02,"Reims","Lille",0,1,"A",0,0,"D",2.78,3.33,2.69,"0-0","0-1",8,3,8,3,3,2,0,0,4,4,12,14,1,8,26,"4-4","N","N","N",5,0,"Reims-Lille",56,1,9,50,600,50,400,450,8,9,72,448,400
"13","F1",2024-03-02,"Reims","Lille",0,1,"A",0,0,"D",2.78,3.33,2.69,"0-0","0-1",8,3,8,3,3,2,0,0,4,4,12,14,1,8,26,"4-4","N","N","N",5,0,"Reims-Lille",124.166666666667,2.33333333333333,46.8333333333333,48.3333333333333,716.666666666667,132.916666666667,412.916666666667,2972.91666666667,23.25,163.916666666667,481.25,1180.25,1259.16666666667
