"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-08-17,"Monaco","St Etienne",1,0,"H",1,0,"H",1.51,4.64,6.26,"1-0","1-0",13,6,7,4,1,1,0,0,5,4,13,14,1,9,27,"5-4","N","N","N",2,0,"Monaco-St Etienne",29,1,18,20,100,20,180,360,9,18,162,261,180
"2","F1",2024-08-24,"St Etienne","Le Havre",0,2,"A",0,0,"D",2.11,3.45,3.71,"0-0","0-2",18,5,14,5,3,3,0,0,2,4,11,9,2,6,20,"2-4","Y","N","N",6,0,"St Etienne-Le Havre",124,2,187,60,900,120,360,11220,12,374,1122,744,720
"3","F1",2024-08-31,"Brest","St Etienne",4,0,"H",2,0,"H",1.85,3.83,4.28,"2-0","4-0",17,7,3,0,0,5,0,0,7,2,12,28,4,9,40,"7-2","Y","Y","Y",5,0,"Brest-St Etienne",203,4,101,50,0,200,450,5050,36,404,909,1827,1800
"4","F1",2024-09-13,"St Etienne","Lille",1,0,"H",1,0,"H",5.22,3.78,1.72,"1-0","1-0",10,5,17,4,1,1,0,0,2,7,12,10,1,9,22,"2-7","N","N","N",2,0,"St Etienne-Lille",6,1,18,20,100,20,180,360,9,18,162,54,180
"5","F1",2024-09-20,"Nice","St Etienne",8,0,"H",6,0,"H",1.55,4.25,6.57,"6-0","8-0",18,12,8,2,0,1,0,0,3,2,7,13,8,5,20,"3-2","Y","Y","Y",1,0,"Nice-St Etienne",297,8,145,10,0,80,50,1450,40,1160,725,1485,400
"6","F1",2024-08-17,"Monaco","St Etienne",1,0,"H",1,0,"H",1.51,4.64,6.26,"1-0","1-0",13,6,7,4,1,1,0,0,5,4,13,14,1,9,27,"5-4","N","N","N",2,0,"Monaco-St Etienne",29,1,18,20,100,20,180,360,9,18,162,261,180
"7","F1",2024-08-24,"Lyon","Monaco",0,2,"A",0,0,"D",2.62,3.73,2.61,"0-0","0-2",2,1,15,4,0,0,0,1,0,6,10,7,2,6,17,"0-6","Y","N","N",0,1,"Lyon-Monaco",145,2,22,25,0,50,150,550,12,44,132,870,300
"8","F1",2024-09-01,"Monaco","Lens",1,1,"D",0,0,"D",1.83,3.74,3.9,"0-0","1-1",14,3,12,4,1,4,0,0,7,7,11,21,2,14,32,"7-7","Y","N","N",5,0,"Monaco-Lens",174,2,35,50,400,100,700,1750,28,70,490,2436,1400
"9","F1",2024-09-14,"Auxerre","Monaco",0,3,"A",0,2,"A",4.02,3.8,1.89,"0-2","0-3",13,3,19,9,3,0,0,0,1,6,13,16,3,7,29,"1-6","Y","Y","N",3,0,"Auxerre-Monaco",122,3,13,30,0,90,210,390,21,39,91,854,630
"10","F1",2024-09-22,"Monaco","Le Havre",3,1,"H",1,1,"D",1.38,5.23,8.11,"1-1","3-1",14,4,9,2,1,3,0,0,6,4,10,17,4,10,27,"6-4","Y","Y","Y",4,0,"Monaco-Le Havre",175,4,34,40,300,160,400,1360,40,136,340,1750,1600
"11","F1",2024-09-22,"Monaco","Le Havre",3,1,"H",1,1,"D",1.38,5.23,8.11,"1-1","3-1",14,4,9,2,1,3,0,0,6,4,10,17,4,10,27,"6-4","Y","Y","Y",4,0,"Monaco-Le Havre",130.4,2.8,59.1,32.5,190,86,286,2285,21.6,228.1,429.5,1054.2,739
