"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3412","F2",2024-01-29,"Bordeaux","Angers",1,0,"H",0,0,"D",2.07,3.47,3.65,"0-0","1-0",11,2,22,8,3,3,1,0,4,7,14,10,1,11,24,"4-7","N","N","N",6,1,1,85,1650,85,935,11,935
"3421","F2",2024-02-03,"Troyes","Bordeaux",2,1,"H",0,0,"D",3.77,3.64,2.02,"0-0","2-1",12,3,17,6,3,1,0,0,3,5,15,9,3,8,24,"3-5","Y","Y","N",4,0,3,40,300,120,320,24,960
"3426","F2",2024-02-10,"Bordeaux","Grenoble",1,0,"H",1,0,"H",2.29,3.47,3.25,"1-0","1-0",14,6,17,6,2,3,0,0,9,8,13,13,1,17,26,"9-8","N","N","N",5,0,1,50,600,50,850,17,850
"3442","F2",2024-02-19,"Amiens","Bordeaux",1,1,"D",1,0,"H",2.91,3.2,2.58,"1-0","1-1",14,7,9,6,1,2,0,0,7,6,14,16,2,13,30,"7-6","Y","N","N",3,0,2,30,200,60,390,26,780
"3446","F2",2024-02-24,"Bordeaux","Guingamp",1,0,"H",1,0,"H",2.38,3.15,3.4,"1-0","1-0",10,5,13,2,1,5,0,0,4,4,13,15,1,8,28,"4-4","N","N","N",6,0,1,60,500,60,480,8,480
"3461","F2",2024-03-02,"Rodez","Bordeaux",2,2,"D",2,1,"H",2.67,3.44,2.72,"2-1","2-2",13,3,8,3,0,1,0,0,7,6,9,8,4,13,17,"7-6","Y","Y","Y",1,0,4,10,0,40,130,52,520
"3409","F2",2024-01-27,"Quevilly Rouen","Grenoble",1,1,"D",0,0,"D",2.59,3.19,3.01,"0-0","1-1",17,6,7,3,1,1,0,0,6,5,10,13,2,11,23,"6-5","Y","N","N",2,0,2,20,100,40,220,22,440
"3419","F2",2024-02-03,"Laval","Quevilly Rouen",2,4,"A",0,2,"A",2.29,3.18,3.55,"0-2","2-4",7,3,13,10,3,2,1,0,3,5,13,12,6,8,25,"3-5","Y","Y","Y",5,1,6,75,1100,450,600,48,3600
"3429","F2",2024-02-10,"Quevilly Rouen","Bastia",0,1,"A",0,1,"A",2.04,3.32,4.11,"0-1","0-1",5,3,13,3,4,3,1,0,7,4,12,8,1,11,20,"7-4","N","N","N",7,1,1,95,1950,95,1045,11,1045
"3440","F2",2024-02-17,"Pau FC","Quevilly Rouen",0,2,"A",0,2,"A",2.56,3.32,2.93,"0-2","0-2",15,6,9,3,1,2,0,0,9,3,8,14,2,12,22,"9-3","Y","N","N",3,0,2,30,200,60,360,24,720
"3449","F2",2024-02-24,"Quevilly Rouen","Paris FC",0,0,"D",0,0,"D",2.62,3.14,3.02,"0-0","0-0",12,3,6,2,0,1,0,0,3,3,11,10,0,6,21,"3-3","N","N","N",1,0,0,10,0,0,60,0,0
"3454","F2",2024-03-02,"Annecy","Quevilly Rouen",0,0,"D",0,0,"D",2.96,3.08,2.71,"0-0","0-0",7,4,7,3,1,1,0,0,10,0,12,10,0,10,22,"10-0","N","N","N",2,0,0,20,100,0,200,0,0
"13","F2",2024-03-02,"Annecy","Quevilly Rouen",0,0,"D",0,0,"D",2.96,3.08,2.71,"0-0","0-0",7,4,7,3,1,1,0,0,10,0,12,10,0,10,22,"10-0","N","N","N",2,0,1.91666666666667,43.75,558.333333333333,88.3333333333333,465.833333333333,20.25,860.833333333333
