"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4413","F2",2024-03-30,"Quevilly Rouen","Caen",1,2,"A",0,2,"A",2.39,3.03,3.44,"0-2","1-2",15,6,6,4,2,3,0,0,10,3,21,17,3,13,38,"10-3","Y","Y","N",5,0,3,50,600,150,650,39,1950
"4420","F2",2024-04-06,"Caen","Bordeaux",0,1,"A",0,1,"A",2.4,3.24,3.18,"0-1","0-1",16,3,11,3,3,2,0,0,7,2,14,19,1,9,33,"7-2","N","N","N",5,0,1,50,600,50,450,9,450
"4428","F2",2024-04-13,"Caen","Rodez",1,0,"H",1,0,"H",2.33,3.15,3.42,"1-0","1-0",8,2,14,1,2,0,0,0,3,3,18,17,1,6,35,"3-3","N","N","N",2,0,1,20,0,20,120,6,120
"4437","F2",2024-04-20,"Ajaccio","Caen",2,1,"H",2,0,"H",2.7,2.74,3.3,"2-0","2-1",7,5,10,3,2,0,0,0,2,2,15,9,3,4,24,"2-2","Y","Y","N",2,0,3,20,0,60,80,12,240
"4449","F2",2024-04-23,"Caen","Annecy",2,1,"H",1,0,"H",2.42,3.19,3.21,"1-0","2-1",12,4,6,3,1,1,0,1,14,0,9,17,3,14,26,"14-0","Y","Y","N",2,1,3,45,350,135,630,42,1890
"4456","F2",2024-04-27,"St Etienne","Caen",1,0,"H",1,0,"H",1.71,3.87,5,"1-0","1-0",11,5,20,3,0,3,0,1,4,6,13,13,1,10,26,"4-6","N","N","N",3,1,1,55,0,55,550,10,550
"4412","F2",2024-03-30,"Laval","Bastia",1,2,"A",0,0,"D",2.14,3.11,4.01,"0-0","1-2",18,10,6,3,3,3,0,0,6,4,13,14,3,10,27,"6-4","Y","Y","N",6,0,3,60,900,180,600,30,1800
"4417","F2",2024-04-06,"Angers","Laval",1,1,"D",0,1,"A",2,3.31,4.2,"0-1","1-1",8,3,10,3,2,2,0,1,8,2,13,13,2,10,26,"8-2","Y","N","N",4,1,2,65,900,130,650,20,1300
"4431","F2",2024-04-13,"Laval","Annecy",0,3,"A",0,3,"A",2.36,2.98,3.58,"0-3","0-3",11,1,13,5,1,1,0,0,7,4,10,19,3,11,29,"7-4","Y","Y","N",2,0,3,20,100,60,220,33,660
"4444","F2",2024-04-20,"Pau FC","Laval",3,0,"H",2,0,"H",2.62,3.1,2.99,"2-0","3-0",14,7,15,3,1,2,0,0,8,6,12,17,3,14,29,"8-6","Y","Y","N",3,0,3,30,200,90,420,42,1260
"4446","F2",2024-04-23,"Auxerre","Laval",4,0,"H",3,0,"H",1.55,4.16,6.29,"3-0","4-0",12,7,4,3,1,0,0,1,3,4,12,8,4,7,20,"3-4","Y","Y","Y",1,1,4,35,250,140,245,28,980
"4461","F2",2024-04-27,"Laval","Bordeaux",1,0,"H",0,0,"D",2.91,3.29,2.56,"0-0","1-0",10,7,6,1,3,3,0,1,4,4,10,12,1,8,22,"4-4","N","N","N",6,1,1,85,1650,85,680,8,680
"13","F2",2024-04-27,"Laval","Bordeaux",1,0,"H",0,0,"D",2.91,3.29,2.56,"0-0","1-0",10,7,6,1,3,3,0,1,4,4,10,12,1,8,22,"4-4","N","N","N",6,1,2.33333333333333,44.5833333333333,462.5,96.25,441.25,23.25,990
