"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3273","F2",2024-01-23,"Bastia","Caen",1,2,"A",1,0,"H",2.49,2.99,3.36,"1-0","1-2",9,3,11,5,2,4,1,0,2,4,19,12,3,6,31,"2-4","Y","Y","N",6,1,3,85,1800,255,510,18,1530
"3285","F2",2024-01-27,"Caen","Troyes",0,0,"D",0,0,"D",2.02,3.58,3.85,"0-0","0-0",19,6,6,0,2,1,0,0,10,4,16,17,0,14,33,"10-4","N","N","N",3,0,0,30,200,0,420,0,0
"3295","F2",2024-02-03,"Grenoble","Caen",5,1,"H",2,0,"H",2.02,3.46,4,"2-0","5-1",9,7,11,8,1,1,0,1,2,3,18,13,6,5,31,"2-3","Y","Y","Y",2,1,6,45,350,270,225,30,1350
"3305","F2",2024-02-10,"Caen","Amiens",2,0,"H",0,0,"D",2.12,3.24,3.92,"0-0","2-0",13,2,8,0,2,2,0,0,2,4,12,17,2,6,29,"2-4","Y","N","N",4,0,2,40,400,80,240,12,480
"3316","F2",2024-02-17,"Guingamp","Caen",1,0,"H",1,0,"H",1.91,3.59,4.29,"1-0","1-0",7,1,7,3,2,3,0,0,3,9,21,15,1,12,36,"3-9","N","N","N",5,0,1,50,600,50,600,12,600
"3330","F2",2024-02-26,"Caen","Angers",2,0,"H",1,0,"H",2.42,3.15,3.2,"1-0","2-0",12,5,14,2,1,1,0,0,3,8,5,8,2,11,13,"3-8","Y","N","N",2,0,2,20,100,40,220,22,440
"3278","F2",2024-01-23,"Guingamp","Rodez",3,3,"D",3,3,"D",2.01,3.45,4.06,"3-3","3-3",16,5,9,5,1,1,0,0,5,4,12,16,6,9,28,"5-4","Y","Y","Y",2,0,6,20,100,120,180,54,1080
"3288","F2",2024-01-27,"Rodez","Laval",1,2,"A",0,0,"D",2.21,3.25,3.67,"0-0","1-2",17,3,11,7,2,4,0,0,5,5,13,19,3,10,32,"5-5","Y","Y","N",6,0,3,60,800,180,600,30,1800
"3293","F2",2024-02-03,"Angers","Rodez",2,1,"H",1,1,"D",2.03,3.48,3.95,"1-1","2-1",16,3,10,4,2,3,0,0,6,8,8,11,3,14,19,"6-8","Y","Y","N",5,0,3,50,600,150,700,42,2100
"3308","F2",2024-02-10,"Rodez","Dunkerque",0,0,"D",0,0,"D",1.74,3.85,4.96,"0-0","0-0",8,1,9,2,2,1,1,0,5,3,12,8,0,8,20,"5-3","N","N","N",3,1,0,55,450,0,440,0,0
"3313","F2",2024-02-17,"Bastia","Rodez",0,2,"A",0,1,"A",2.53,3.09,3.18,"0-1","0-2",16,4,11,6,2,0,0,0,11,4,13,7,2,15,20,"11-4","Y","N","N",2,0,2,20,0,40,300,30,600
"3329","F2",2024-02-24,"Valenciennes","Rodez",0,2,"A",0,1,"A",3.06,3.35,2.46,"0-1","0-2",8,4,14,7,1,0,0,0,4,3,8,8,2,7,16,"4-3","Y","N","N",1,0,2,10,0,20,70,14,140
"13","F2",2024-02-24,"Valenciennes","Rodez",0,2,"A",0,1,"A",3.06,3.35,2.46,"0-1","0-2",8,4,14,7,1,0,0,0,4,3,8,8,2,7,16,"4-3","Y","N","N",1,0,2.5,40.4166666666667,450,100.416666666667,375.416666666667,22,843.333333333333
