"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4488","F2",2024-04-06,"Bastia","Dunkerque",1,1,"D",1,0,"H",2.11,3.17,3.99,"1-0","1-1",6,4,10,3,2,1,0,0,2,3,20,13,2,5,33,"2-3","Y","N","N",3,0,2,30,200,60,150,10,300
"4499","F2",2024-04-13,"Dunkerque","Guingamp",0,1,"A",0,0,"D",3.81,3.02,2.24,"0-0","0-1",10,0,14,6,3,2,1,0,1,4,13,14,1,5,27,"1-4","N","N","N",5,1,1,75,1100,75,375,5,375
"4507","F2",2024-04-20,"Amiens","Dunkerque",0,1,"A",0,0,"D",2.09,3.25,3.94,"0-0","0-1",8,4,13,7,2,2,0,0,3,1,12,12,1,4,24,"3-1","N","N","N",4,0,1,40,400,40,160,4,160
"4517","F2",2024-04-23,"Bordeaux","Dunkerque",2,0,"H",1,0,"H",1.72,3.52,5.64,"1-0","2-0",14,8,8,1,1,2,0,0,10,4,12,10,2,14,22,"10-4","Y","N","N",3,0,2,30,200,60,420,28,840
"4534","F2",2024-04-29,"Dunkerque","Auxerre",1,3,"A",1,0,"H",4.24,3.73,1.82,"1-0","1-3",5,1,23,8,0,0,0,0,0,9,10,10,4,9,20,"0-9","Y","Y","Y",0,0,4,0,0,0,0,36,0
"4540","F2",2024-05-03,"Quevilly Rouen","Dunkerque",1,2,"A",1,0,"H",2.04,3.4,3.9,"1-0","1-2",11,2,13,6,2,2,0,0,7,3,20,13,3,10,33,"7-3","Y","Y","N",4,0,3,40,400,120,400,30,1200
"4489","F2",2024-04-06,"Caen","Bordeaux",0,1,"A",0,1,"A",2.4,3.24,3.18,"0-1","0-1",16,3,11,3,3,2,0,0,7,2,14,19,1,9,33,"7-2","N","N","N",5,0,1,50,600,50,450,9,450
"4497","F2",2024-04-13,"Caen","Rodez",1,0,"H",1,0,"H",2.33,3.15,3.42,"1-0","1-0",8,2,14,1,2,0,0,0,3,3,18,17,1,6,35,"3-3","N","N","N",2,0,1,20,0,20,120,6,120
"4506","F2",2024-04-20,"Ajaccio","Caen",2,1,"H",2,0,"H",2.7,2.74,3.3,"2-0","2-1",7,5,10,3,2,0,0,0,2,2,15,9,3,4,24,"2-2","Y","Y","N",2,0,3,20,0,60,80,12,240
"4518","F2",2024-04-23,"Caen","Annecy",2,1,"H",1,0,"H",2.42,3.19,3.21,"1-0","2-1",12,4,6,3,1,1,0,1,14,0,9,17,3,14,26,"14-0","Y","Y","N",2,1,3,45,350,135,630,42,1890
"4525","F2",2024-04-27,"St Etienne","Caen",1,0,"H",1,0,"H",1.71,3.87,5,"1-0","1-0",11,5,20,3,0,3,0,1,4,6,13,13,1,10,26,"4-6","N","N","N",3,1,1,55,0,55,550,10,550
"4538","F2",2024-05-03,"Caen","Laval",1,0,"H",0,0,"D",2.08,3.25,3.96,"0-0","1-0",16,7,6,2,1,1,0,0,4,8,12,13,1,12,25,"4-8","N","N","N",2,0,1,20,100,20,240,12,240
"13","F2",2024-05-03,"Caen","Laval",1,0,"H",0,0,"D",2.08,3.25,3.96,"0-0","1-0",16,7,6,2,1,1,0,0,4,8,12,13,1,12,25,"4-8","N","N","N",2,0,1.91666666666667,35.4166666666667,279.166666666667,57.9166666666667,297.916666666667,17,530.416666666667
