"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4370","F2",2023-03-18,"Le Havre","St Etienne",2,2,"D",0,0,"D",2.35,3.14,3.47,"0-0","2-2",9,2,14,5,3,2,0,1,2,9,11,18,4,11,29,"2-9","Y","Y","Y",5,1,4,75,1350,300,825,44,3300
"4386","F2",2023-04-01,"Pau FC","Le Havre",0,1,"A",0,1,"A",4.17,3.16,2.09,"0-1","0-1",13,2,6,1,1,3,0,0,5,0,11,17,1,5,28,"5-0","N","N","N",4,0,1,40,300,40,200,5,200
"4394","F2",2023-04-08,"Le Havre","Guingamp",0,0,"D",0,0,"D",1.93,3.16,5.03,"0-0","0-0",10,1,7,1,3,1,0,0,5,1,12,12,0,6,24,"5-1","N","N","N",4,0,0,40,300,0,240,0,0
"4404","F2",2023-04-15,"Nimes","Le Havre",0,1,"A",0,1,"A",3.69,3.05,2.3,"0-1","0-1",8,2,11,4,2,0,0,0,0,4,18,11,1,4,29,"0-4","N","N","N",2,0,1,20,0,20,80,4,80
"4415","F2",2023-04-22,"Le Havre","Quevilly Rouen",0,0,"D",0,0,"D",2,3.13,4.63,"0-0","0-0",12,1,10,4,1,1,0,0,4,3,8,7,0,7,15,"4-3","N","N","N",2,0,0,20,100,0,140,0,0
"4420","F2",2023-04-29,"Caen","Le Havre",1,2,"A",0,1,"A",2.53,2.88,3.43,"0-1","1-2",15,3,12,6,0,1,0,1,8,11,14,18,3,19,32,"8-11","Y","Y","N",1,1,3,35,0,105,665,57,1995
"4371","F2",2023-03-18,"Amiens","Rodez",1,3,"A",1,1,"D",1.93,3.38,4.53,"1-1","1-3",11,7,14,6,1,1,0,0,5,3,17,12,4,8,29,"5-3","Y","Y","Y",2,0,4,20,100,80,160,32,640
"4387","F2",2023-04-01,"Rodez","Quevilly Rouen",1,0,"H",0,0,"D",3.21,3.08,2.52,"0-0","1-0",10,6,8,2,3,1,0,0,0,4,12,14,1,4,26,"0-4","N","N","N",4,0,1,40,300,40,160,4,160
"4392","F2",2023-04-08,"Dijon","Rodez",1,0,"H",0,0,"D",2.04,3.34,3.95,"0-0","1-0",11,4,7,2,1,0,0,0,7,3,15,12,1,10,27,"7-3","N","N","N",1,0,1,10,0,10,100,10,100
"4406","F2",2023-04-15,"Rodez","Laval",1,0,"H",1,0,"H",2.72,3.06,2.9,"1-0","1-0",9,4,10,3,2,3,0,0,4,7,19,17,1,11,36,"4-7","N","N","N",5,0,1,50,600,50,550,11,550
"4412","F2",2023-04-22,"Annecy","Rodez",0,3,"A",0,0,"D",2.17,3.26,3.75,"0-0","0-3",2,0,11,3,1,0,0,0,8,3,10,7,3,11,17,"8-3","Y","Y","N",1,0,3,10,0,30,110,33,330
"4427","F2",2023-04-29,"Rodez","St Etienne",1,1,"D",0,0,"D",4.51,3.88,1.79,"0-0","1-1",21,5,14,4,1,2,0,0,4,4,11,19,2,8,30,"4-4","Y","N","N",3,0,2,30,200,60,240,16,480
"13","F2",2023-04-29,"Rodez","St Etienne",1,1,"D",0,0,"D",4.51,3.88,1.79,"0-0","1-1",21,5,14,4,1,2,0,0,4,4,11,19,2,8,30,"4-4","Y","N","N",3,0,1.75,32.5,270.833333333333,61.25,289.166666666667,18,652.916666666667
