"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3405","F2",2024-01-27,"Annecy","Pau FC",0,0,"D",0,0,"D",2.12,3.56,3.55,"0-0","0-0",7,1,11,2,2,2,0,0,2,0,12,16,0,2,28,"2-0","N","N","N",4,0,0,40,400,0,80,0,0
"3420","F2",2024-02-03,"Pau FC","Auxerre",2,2,"D",1,1,"D",4.52,4.05,1.76,"1-1","2-2",12,5,14,6,1,2,0,0,3,4,10,12,4,7,22,"3-4","Y","Y","Y",3,0,4,30,200,120,210,28,840
"3428","F2",2024-02-10,"Paris FC","Pau FC",1,1,"D",0,0,"D",1.83,3.7,4.55,"0-0","1-1",13,6,13,5,2,1,0,0,7,5,9,7,2,12,16,"7-5","Y","N","N",3,0,2,30,200,60,360,24,720
"3440","F2",2024-02-17,"Pau FC","Quevilly Rouen",0,2,"A",0,2,"A",2.56,3.32,2.93,"0-2","0-2",15,6,9,3,1,2,0,0,9,3,8,14,2,12,22,"9-3","Y","N","N",3,0,2,30,200,60,360,24,720
"3448","F2",2024-02-24,"Grenoble","Pau FC",0,1,"A",0,1,"A",1.88,3.57,4.45,"0-1","0-1",14,3,10,4,1,2,0,0,3,1,10,15,1,4,25,"3-1","N","N","N",3,0,1,30,200,30,120,4,120
"3460","F2",2024-03-02,"Pau FC","Caen",2,3,"A",0,1,"A",2.97,3.22,2.59,"0-1","2-3",19,8,7,3,1,1,0,0,8,1,12,12,5,9,24,"8-1","Y","Y","Y",2,0,5,20,100,100,180,45,900
"3409","F2",2024-01-27,"Quevilly Rouen","Grenoble",1,1,"D",0,0,"D",2.59,3.19,3.01,"0-0","1-1",17,6,7,3,1,1,0,0,6,5,10,13,2,11,23,"6-5","Y","N","N",2,0,2,20,100,40,220,22,440
"3417","F2",2024-02-03,"Grenoble","Caen",5,1,"H",2,0,"H",2.02,3.46,4,"2-0","5-1",9,7,11,8,1,1,0,1,2,3,18,13,6,5,31,"2-3","Y","Y","Y",2,1,6,45,350,270,225,30,1350
"3426","F2",2024-02-10,"Bordeaux","Grenoble",1,0,"H",1,0,"H",2.29,3.47,3.25,"1-0","1-0",14,6,17,6,2,3,0,0,9,8,13,13,1,17,26,"9-8","N","N","N",5,0,1,50,600,50,850,17,850
"3441","F2",2024-02-17,"Troyes","Grenoble",3,1,"H",1,0,"H",3.3,3.39,2.3,"1-0","3-1",11,5,9,2,1,2,0,0,4,4,19,17,4,8,36,"4-4","Y","Y","Y",3,0,4,30,200,120,240,32,960
"34481","F2",2024-02-24,"Grenoble","Pau FC",0,1,"A",0,1,"A",1.88,3.57,4.45,"0-1","0-1",14,3,10,4,1,2,0,0,3,1,10,15,1,4,25,"3-1","N","N","N",3,0,1,30,200,30,120,4,120
"3456","F2",2024-03-02,"Bastia","Grenoble",1,0,"H",1,0,"H",2.56,3.1,3.13,"1-0","1-0",14,4,7,2,4,1,0,0,4,5,17,8,1,9,25,"4-5","N","N","N",5,0,1,50,400,50,450,9,450
"13","F2",2024-03-02,"Bastia","Grenoble",1,0,"H",1,0,"H",2.56,3.1,3.13,"1-0","1-0",14,4,7,2,4,1,0,0,4,5,17,8,1,9,25,"4-5","N","N","N",5,0,2.41666666666667,33.75,262.5,77.5,284.583333333333,19.9166666666667,622.5
