"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1141","F2",2023-09-16,"Quevilly Rouen","Concarneau",2,3,"A",0,3,"A",1.94,3.46,4.18,"0-3","2-3",23,8,9,6,1,1,0,0,7,1,18,12,5,8,30,"7-1","Y","Y","Y",2,0,5,20,100,100,160,40,800
"1151","F2",2023-09-23,"Grenoble","Quevilly Rouen",2,1,"H",1,1,"D",2.49,3.28,3.07,"1-1","2-1",10,4,11,5,1,2,0,0,4,1,9,11,3,5,20,"4-1","Y","Y","N",3,0,3,30,200,90,150,15,450
"1160","F2",2023-09-26,"Quevilly Rouen","Angers",0,1,"A",0,1,"A",2.84,3.13,2.77,"0-1","0-1",12,1,6,3,3,4,1,0,2,5,15,17,1,7,32,"2-5","N","N","N",7,1,1,95,2200,95,665,7,665
"1168","F2",2023-09-30,"Dunkerque","Quevilly Rouen",0,1,"A",0,0,"D",2.48,3.23,3.12,"0-0","0-1",11,3,16,6,0,0,0,0,9,12,8,14,1,21,22,"9-12","N","N","N",0,0,1,0,0,0,0,21,0
"1181","F2",2023-10-07,"Quevilly Rouen","Pau FC",2,2,"D",1,1,"D",1.89,3.7,4.25,"1-1","2-2",19,4,4,2,1,3,0,1,3,0,17,14,4,3,31,"3-0","Y","Y","Y",4,1,4,65,550,260,195,12,780
"1137","F2",2023-09-16,"Auxerre","Pau FC",2,2,"D",1,1,"D",1.5,4.47,6.8,"1-1","2-2",24,6,6,4,2,3,0,0,13,4,10,3,4,17,13,"13-4","Y","Y","Y",5,0,4,50,600,200,850,68,3400
"1153","F2",2023-09-23,"Pau FC","Annecy",0,3,"A",0,2,"A",2.9,3.21,2.65,"0-2","0-3",12,4,9,5,5,1,0,0,7,4,17,16,3,11,33,"7-4","Y","Y","N",6,0,3,60,500,180,660,33,1980
"1156","F2",2023-09-26,"Bastia","Pau FC",1,4,"A",0,1,"A",1.72,3.87,5.08,"0-1","1-4",10,2,17,10,2,3,1,0,10,3,7,12,5,13,19,"10-3","Y","Y","Y",5,1,5,75,1350,375,975,65,4875
"1171","F2",2023-09-30,"Pau FC","Amiens",1,0,"H",1,0,"H",2.96,3.37,2.51,"1-0","1-0",15,6,14,7,2,0,0,0,4,3,14,15,1,7,29,"4-3","N","N","N",2,0,1,20,0,20,140,7,140
"11811","F2",2023-10-07,"Quevilly Rouen","Pau FC",2,2,"D",1,1,"D",1.89,3.7,4.25,"1-1","2-2",19,4,4,2,1,3,0,1,3,0,17,14,4,3,31,"3-0","Y","Y","Y",4,1,4,65,550,260,195,12,780
"11","F2",2023-10-07,"Quevilly Rouen","Pau FC",2,2,"D",1,1,"D",1.89,3.7,4.25,"1-1","2-2",19,4,4,2,1,3,0,1,3,0,17,14,4,3,31,"3-0","Y","Y","Y",4,1,3.1,48,605,158,399,28,1387
