"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3905","F2",2024-02-17,"Pau FC","Quevilly Rouen",0,2,"A",0,2,"A",2.56,3.32,2.93,"0-2","0-2",15,6,9,3,1,2,0,0,9,3,8,14,2,12,22,"9-3","Y","N","N",3,0,2,30,200,60,360,24,720
"3914","F2",2024-02-24,"Quevilly Rouen","Paris FC",0,0,"D",0,0,"D",2.62,3.14,3.02,"0-0","0-0",12,3,6,2,0,1,0,0,3,3,11,10,0,6,21,"3-3","N","N","N",1,0,0,10,0,0,60,0,0
"3919","F2",2024-03-02,"Annecy","Quevilly Rouen",0,0,"D",0,0,"D",2.96,3.08,2.71,"0-0","0-0",7,4,7,3,1,1,0,0,10,0,12,10,0,10,22,"10-0","N","N","N",2,0,0,20,100,0,200,0,0
"3931","F2",2024-03-09,"Bordeaux","Quevilly Rouen",0,0,"D",0,0,"D",1.97,3.5,4.14,"0-0","0-0",14,4,6,1,1,1,0,0,7,3,14,15,0,10,29,"7-3","N","N","N",2,0,0,20,100,0,200,0,0
"3946","F2",2024-03-16,"Quevilly Rouen","Troyes",1,1,"D",0,1,"A",2.04,3.32,4.14,"0-1","1-1",9,3,5,1,5,1,0,0,1,1,21,18,2,2,39,"1-1","Y","N","N",6,0,2,60,500,120,120,4,240
"3955","F2",2024-03-30,"Quevilly Rouen","Caen",1,2,"A",0,2,"A",2.39,3.03,3.44,"0-2","1-2",15,6,6,4,2,3,0,0,10,3,21,17,3,13,38,"10-3","Y","Y","N",5,0,3,50,600,150,650,39,1950
"3898","F2",2024-02-17,"Angers","St Etienne",0,3,"A",0,2,"A",2.34,3.32,3.29,"0-2","0-3",6,0,13,5,3,1,0,0,5,7,15,16,3,12,31,"5-7","Y","Y","N",4,0,3,40,300,120,480,36,1440
"3908","F2",2024-02-24,"St Etienne","Annecy",2,1,"H",2,0,"H",1.63,3.86,6.17,"2-0","2-1",7,4,15,5,3,0,0,0,1,7,15,16,3,8,31,"1-7","Y","Y","N",3,0,3,30,0,90,240,24,720
"3918","F2",2024-03-02,"Paris FC","St Etienne",0,0,"D",0,0,"D",2.62,3.26,2.9,"0-0","0-0",7,3,11,3,1,2,0,0,6,6,11,17,0,12,28,"6-6","N","N","N",3,0,0,30,200,0,360,0,0
"3928","F2",2024-03-09,"St Etienne","Auxerre",1,0,"H",0,0,"D",2.93,3.39,2.52,"0-0","1-0",14,6,11,3,2,3,0,0,6,9,18,8,1,15,26,"6-9","N","N","N",5,0,1,50,600,50,750,15,750
"3941","F2",2024-03-16,"Bastia","St Etienne",0,4,"A",0,2,"A",2.95,3.18,2.63,"0-2","0-4",10,3,14,9,2,1,0,0,4,5,19,12,4,9,31,"4-5","Y","Y","Y",3,0,4,30,200,120,270,36,1080
"3948","F2",2024-03-30,"Valenciennes","St Etienne",0,2,"A",0,2,"A",6.17,3.61,1.65,"0-2","0-2",12,5,8,3,0,2,0,0,3,4,15,14,2,7,29,"3-4","Y","N","N",2,0,2,20,0,40,140,14,280
"13","F2",2024-03-30,"Valenciennes","St Etienne",0,2,"A",0,2,"A",6.17,3.61,1.65,"0-2","0-2",12,5,8,3,0,2,0,0,3,4,15,14,2,7,29,"3-4","Y","N","N",2,0,1.66666666666667,32.5,233.333333333333,62.5,319.166666666667,16,598.333333333333
