"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4874","G1",2024-01-20,"OFI Crete","Panetolikos",1,0,"H",1,0,"H",1.95,3.22,4.47,"1-0","1-0",4,1,7,2,2,4,0,0,1,1,19,14,1,2,33,"1-1","N","N","N",6,0,1,60,800,60,120,2,120
"4879","G1",2024-01-27,"Panetolikos","Lamia",1,2,"A",0,1,"A",2.12,3.14,3.91,"0-1","1-2",14,2,13,5,2,5,0,0,4,5,15,14,3,9,29,"4-5","Y","Y","N",7,0,3,70,1000,210,630,27,1890
"4886","G1",2024-02-03,"Volos NFC","Panetolikos",1,1,"D",1,1,"D",2.32,3.21,3.31,"1-1","1-1",9,6,8,3,2,4,0,0,5,5,23,20,2,10,43,"5-5","Y","N","N",6,0,2,60,800,120,600,20,1200
"4895","G1",2024-02-10,"Panetolikos","Atromitos",1,0,"H",1,0,"H",2.41,3.21,3.15,"1-0","1-0",8,5,14,4,4,3,1,0,5,10,13,16,1,15,29,"5-10","N","N","N",7,1,1,95,1950,95,1425,15,1425
"4906","G1",2024-02-19,"Asteras Tripolis","Panetolikos",2,2,"D",1,1,"D",1.93,3.43,4.04,"1-1","2-2",20,6,11,8,1,4,0,0,6,3,14,16,4,9,30,"6-3","Y","Y","Y",5,0,4,50,400,200,450,36,1800
"4910","G1",2024-02-25,"Panetolikos","PAOK",1,3,"A",1,0,"H",7.76,4.91,1.37,"1-0","1-3",6,4,18,5,2,0,0,0,2,5,12,14,4,7,26,"2-5","Y","Y","Y",2,0,4,20,0,80,140,28,560
"4872","G1",2024-01-20,"Lamia","Kifisia",4,1,"H",2,1,"H",1.93,2.86,4.62,"2-1","4-1",11,6,9,3,1,1,0,0,6,8,12,21,5,14,33,"6-8","Y","Y","Y",2,0,5,20,100,100,280,70,1400
"48791","G1",2024-01-27,"Panetolikos","Lamia",1,2,"A",0,1,"A",2.12,3.14,3.91,"0-1","1-2",14,2,13,5,2,5,0,0,4,5,15,14,3,9,29,"4-5","Y","Y","N",7,0,3,70,1000,210,630,27,1890
"4890","G1",2024-02-04,"Giannina","Lamia",1,4,"A",1,2,"A",2.44,2.79,3.49,"1-2","1-4",15,5,12,8,5,3,0,0,11,4,12,13,5,15,25,"11-4","Y","Y","Y",8,0,5,80,1500,400,1200,75,6000
"4898","G1",2024-02-11,"Lamia","Asteras Tripolis",2,1,"H",0,1,"A",2.53,2.95,3.12,"0-1","2-1",11,6,13,6,2,4,0,1,4,3,14,23,3,7,37,"4-3","Y","Y","N",6,1,3,85,1300,255,595,21,1785
"4901","G1",2024-02-17,"Panathinaikos","Lamia",2,2,"D",1,1,"D",1.35,5.36,8.12,"1-1","2-2",27,7,4,2,1,3,0,1,12,2,20,9,4,14,29,"12-2","Y","Y","Y",4,1,4,65,550,260,910,56,3640
"4907","G1",2024-02-24,"Lamia","AEK",1,3,"A",0,2,"A",7.29,4.55,1.44,"0-2","1-3",4,4,14,7,2,1,0,0,3,4,11,16,4,7,27,"3-4","Y","Y","Y",3,0,4,30,200,120,210,28,840
"13","G1",2024-02-24,"Lamia","AEK",1,3,"A",0,2,"A",7.29,4.55,1.44,"0-2","1-3",4,4,14,7,2,1,0,0,3,4,11,16,4,7,27,"3-4","Y","Y","Y",3,0,3.25,58.75,800,175.833333333333,599.166666666667,33.75,1879.16666666667
