"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2025-03-29,"Como","Empoli",1,1,"D",0,0,"D",1.78,3.35,5.66,"0-0","1-1",16,5,14,4,2,5,0,1,4,1,5,22,2,5,27,"4-1","Y","N","N",7,1,"Como-Empoli",136,2,29,95,1500,190,475,2755,10,58,145,680,950
"2","I1",2025-04-05,"Monza","Como",1,3,"A",1,2,"A",5.47,3.88,1.68,"1-2","1-3",8,4,17,7,2,1,0,0,2,2,19,21,4,4,40,"2-2","Y","Y","Y",3,0,"Monza-Como",111,4,135,30,200,120,120,4050,16,540,540,444,480
"3","I1",2025-04-13,"Como","Torino",1,0,"H",1,0,"H",1.93,3.49,4.34,"1-0","1-0",15,7,10,4,1,3,0,0,7,4,9,16,1,11,25,"7-4","N","N","N",4,0,"Como-Torino",38,1,11,40,300,40,440,440,11,11,121,418,440
"4","I1",2025-04-19,"Lecce","Como",0,3,"A",0,1,"A",3.85,3.42,2.08,"0-1","0-3",14,7,11,6,3,5,0,0,9,4,18,14,3,13,32,"9-4","Y","Y","N",8,0,"Lecce-Como",207,3,81,80,1500,240,1040,6480,39,243,1053,2691,3120
"5","I1",2025-04-27,"Como","Genoa",1,0,"H",0,0,"D",1.86,3.52,4.66,"0-0","1-0",14,3,4,1,2,1,0,0,6,3,19,15,1,9,34,"6-3","N","N","N",3,0,"Como-Genoa",59,1,7,30,200,30,270,210,9,7,63,531,270
"6","I1",2025-05-03,"Parma","Como",0,1,"A",0,0,"D",3.2,3.41,2.34,"0-0","0-1",13,3,13,4,1,1,0,0,5,5,16,14,1,10,30,"5-5","N","N","N",2,0,"Parma-Como",79,1,7,20,100,20,200,140,10,7,70,790,200
"7","I1",2025-03-30,"Cagliari","Monza",3,0,"H",0,0,"D",1.68,3.75,5.78,"0-0","3-0",11,4,12,3,2,2,0,0,4,6,17,11,3,10,28,"4-6","Y","Y","N",4,0,"Cagliari-Monza",212,3,157,40,400,120,400,6280,30,471,1570,2120,1200
"8","I1",2025-04-06,"Empoli","Cagliari",0,0,"D",0,0,"D",2.6,3.09,3.08,"0-0","0-0",7,1,7,1,0,4,0,0,2,3,9,15,0,5,24,"2-3","N","N","N",4,0,"Empoli-Cagliari",0,0,0,40,0,0,200,0,0,0,0,0,0
"9","I1",2025-04-12,"Inter","Cagliari",3,1,"H",2,0,"H",1.35,5.42,8.93,"2-0","3-1",13,4,8,4,0,1,0,0,5,6,6,12,4,11,18,"5-6","Y","Y","Y",1,0,"Inter-Cagliari",142,4,140,10,0,40,110,1400,44,560,1540,1562,440
"10","I1",2025-04-23,"Cagliari","Fiorentina",1,2,"A",1,1,"D",3.12,3.21,2.5,"1-1","1-2",8,2,8,4,2,2,0,0,4,4,15,15,3,8,30,"4-4","Y","Y","N",4,0,"Cagliari-Fiorentina",91,3,121,40,400,120,320,4840,24,363,968,728,960
"11","I1",2025-04-28,"Verona","Cagliari",0,2,"A",0,1,"A",2.7,2.76,3.33,"0-1","0-2",6,2,6,4,2,1,1,0,2,3,14,9,2,5,23,"2-3","Y","N","N",3,1,"Verona-Cagliari",120,2,44,55,450,110,275,2420,10,88,220,600,550
"12","I1",2025-05-03,"Cagliari","Udinese",1,2,"A",1,1,"D",2.25,3.18,3.64,"1-1","1-2",8,2,11,3,1,2,0,0,5,4,5,15,3,9,20,"5-4","Y","Y","N",3,0,"Cagliari-Udinese",129,3,56,30,200,90,270,1680,27,168,504,1161,810
"13","I1",2025-05-03,"Cagliari","Udinese",1,2,"A",1,1,"D",2.25,3.18,3.64,"1-1","1-2",8,2,11,3,1,2,0,0,5,4,5,15,3,9,20,"5-4","Y","Y","N",3,0,"Cagliari-Udinese",110.333333333333,2.25,65.6666666666667,42.5,437.5,93.3333333333333,343.333333333333,2557.91666666667,19.1666666666667,209.666666666667,566.166666666667,977.083333333333,785
