"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2024-02-02,"Lecce","Fiorentina",3,2,"H",1,0,"H",3.81,3.31,2.16,"1-0","3-2",16,8,10,3,3,3,0,0,1,3,13,14,5,4,27,"1-3","Y","Y","Y",6,0,"Lecce-Fiorentina",314,5,161,60,900,300,240,9660,20,805,644,1256,1200
"2","I1",2024-02-11,"Fiorentina","Frosinone",5,1,"H",3,0,"H",1.54,4.46,6.13,"3-0","5-1",18,7,11,3,3,1,0,0,2,5,16,8,6,7,24,"2-5","Y","Y","Y",4,0,"Fiorentina-Frosinone",282,6,177,40,300,240,280,7080,42,1062,1239,1974,1680
"3","I1",2024-02-14,"Bologna","Fiorentina",2,0,"H",1,0,"H",2.41,3.2,3.28,"1-0","2-0",18,7,12,3,2,3,0,0,2,3,11,8,2,5,19,"2-3","Y","N","N",5,0,"Bologna-Fiorentina",102,2,28,50,600,100,250,1400,10,56,140,510,500
"4","I1",2024-02-18,"Empoli","Fiorentina",1,1,"D",0,1,"A",3.65,3.38,2.16,"0-1","1-1",5,4,9,4,3,2,0,0,0,3,15,14,2,3,29,"0-3","Y","N","N",5,0,"Empoli-Fiorentina",86,2,19,50,600,100,150,950,6,38,57,258,300
"5","I1",2024-02-26,"Fiorentina","Lazio",2,1,"H",0,1,"A",2.32,3.19,3.46,"0-1","2-1",22,7,5,1,0,2,0,0,13,2,15,12,3,15,27,"13-2","Y","Y","N",2,0,"Fiorentina-Lazio",175,3,48,20,0,60,300,960,45,144,720,2625,900
"6","I1",2024-03-02,"Torino","Fiorentina",0,0,"D",0,0,"D",2.75,3.06,2.92,"0-0","0-0",8,2,14,3,2,4,1,0,4,5,13,13,0,9,26,"4-5","N","N","N",6,1,"Torino-Fiorentina",0,0,0,85,1800,0,765,0,0,0,0,0,0
"7","I1",2024-01-29,"Salernitana","Roma",1,2,"A",0,0,"D",5.79,3.91,1.64,"0-0","1-2",15,7,5,2,2,3,0,0,5,1,12,12,3,6,24,"5-1","Y","Y","N",5,0,"Salernitana-Roma",187,3,48,50,600,150,300,2400,18,144,288,1122,900
"8","I1",2024-02-05,"Roma","Cagliari",4,0,"H",2,0,"H",1.48,4.54,7.13,"2-0","4-0",20,6,12,3,1,1,0,0,7,5,8,12,4,12,20,"7-5","Y","Y","Y",2,0,"Roma-Cagliari",135,4,52,20,100,80,240,1040,48,208,624,1620,960
"9","I1",2024-02-10,"Roma","Inter",2,4,"A",2,1,"H",4.49,3.52,1.89,"2-1","2-4",8,3,10,6,2,0,0,0,3,8,9,14,6,11,23,"3-8","Y","Y","Y",2,0,"Roma-Inter",284,6,303,20,0,120,220,6060,66,1818,3333,3124,1320
"10","I1",2024-02-18,"Frosinone","Roma",0,3,"A",0,1,"A",3.88,3.83,1.93,"0-1","0-3",25,7,13,5,0,3,0,0,10,2,10,16,3,12,26,"10-2","Y","Y","N",3,0,"Frosinone-Roma",190,3,36,30,0,90,360,1080,36,108,432,2280,1080
"11","I1",2024-02-26,"Roma","Torino",3,2,"H",1,1,"D",1.98,3.29,4.43,"1-1","3-2",6,3,14,6,2,2,0,0,0,4,12,16,5,4,28,"0-4","Y","Y","Y",4,0,"Roma-Torino",301,5,157,40,400,200,160,6280,20,785,628,1204,800
"12","I1",2024-03-02,"Monza","Roma",1,4,"A",0,2,"A",3.72,3.55,2.07,"0-2","1-4",16,5,12,6,1,4,0,0,6,3,11,18,5,9,29,"6-3","Y","Y","Y",5,0,"Monza-Roma",312,5,178,50,400,250,450,8900,45,890,1602,2808,2250
"13","I1",2024-03-02,"Monza","Roma",1,4,"A",0,2,"A",3.72,3.55,2.07,"0-2","1-4",16,5,12,6,1,4,0,0,6,3,11,18,5,9,29,"6-3","Y","Y","Y",5,0,"Monza-Roma",197.333333333333,3.66666666666667,100.583333333333,42.9166666666667,475,140.833333333333,309.583333333333,3817.5,29.6666666666667,504.833333333333,808.916666666667,1565.08333333333,990.833333333333
