"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2025-03-30,"Inter","Udinese",2,1,"H",2,0,"H",1.4,4.86,8.55,"2-0","2-1",13,3,11,4,2,0,0,0,2,4,8,14,3,6,22,"2-4","Y","Y","N",2,0,"Inter-Udinese",112,3,52,20,0,60,120,1040,18,156,312,672,360
"2","I1",2025-04-05,"Parma","Inter",2,2,"D",0,2,"A",6.73,4.5,1.5,"0-2","2-2",8,4,20,4,2,3,0,0,2,4,9,7,4,6,16,"2-4","Y","Y","Y",5,0,"Parma-Inter",189,4,72,50,600,200,300,3600,24,288,432,1134,1200
"3","I1",2025-04-12,"Inter","Cagliari",3,1,"H",2,0,"H",1.35,5.42,8.93,"2-0","3-1",13,4,8,4,0,1,0,0,5,6,6,12,4,11,18,"5-6","Y","Y","Y",1,0,"Inter-Cagliari",142,4,140,10,0,40,110,1400,44,560,1540,1562,440
"4","I1",2025-04-20,"Bologna","Inter",1,0,"H",0,0,"D",3.32,3.19,2.39,"0-0","1-0",12,3,8,1,2,3,0,0,5,6,12,21,1,11,33,"5-6","N","N","N",5,0,"Bologna-Inter",90,1,7,50,600,50,550,350,11,7,77,990,550
"5","I1",2025-04-27,"Inter","Roma",0,1,"A",0,1,"A",1.78,3.78,4.76,"0-1","0-1",17,2,19,7,1,2,0,0,4,3,11,9,1,7,20,"4-3","N","N","N",3,0,"Inter-Roma",22,1,18,30,200,30,210,540,7,18,126,154,210
"6","I1",2025-05-03,"Inter","Verona",1,0,"H",1,0,"H",1.37,5.09,8.88,"1-0","1-0",9,2,6,1,1,3,0,0,4,3,6,11,1,7,17,"4-3","N","N","N",4,0,"Inter-Verona",9,1,21,40,300,40,280,840,7,21,147,63,280
"7","I1",2025-03-29,"Como","Empoli",1,1,"D",0,0,"D",1.78,3.35,5.66,"0-0","1-1",16,5,14,4,2,5,0,1,4,1,5,22,2,5,27,"4-1","Y","N","N",7,1,"Como-Empoli",136,2,29,95,1500,190,475,2755,10,58,145,680,950
"8","I1",2025-04-05,"Monza","Como",1,3,"A",1,2,"A",5.47,3.88,1.68,"1-2","1-3",8,4,17,7,2,1,0,0,2,2,19,21,4,4,40,"2-2","Y","Y","Y",3,0,"Monza-Como",111,4,135,30,200,120,120,4050,16,540,540,444,480
"9","I1",2025-04-13,"Como","Torino",1,0,"H",1,0,"H",1.93,3.49,4.34,"1-0","1-0",15,7,10,4,1,3,0,0,7,4,9,16,1,11,25,"7-4","N","N","N",4,0,"Como-Torino",38,1,11,40,300,40,440,440,11,11,121,418,440
"10","I1",2025-04-19,"Lecce","Como",0,3,"A",0,1,"A",3.85,3.42,2.08,"0-1","0-3",14,7,11,6,3,5,0,0,9,4,18,14,3,13,32,"9-4","Y","Y","N",8,0,"Lecce-Como",207,3,81,80,1500,240,1040,6480,39,243,1053,2691,3120
"11","I1",2025-04-27,"Como","Genoa",1,0,"H",0,0,"D",1.86,3.52,4.66,"0-0","1-0",14,3,4,1,2,1,0,0,6,3,19,15,1,9,34,"6-3","N","N","N",3,0,"Como-Genoa",59,1,7,30,200,30,270,210,9,7,63,531,270
"12","I1",2025-05-03,"Parma","Como",0,1,"A",0,0,"D",3.2,3.41,2.34,"0-0","0-1",13,3,13,4,1,1,0,0,5,5,16,14,1,10,30,"5-5","N","N","N",2,0,"Parma-Como",79,1,7,20,100,20,200,140,10,7,70,790,200
"13","I1",2025-05-03,"Parma","Como",0,1,"A",0,0,"D",3.2,3.41,2.34,"0-0","0-1",13,3,13,4,1,1,0,0,5,5,16,14,1,10,30,"5-5","N","N","N",2,0,"Parma-Como",99.5,2.16666666666667,48.3333333333333,41.25,458.333333333333,88.3333333333333,342.916666666667,1820.41666666667,17.1666666666667,159.666666666667,385.5,844.083333333333,708.333333333333
