"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2023-12-11,"Empoli","Lecce",1,1,"D",0,0,"D",2.57,3.26,2.97,"0-0","1-1",18,6,14,5,2,2,0,0,8,3,14,18,2,11,32,"8-3","Y","N","N",4,0,"Empoli-Lecce",135,2,30,40,400,80,440,1200,22,60,330,1485,880
"2","I1",2023-12-16,"Lecce","Frosinone",2,1,"H",1,1,"D",2.18,3.39,3.56,"1-1","2-1",18,6,11,5,1,4,0,0,5,4,8,14,3,9,22,"5-4","Y","Y","N",5,0,"Lecce-Frosinone",133,3,120,50,400,150,450,6000,27,360,1080,1197,1350
"3","I1",2023-12-23,"Inter","Lecce",2,0,"H",1,0,"H",1.23,6.54,12.85,"1-0","2-0",20,8,11,5,1,3,0,1,16,2,8,14,2,18,22,"16-2","Y","N","N",4,1,"Inter-Lecce",121,2,54,65,550,130,1170,3510,36,108,972,1694,2340
"4","I1",2023-12-30,"Atalanta","Lecce",1,0,"H",0,0,"D",1.44,4.61,7.93,"0-0","1-0",17,4,15,2,2,2,0,0,5,6,10,16,1,11,26,"5-6","N","N","N",4,0,"Atalanta-Lecce",58,1,11,40,400,40,440,440,11,11,121,928,440
"5","I1",2024-01-06,"Lecce","Cagliari",1,1,"D",1,0,"H",2.24,3.31,3.51,"1-0","1-1",15,2,14,2,1,1,0,0,7,6,20,14,2,13,34,"7-6","Y","N","N",2,0,"Lecce-Cagliari",99,2,36,20,100,40,260,720,26,72,468,1287,520
"6","I1",2024-01-14,"Lazio","Lecce",1,0,"H",0,0,"D",1.68,3.8,5.67,"0-0","1-0",8,2,11,3,4,4,0,0,2,5,14,12,1,7,26,"2-5","N","N","N",8,0,"Lazio-Lecce",58,1,7,80,1600,80,560,560,7,7,49,406,560
"7","I1",2023-12-01,"Monza","Juventus",1,2,"A",0,1,"A",4.12,3.42,2.03,"0-1","1-2",16,1,18,7,1,2,0,0,7,3,12,8,3,10,20,"7-3","Y","Y","N",3,0,"Monza-Juventus",192,3,50,30,200,90,300,1500,30,150,500,1920,900
"8","I1",2023-12-08,"Juventus","Napoli",1,0,"H",0,0,"D",2.31,3.32,3.4,"0-0","1-0",11,2,13,1,2,4,0,0,3,6,11,12,1,9,23,"3-6","N","N","N",6,0,"Juventus-Napoli",51,1,4,60,800,60,540,240,9,4,36,459,540
"9","I1",2023-12-15,"Genoa","Juventus",1,1,"D",0,1,"A",4.97,3.23,1.93,"0-1","1-1",11,3,11,4,2,3,0,0,6,8,14,12,2,14,26,"6-8","Y","N","N",5,0,"Genoa-Juventus",76,2,18,50,600,100,700,900,28,36,252,1064,1400
"10","I1",2023-12-23,"Frosinone","Juventus",1,2,"A",0,1,"A",5.87,3.76,1.67,"0-1","1-2",10,3,13,3,0,2,0,0,8,8,6,12,3,16,18,"8-8","Y","Y","N",2,0,"Frosinone-Juventus",144,3,31,20,0,60,320,620,48,93,496,1728,960
"11","I1",2023-12-30,"Juventus","Roma",1,0,"H",0,0,"D",2.12,3.1,4.18,"0-0","1-0",13,4,11,2,1,1,0,0,2,2,15,14,1,4,29,"2-2","N","N","N",2,0,"Juventus-Roma",47,1,25,20,100,20,80,500,4,25,100,658,80
"12","I1",2024-01-07,"Salernitana","Juventus",1,2,"A",1,0,"H",8.77,4.78,1.4,"1-0","1-2",8,3,18,3,3,5,1,0,2,8,9,15,3,10,24,"2-8","Y","Y","N",8,1,"Salernitana-Juventus",194,3,51,105,2750,315,1050,5355,30,153,510,1940,3150
"13","I1",2024-01-07,"Salernitana","Juventus",1,2,"A",1,0,"H",8.77,4.78,1.4,"1-0","1-2",8,3,18,3,3,5,1,0,2,8,9,15,3,10,24,"2-8","Y","Y","N",8,1,"Salernitana-Juventus",109,2,36.4166666666667,48.3333333333333,658.333333333333,97.0833333333333,525.833333333333,1795.41666666667,23.1666666666667,89.9166666666667,409.5,1230.5,1093.33333333333
