"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2023-10-08,"Napoli","Fiorentina",1,3,"A",1,1,"D",1.62,4.26,5.6,"1-1","1-3",16,4,12,3,2,4,0,0,6,4,4,14,4,10,18,"6-4","Y","Y","Y",6,0,"Napoli-Fiorentina",205,4,101,60,800,240,600,6060,40,404,1010,2050,2400
"2","I1",2023-10-21,"Verona","Napoli",1,3,"A",0,2,"A",5.71,3.96,1.66,"0-2","1-3",15,9,22,10,3,2,0,0,5,8,12,9,4,13,21,"5-8","Y","Y","Y",5,0,"Verona-Napoli",185,4,183,50,600,200,650,9150,52,732,2379,2405,2600
"3","I1",2023-10-29,"Napoli","Milan",2,2,"D",0,2,"A",2.3,3.37,3.38,"0-2","2-2",17,4,20,6,4,3,1,0,6,4,14,10,4,10,24,"6-4","Y","Y","Y",7,1,"Napoli-Milan",166,4,120,95,1950,380,950,11400,40,480,1200,1660,3800
"4","I1",2023-11-04,"Salernitana","Napoli",0,2,"A",0,1,"A",7.02,4.99,1.44,"0-1","0-2",10,3,21,8,1,1,0,0,8,9,15,10,2,17,25,"8-9","Y","N","N",2,0,"Salernitana-Napoli",95,2,89,20,100,40,340,1780,34,178,1513,1615,680
"5","I1",2023-11-12,"Napoli","Empoli",0,1,"A",0,0,"D",1.22,7.07,11.78,"0-0","0-1",18,7,8,3,1,1,0,0,8,3,11,13,1,11,24,"8-3","N","N","N",2,0,"Napoli-Empoli",90,1,8,20,100,20,220,160,11,8,88,990,220
"6","I1",2023-11-25,"Atalanta","Napoli",1,2,"A",0,1,"A",2.72,3.42,2.68,"0-1","1-2",16,5,11,4,2,2,0,0,5,4,15,9,3,9,24,"5-4","Y","Y","N",4,0,"Atalanta-Napoli",176,3,95,40,400,120,360,3800,27,285,855,1584,1080
"7","I1",2023-10-08,"Monza","Salernitana",3,0,"H",2,0,"H",1.68,3.97,5.48,"2-0","3-0",16,7,8,5,1,2,0,0,7,7,8,16,3,14,24,"7-7","Y","Y","N",3,0,"Monza-Salernitana",109,3,140,30,200,90,420,4200,42,420,1960,1526,1260
"8","I1",2023-10-22,"Roma","Monza",1,0,"H",0,0,"D",1.74,3.87,5.08,"0-0","1-0",21,4,11,4,2,4,0,1,8,5,11,11,1,13,22,"8-5","N","N","N",6,1,"Roma-Monza",90,1,92,85,1300,85,1105,7820,13,92,1196,1170,1105
"9","I1",2023-10-29,"Monza","Udinese",1,1,"D",1,0,"H",2.14,3.54,3.58,"1-0","1-1",10,4,10,3,2,1,0,0,10,3,15,11,2,13,26,"10-3","Y","N","N",3,0,"Monza-Udinese",93,2,45,30,200,60,390,1350,26,90,585,1209,780
"10","I1",2023-11-05,"Verona","Monza",1,3,"A",0,1,"A",3.22,3.29,2.39,"0-1","1-3",16,5,12,6,1,2,0,0,2,6,6,12,4,8,18,"2-6","Y","Y","Y",3,0,"Verona-Monza",284,4,113,30,200,120,240,3390,32,452,904,2272,960
"11","I1",2023-11-11,"Monza","Torino",1,1,"D",0,0,"D",2.51,3.17,3.13,"0-0","1-1",12,5,12,5,2,2,0,0,3,1,11,11,2,4,22,"3-1","Y","N","N",4,0,"Monza-Torino",120,2,36,40,400,80,160,1440,8,72,144,480,320
"12","I1",2023-11-26,"Cagliari","Monza",1,1,"D",1,0,"H",2.9,3.25,2.63,"1-0","1-1",17,6,12,4,1,2,0,0,10,11,10,15,2,21,25,"10-11","Y","N","N",3,0,"Cagliari-Monza",72,2,28,30,200,60,630,840,42,56,588,1512,1260
"13","I1",2023-11-26,"Cagliari","Monza",1,1,"D",1,0,"H",2.9,3.25,2.63,"1-0","1-1",17,6,12,4,1,2,0,0,10,11,10,15,2,21,25,"10-11","Y","N","N",3,0,"Cagliari-Monza",140.416666666667,2.66666666666667,87.5,44.1666666666667,537.5,124.583333333333,505.416666666667,4282.5,30.5833333333333,272.416666666667,1035.16666666667,1539.41666666667,1372.08333333333
