"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2024-08-18,"Cagliari","Roma",0,0,"D",0,0,"D",4.04,3.53,1.99,"0-0","0-0",12,2,13,3,2,0,0,0,5,3,15,7,0,8,22,"5-3","N","N","N",2,0,"Cagliari-Roma",0,0,0,20,0,0,160,0,0,0,0,0,0
"2","I1",2024-08-25,"Roma","Empoli",1,2,"A",0,1,"A",1.5,4.45,6.8,"0-1","1-2",17,6,10,3,0,3,0,0,8,5,10,9,3,13,19,"8-5","Y","Y","N",3,0,"Roma-Empoli",186,3,54,30,0,90,390,1620,39,162,702,2418,1170
"3","I1",2024-09-01,"Juventus","Roma",0,0,"D",0,0,"D",1.76,3.73,5.02,"0-0","0-0",8,1,7,1,2,2,0,0,6,4,11,12,0,10,23,"6-4","N","N","N",4,0,"Juventus-Roma",0,0,0,40,400,0,400,0,0,0,0,0,0
"4","I1",2024-09-15,"Genoa","Roma",1,1,"D",0,1,"A",3.37,3.28,2.29,"0-1","1-1",20,8,16,6,1,3,0,0,4,5,9,12,2,9,21,"4-5","Y","N","N",4,0,"Genoa-Roma",127,2,15,40,300,80,360,600,18,30,135,1143,720
"5","I1",2024-09-22,"Roma","Udinese",3,0,"H",1,0,"H",1.63,4.07,5.59,"1-0","3-0",14,6,9,3,2,2,0,0,2,1,15,11,3,3,26,"2-1","Y","Y","N",4,0,"Roma-Udinese",138,3,67,40,400,120,120,2680,9,201,201,414,360
"6","I1",2024-08-18,"Lazio","Venezia",3,1,"H",2,1,"H",1.48,4.46,7.29,"2-1","3-1",13,6,11,3,1,2,0,0,6,3,14,11,4,9,25,"6-3","Y","Y","Y",3,0,"Lazio-Venezia",139,4,74,30,200,120,270,2220,36,296,666,1251,1080
"7","I1",2024-08-25,"Fiorentina","Venezia",0,0,"D",0,0,"D",1.44,4.65,7.64,"0-0","0-0",12,8,7,4,1,2,0,0,7,3,13,19,0,10,32,"7-3","N","N","N",3,0,"Fiorentina-Venezia",0,0,0,30,200,0,300,0,0,0,0,0,0
"8","I1",2024-08-30,"Venezia","Torino",0,1,"A",0,0,"D",3.63,3.3,2.23,"0-0","0-1",13,4,12,6,2,4,0,0,3,3,7,15,1,6,22,"3-3","N","N","N",6,0,"Venezia-Torino",86,1,23,60,800,60,360,1380,6,23,138,516,360
"9","I1",2024-09-14,"Milan","Venezia",4,0,"H",4,0,"H",1.3,5.83,9.65,"4-0","4-0",12,8,6,1,1,3,0,1,6,1,12,12,4,7,24,"6-1","Y","Y","Y",4,1,"Milan-Venezia",72,4,149,65,550,260,455,9685,28,596,1043,504,1820
"10","I1",2024-09-21,"Venezia","Genoa",2,0,"H",0,0,"D",3.24,3.26,2.39,"0-0","2-0",12,4,9,0,2,3,0,0,3,4,9,12,2,7,21,"3-4","Y","N","N",5,0,"Venezia-Genoa",148,2,26,50,600,100,350,1300,14,52,182,1036,700
"11","I1",2024-09-21,"Venezia","Genoa",2,0,"H",0,0,"D",3.24,3.26,2.39,"0-0","2-0",12,4,9,0,2,3,0,0,3,4,9,12,2,7,21,"3-4","Y","N","N",5,0,"Venezia-Genoa",89.6,1.9,40.8,40.5,345,83,316.5,1948.5,15,136,306.7,728.2,621
