"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2023-10-07,"Juventus","Torino",2,0,"H",0,0,"D",1.94,3.39,4.58,"0-0","2-0",17,6,10,1,1,1,0,0,7,3,10,8,2,10,18,"7-3","Y","N","N",2,0,"Juventus-Torino",109,2,18,20,100,40,200,360,20,36,180,1090,400
"2","I1",2023-10-21,"Torino","Inter",0,3,"A",0,0,"D",5.39,3.72,1.74,"0-0","0-3",7,3,14,4,1,2,0,0,2,4,13,8,3,6,21,"2-4","Y","Y","N",3,0,"Torino-Inter",216,3,39,30,200,90,180,1170,18,117,234,1296,540
"3","I1",2023-10-28,"Lecce","Torino",0,1,"A",0,1,"A",2.8,3.03,2.94,"0-1","0-1",11,6,10,2,3,5,0,0,3,0,17,19,1,3,36,"3-0","N","N","N",8,0,"Lecce-Torino",41,1,4,80,1500,80,240,320,3,4,12,123,240
"4","I1",2023-11-06,"Torino","Sassuolo",2,1,"H",1,1,"D",2.19,3.39,3.54,"1-1","2-1",21,9,5,2,1,1,0,0,9,2,9,6,3,11,15,"9-2","Y","Y","N",2,0,"Torino-Sassuolo",91,3,67,20,100,60,220,1340,33,201,737,1001,660
"5","I1",2023-11-11,"Monza","Torino",1,1,"D",0,0,"D",2.51,3.17,3.13,"0-0","1-1",12,5,12,5,2,2,0,0,3,1,11,11,2,4,22,"3-1","Y","N","N",4,0,"Monza-Torino",120,2,36,40,400,80,160,1440,8,72,144,480,320
"6","I1",2023-11-27,"Bologna","Torino",2,0,"H",0,0,"D",2.39,3.16,3.34,"0-0","2-0",13,2,9,3,3,4,0,0,3,2,16,15,2,5,31,"3-2","Y","N","N",7,0,"Bologna-Torino",146,2,89,70,1200,140,350,6230,10,178,445,730,700
"7","I1",2023-10-07,"Inter","Bologna",2,2,"D",2,1,"H",1.4,5.17,8.08,"2-1","2-2",14,5,8,3,2,3,0,0,7,7,11,9,4,14,20,"7-7","Y","Y","Y",5,0,"Inter-Bologna",95,4,41,50,600,200,700,2050,56,164,574,1330,2800
"8","I1",2023-10-21,"Torino","Inter",0,3,"A",0,0,"D",5.39,3.72,1.74,"0-0","0-3",7,3,14,4,1,2,0,0,2,4,13,8,3,6,21,"2-4","Y","Y","N",3,0,"Torino-Inter",216,3,39,30,200,90,180,1170,18,117,234,1296,540
"9","I1",2023-10-29,"Inter","Roma",1,0,"H",0,0,"D",1.65,4,5.78,"0-0","1-0",19,3,3,1,3,4,0,0,8,0,14,9,1,8,23,"8-0","N","N","N",7,0,"Inter-Roma",81,1,9,70,1200,70,560,630,8,9,72,648,560
"10","I1",2023-11-04,"Atalanta","Inter",1,2,"A",0,1,"A",3.46,3.47,2.19,"0-1","1-2",14,4,10,4,4,1,1,0,6,1,13,9,3,7,22,"6-1","Y","Y","N",5,1,"Atalanta-Inter",158,3,120,75,650,225,525,9000,21,360,840,1106,1575
"11","I1",2023-11-12,"Inter","Frosinone",2,0,"H",1,0,"H",1.19,7.86,13.84,"1-0","2-0",21,6,12,3,0,1,0,0,9,4,7,16,2,13,23,"9-4","Y","N","N",1,0,"Inter-Frosinone",91,2,52,10,0,20,130,520,26,104,676,1183,260
"12","I1",2023-11-26,"Juventus","Inter",1,1,"D",1,1,"D",3.5,3.21,2.29,"1-1","1-1",4,1,8,4,2,1,0,0,1,0,12,13,2,1,25,"1-0","Y","N","N",3,0,"Juventus-Inter",60,2,19,30,200,60,30,570,2,38,19,60,60
"13","I1",2023-11-26,"Juventus","Inter",1,1,"D",1,1,"D",3.5,3.21,2.29,"1-1","1-1",4,1,8,4,2,1,0,0,1,0,12,13,2,1,25,"1-0","Y","N","N",3,0,"Juventus-Inter",118.666666666667,2.33333333333333,44.4166666666667,43.75,529.166666666667,96.25,289.583333333333,2066.66666666667,18.5833333333333,116.666666666667,347.25,861.916666666667,721.25
