"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1",2024-04-07,"Verona","Genoa",1,2,"A",1,1,"D",2.74,2.97,3.02,"1-1","1-2",12,3,11,5,3,1,0,0,5,3,14,15,3,8,29,"5-3","Y","Y","N",4,0,"Verona-Genoa",111,3,128,40,300,120,320,5120,24,384,1024,888,960
"2","I1",2024-04-15,"Atalanta","Verona",2,2,"D",2,0,"H",1.47,4.72,6.93,"2-0","2-2",16,9,13,5,0,2,0,0,5,4,6,10,4,9,16,"5-4","Y","Y","Y",2,0,"Atalanta-Verona",147,4,128,20,0,80,180,2560,36,512,1152,1323,720
"3","I1",2024-04-20,"Verona","Udinese",1,0,"H",0,0,"D",2.63,3.05,3.08,"0-0","1-0",16,4,18,1,2,2,0,0,10,6,18,12,1,16,30,"10-6","N","N","N",4,0,"Verona-Udinese",90,1,42,40,400,40,640,1680,16,42,672,1440,640
"4","I1",2024-04-27,"Lazio","Verona",1,0,"H",0,0,"D",1.66,3.96,5.53,"0-0","1-0",17,5,7,1,4,4,0,0,4,2,13,18,1,6,31,"4-2","N","N","N",8,0,"Lazio-Verona",72,1,20,80,1600,80,480,1600,6,20,120,432,480
"5","I1",2024-05-05,"Verona","Fiorentina",2,1,"H",1,1,"D",3.2,3.26,2.42,"1-1","2-1",9,4,13,4,2,1,0,0,1,2,12,11,3,3,23,"1-2","Y","Y","N",3,0,"Verona-Fiorentina",114,3,42,30,200,90,90,1260,9,126,126,342,270
"6","I1",2024-05-12,"Verona","Torino",1,2,"A",0,0,"D",3.07,3.01,2.56,"0-0","1-2",13,5,6,2,3,2,1,0,7,4,19,15,3,11,34,"7-4","Y","Y","N",5,1,"Verona-Torino",227,3,101,75,1100,225,825,7575,33,303,1111,2497,2475
"7","I1",2024-04-08,"Udinese","Inter",1,2,"A",1,0,"H",7.1,4.53,1.48,"1-0","1-2",3,1,23,6,1,2,0,0,0,8,11,11,3,8,22,"0-8","Y","Y","N",3,0,"Udinese-Inter",185,3,60,30,200,90,240,1800,24,180,480,1480,720
"8","I1",2024-04-14,"Inter","Cagliari",2,2,"D",1,0,"H",1.18,8.14,14.02,"1-0","2-2",12,7,11,6,0,2,0,0,7,0,5,10,4,7,15,"7-0","Y","Y","Y",2,0,"Inter-Cagliari",234,4,100,20,0,80,140,2000,28,400,700,1638,560
"9","I1",2024-04-22,"Milan","Inter",1,2,"A",0,1,"A",3.96,3.68,1.96,"0-1","1-2",15,6,11,3,3,2,2,1,5,3,19,10,3,8,29,"5-3","Y","Y","N",5,3,"Milan-Inter",147,3,47,125,3600,375,1000,5875,24,141,376,1176,3000
"10","I1",2024-04-28,"Inter","Torino",2,0,"H",0,0,"D",1.54,4.12,6.94,"0-0","2-0",17,5,11,3,0,0,0,1,5,4,6,8,2,9,14,"5-4","Y","N","N",0,1,"Inter-Torino",116,2,40,25,0,50,225,1000,18,80,360,1044,450
"11","I1",2024-05-04,"Sassuolo","Inter",1,0,"H",1,0,"H",6.04,4.79,1.51,"1-0","1-0",6,2,14,1,1,1,0,0,2,5,10,10,1,7,20,"2-5","N","N","N",2,0,"Sassuolo-Inter",20,1,45,20,100,20,140,900,7,45,315,140,140
"12","I1",2024-05-10,"Frosinone","Inter",0,5,"A",0,1,"A",4.6,4.06,1.76,"0-1","0-5",17,8,14,5,0,0,0,0,8,4,4,8,5,12,12,"8-4","Y","Y","Y",0,0,"Frosinone-Inter",320,5,60,0,0,0,0,0,60,300,720,3840,0
"13","I1",2024-05-10,"Frosinone","Inter",0,5,"A",0,1,"A",4.6,4.06,1.76,"0-1","0-5",17,8,14,5,0,0,0,0,8,4,4,8,5,12,12,"8-4","Y","Y","Y",0,0,"Frosinone-Inter",148.583333333333,2.75,67.75,42.0833333333333,625,104.166666666667,356.666666666667,2614.16666666667,23.75,211.083333333333,596.333333333333,1353.33333333333,867.916666666667
