"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1097","I2",2024-08-27,"Reggiana","Brescia",2,0,"H",1,0,"H",2.83,3.07,2.82,"1-0","2-0",11,5,17,4,3,2,0,0,5,5,16,14,2,10,30,"5-5","Y","N","N",5,0,2,50,600,100,500,20,1000
"1106","I2",2024-08-31,"Sudtirol","Brescia",1,2,"A",0,1,"A",2.43,2.78,3.59,"0-1","1-2",19,7,5,2,3,6,0,0,9,3,13,15,3,12,28,"9-3","Y","Y","N",9,0,3,90,1800,270,1080,36,3240
"1114","I2",2024-09-14,"Brescia","Frosinone",4,0,"H",3,0,"H",2.49,2.96,3.19,"3-0","4-0",14,7,8,2,1,2,0,1,6,2,10,15,4,8,25,"6-2","Y","Y","Y",3,1,4,55,450,220,440,32,1760
"1125","I2",2024-09-21,"Pisa","Brescia",2,1,"H",1,0,"H",1.92,3.16,4.67,"1-0","2-1",13,5,14,5,1,3,0,0,2,4,6,14,3,6,20,"2-4","Y","Y","N",4,0,3,40,300,120,240,18,720
"1141","I2",2024-09-30,"Brescia","Cremonese",3,2,"H",3,0,"H",2.92,2.95,2.72,"3-0","3-2",14,7,19,7,4,3,0,0,9,5,12,14,5,14,26,"9-5","Y","Y","Y",7,0,5,70,1200,350,980,70,4900
"1150","I2",2024-10-06,"Mantova","Brescia",1,1,"D",0,0,"D",2.44,3.03,3.23,"0-0","1-1",21,7,10,4,2,2,0,0,4,3,24,12,2,7,36,"4-3","Y","N","N",4,0,2,40,400,80,280,14,560
"1092","I2",2024-08-27,"Bari","Sassuolo",1,1,"D",0,1,"A",2.84,3.09,2.8,"0-1","1-1",26,4,8,2,1,1,0,1,13,3,11,12,2,16,23,"13-3","Y","N","N",2,1,2,45,350,90,720,32,1440
"1105","I2",2024-08-31,"Sassuolo","Cremonese",1,4,"A",1,3,"A",2.31,3.08,3.41,"1-3","1-4",12,4,11,6,2,1,0,0,6,2,15,10,5,8,25,"6-2","Y","Y","Y",3,0,5,30,200,150,240,40,1200
"1118","I2",2024-09-15,"Carrarese","Sassuolo",0,2,"A",0,0,"D",3.48,3.16,2.22,"0-0","0-2",14,3,16,7,0,2,0,0,3,1,10,14,2,4,24,"3-1","Y","N","N",2,0,2,20,0,40,80,8,160
"1123","I2",2024-09-21,"Cosenza","Sassuolo",0,1,"A",0,0,"D",2.81,3.1,2.7,"0-0","0-1",22,5,11,6,3,4,0,0,6,2,16,10,1,8,26,"6-2","N","N","N",7,0,1,70,1200,70,560,8,560
"1135","I2",2024-09-28,"Sassuolo","Spezia",0,0,"D",0,0,"D",2.13,3.31,3.74,"0-0","0-0",12,3,13,1,2,2,0,0,4,3,11,12,0,7,23,"4-3","N","N","N",4,0,0,40,400,0,280,0,0
"1145","I2",2024-10-05,"Sassuolo","Cittadella",6,1,"H",1,1,"D",1.67,3.82,5.48,"1-1","6-1",19,13,11,4,0,4,0,0,3,3,11,5,7,6,16,"3-3","Y","Y","Y",4,0,7,40,0,280,240,42,1680
"13","I2",2024-10-05,"Sassuolo","Cittadella",6,1,"H",1,1,"D",1.67,3.82,5.48,"1-1","6-1",19,13,11,4,0,4,0,0,3,3,11,5,7,6,16,"3-3","Y","Y","Y",4,0,3,49.1666666666667,575,147.5,470,26.6666666666667,1435
