"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3791","I2",2024-01-20,"FeralpiSalo","Catanzaro",3,0,"H",1,0,"H",3.09,3.17,2.57,"1-0","3-0",13,8,11,3,3,5,0,0,3,3,16,10,3,6,26,"3-3","Y","Y","N",8,0,3,80,1500,240,480,18,1440
"3799","I2",2024-01-26,"Catanzaro","Palermo",1,1,"D",1,0,"H",2.86,3.14,2.79,"1-0","1-1",12,1,6,3,1,1,0,0,4,5,12,9,2,9,21,"4-5","Y","N","N",2,0,2,20,100,40,180,18,360
"3814","I2",2024-02-03,"Spezia","Catanzaro",1,1,"D",1,1,"D",2.42,3.33,3.19,"1-1","1-1",15,5,10,2,2,5,0,0,6,3,14,18,2,9,32,"6-3","Y","N","N",7,0,2,70,1000,140,630,18,1260
"3826","I2",2024-02-10,"Catanzaro","Ascoli",3,2,"H",1,2,"A",1.94,3.41,4.5,"1-2","3-2",11,2,10,3,5,4,0,1,4,4,21,18,5,8,39,"4-4","Y","Y","Y",9,1,5,115,3250,575,920,40,4600
"3835","I2",2024-02-17,"Catanzaro","Sudtirol",2,2,"D",1,1,"D",2,3.29,4.44,"1-1","2-2",16,6,6,3,3,3,1,0,6,2,24,13,4,8,37,"6-2","Y","Y","Y",6,1,4,85,1650,340,680,32,2720
"3841","I2",2024-02-24,"Cittadella","Catanzaro",1,2,"A",1,1,"D",2.19,3.22,3.83,"1-1","1-2",12,4,11,5,1,4,0,0,5,5,16,21,3,10,37,"5-5","Y","Y","N",5,0,3,50,400,150,500,30,1500
"37911","I2",2024-01-20,"FeralpiSalo","Catanzaro",3,0,"H",1,0,"H",3.09,3.17,2.57,"1-0","3-0",13,8,11,3,3,5,0,0,3,3,16,10,3,6,26,"3-3","Y","Y","N",8,0,3,80,1500,240,480,18,1440
"3806","I2",2024-01-27,"FeralpiSalo","Lecco",5,1,"H",1,0,"H",2.25,3.47,3.38,"1-0","5-1",11,7,12,7,3,1,0,0,1,7,12,12,6,8,24,"1-7","Y","Y","Y",4,0,6,40,300,240,320,48,1920
"3813","I2",2024-02-03,"Reggiana","FeralpiSalo",1,1,"D",0,0,"D",2.25,3.23,3.64,"0-0","1-1",27,4,5,2,2,3,0,2,11,2,14,13,2,13,27,"11-2","Y","N","N",5,2,2,100,1600,200,1300,26,2600
"3822","I2",2024-02-10,"FeralpiSalo","Palermo",1,2,"A",0,0,"D",3.84,3.53,2.06,"0-0","1-2",27,8,13,4,1,4,0,0,10,4,10,9,3,14,19,"10-4","Y","Y","N",5,0,3,50,400,150,700,42,2100
"3830","I2",2024-02-17,"Bari","FeralpiSalo",1,0,"H",0,0,"D",1.98,3.28,4.56,"0-0","1-0",8,3,8,2,3,1,0,0,4,0,17,14,1,4,31,"4-0","N","N","N",4,0,1,40,300,40,160,4,160
"3843","I2",2024-02-24,"FeralpiSalo","Ascoli",0,1,"A",0,1,"A",2.74,2.97,3.07,"0-1","0-1",15,4,10,4,2,3,0,0,7,3,19,16,1,10,35,"7-3","N","N","N",5,0,1,50,600,50,500,10,500
"13","I2",2024-02-24,"FeralpiSalo","Ascoli",0,1,"A",0,1,"A",2.74,2.97,3.07,"0-1","0-1",15,4,10,4,2,3,0,0,7,3,19,16,1,10,35,"7-3","N","N","N",5,0,2.91666666666667,65,1050,200.416666666667,570.833333333333,25.3333333333333,1716.66666666667
