"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4800","I2",2024-03-03,"Como","Venezia",2,1,"H",1,1,"D",2.42,3.27,3.23,"1-1","2-1",8,4,10,3,1,2,0,0,5,5,13,10,3,10,23,"5-5","Y","Y","N",3,0,3,30,200,90,300,30,900
"4809","I2",2024-03-09,"Cremonese","Como",2,1,"H",1,0,"H",2.15,3.32,3.81,"1-0","2-1",14,3,3,1,2,3,0,1,7,1,10,14,3,8,24,"7-1","Y","Y","N",5,1,3,75,1100,225,600,24,1800
"4816","I2",2024-03-16,"Como","Pisa",3,1,"H",2,0,"H",2.15,3.27,3.89,"2-0","3-1",10,6,9,2,4,2,0,0,1,2,11,17,4,3,28,"1-2","Y","Y","Y",6,0,4,60,800,240,180,12,720
"4825","I2",2024-04-01,"Como","Sudtirol",2,0,"H",1,0,"H",1.7,3.49,5.93,"1-0","2-0",13,3,6,3,1,1,0,0,8,5,13,15,2,13,28,"8-5","Y","N","N",2,0,2,20,100,40,260,26,520
"4840","I2",2024-04-06,"Catanzaro","Como",1,2,"A",1,0,"H",2.72,3.18,2.85,"1-0","1-2",8,2,12,4,3,1,0,0,8,3,12,12,3,11,24,"8-3","Y","Y","N",4,0,3,40,300,120,440,33,1320
"4846","I2",2024-04-13,"Como","Bari",2,1,"H",1,0,"H",1.69,3.72,5.6,"1-0","2-1",14,6,12,4,1,5,0,0,3,4,11,13,3,7,24,"3-4","Y","Y","N",6,0,3,60,500,180,420,21,1260
"4795","I2",2024-03-02,"Sudtirol","Lecco",1,0,"H",0,0,"D",2.08,3.21,4.21,"0-0","1-0",14,2,7,0,4,3,0,0,10,4,17,13,1,14,30,"10-4","N","N","N",7,0,1,70,1200,70,980,14,980
"4811","I2",2024-03-10,"Lecco","Palermo",0,1,"A",0,1,"A",4.16,3.97,1.86,"0-1","0-1",17,3,7,4,1,0,0,0,7,3,6,16,1,10,22,"7-3","N","N","N",1,0,1,10,0,10,100,10,100
"4823","I2",2024-03-17,"Ascoli","Lecco",4,1,"H",2,1,"H",1.94,3.39,4.54,"2-1","4-1",10,7,15,6,2,2,0,0,5,4,16,14,5,9,30,"5-4","Y","Y","Y",4,0,5,40,400,200,360,45,1800
"4827","I2",2024-04-01,"Lecco","Cittadella",1,1,"D",1,1,"D",3.02,3.31,2.47,"1-1","1-1",13,4,10,4,1,4,0,0,4,3,15,9,2,7,24,"4-3","Y","N","N",5,0,2,50,400,100,350,14,700
"4837","I2",2024-04-06,"Spezia","Lecco",1,1,"D",1,1,"D",1.67,3.89,5.57,"1-1","1-1",18,7,13,4,2,7,0,1,6,4,19,11,2,10,30,"6-4","Y","N","N",9,1,2,115,1900,230,1150,20,2300
"4851","I2",2024-04-13,"Lecco","Reggiana",1,0,"H",0,0,"D",2.98,3.29,2.55,"0-0","1-0",6,1,13,2,2,4,0,0,4,2,16,18,1,6,34,"4-2","N","N","N",6,0,1,60,800,60,360,6,360
"13","I2",2024-04-13,"Lecco","Reggiana",1,0,"H",0,0,"D",2.98,3.29,2.55,"0-0","1-0",6,1,13,2,2,4,0,0,4,2,16,18,1,6,34,"4-2","N","N","N",6,0,2.5,52.5,641.666666666667,130.416666666667,458.333333333333,21.25,1063.33333333333
