"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5203","I2",2024-04-05,"Bari","Cremonese",1,2,"A",0,1,"A",3.55,3.17,2.29,"0-1","1-2",12,6,15,5,5,3,0,0,7,2,13,9,3,9,22,"7-2","Y","Y","N",8,0,3,80,1500,240,720,27,2160
"5216","I2",2024-04-13,"Cremonese","Ternana",1,2,"A",1,1,"D",1.57,4.31,5.95,"1-1","1-2",27,10,11,6,1,3,0,0,4,3,14,4,3,7,18,"4-3","Y","Y","N",4,0,3,40,300,120,280,21,840
"5229","I2",2024-04-20,"Catanzaro","Cremonese",0,0,"D",0,0,"D",3.14,3.39,2.38,"0-0","0-0",10,4,10,1,1,3,0,0,2,6,16,9,0,8,25,"2-6","N","N","N",4,0,0,40,300,0,320,0,0
"5234","I2",2024-04-26,"Venezia","Cremonese",2,1,"H",0,1,"A",2.21,3.61,3.28,"0-1","2-1",8,4,14,3,2,3,0,0,5,3,23,11,3,8,34,"5-3","Y","Y","N",5,0,3,50,600,150,400,24,1200
"5243","I2",2024-05-01,"Cremonese","Pisa",2,1,"H",1,0,"H",1.84,3.78,4.4,"1-0","2-1",14,6,12,4,3,2,0,0,4,2,17,15,3,6,32,"4-2","Y","Y","N",5,0,3,50,600,150,300,18,900
"5258","I2",2024-05-05,"Parma","Cremonese",1,1,"D",0,1,"A",2.58,3.55,2.56,"0-1","1-1",13,5,16,8,3,5,1,1,8,2,12,17,2,10,29,"8-2","Y","N","N",8,2,2,130,4125,260,1300,20,2600
"5211","I2",2024-04-06,"Reggiana","Cittadella",0,2,"A",0,0,"D",2.57,2.96,3.27,"0-0","0-2",26,2,9,6,2,3,0,0,7,5,13,12,2,12,25,"7-5","Y","N","N",5,0,2,50,600,100,600,24,1200
"5214","I2",2024-04-13,"Cittadella","Ascoli",0,0,"D",0,0,"D",2.22,2.93,4.14,"0-0","0-0",8,2,9,3,3,1,0,0,1,3,22,14,0,4,36,"1-3","N","N","N",4,0,0,40,300,0,160,0,0
"5232","I2",2024-04-20,"Sudtirol","Cittadella",0,0,"D",0,0,"D",2.63,2.79,3.12,"0-0","0-0",11,2,11,5,0,2,0,0,2,5,9,12,0,7,21,"2-5","N","N","N",2,0,0,20,0,0,140,0,0
"5239","I2",2024-04-27,"Cittadella","FeralpiSalo",1,1,"D",1,0,"H",1.93,3.61,4.17,"1-0","1-1",6,1,9,5,2,1,0,0,3,3,16,15,2,6,31,"3-3","Y","N","N",3,0,2,30,200,60,180,12,360
"5246","I2",2024-05-01,"Como","Cittadella",2,1,"H",0,0,"D",1.58,3.89,6.74,"0-0","2-1",18,9,12,4,2,3,0,0,4,9,18,11,3,13,29,"4-9","Y","Y","N",5,0,3,50,600,150,650,39,1950
"5254","I2",2024-05-05,"Cittadella","Bari",1,1,"D",1,1,"D",2.52,3.15,2.89,"1-1","1-1",9,3,10,3,1,1,0,0,5,4,15,10,2,9,25,"5-4","Y","N","N",2,0,2,20,100,40,180,18,360
"13","I2",2024-05-05,"Cittadella","Bari",1,1,"D",1,1,"D",2.52,3.15,2.89,"1-1","1-1",9,3,10,3,1,1,0,0,5,4,15,10,2,9,25,"5-4","Y","N","N",2,0,1.91666666666667,50,768.75,105.833333333333,435.833333333333,16.9166666666667,964.166666666667
