"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3791","I2",2024-01-20,"FeralpiSalo","Catanzaro",3,0,"H",1,0,"H",3.09,3.17,2.57,"1-0","3-0",13,8,11,3,3,5,0,0,3,3,16,10,3,6,26,"3-3","Y","Y","N",8,0,3,80,1500,240,480,18,1440
"3806","I2",2024-01-27,"FeralpiSalo","Lecco",5,1,"H",1,0,"H",2.25,3.47,3.38,"1-0","5-1",11,7,12,7,3,1,0,0,1,7,12,12,6,8,24,"1-7","Y","Y","Y",4,0,6,40,300,240,320,48,1920
"3813","I2",2024-02-03,"Reggiana","FeralpiSalo",1,1,"D",0,0,"D",2.25,3.23,3.64,"0-0","1-1",27,4,5,2,2,3,0,2,11,2,14,13,2,13,27,"11-2","Y","N","N",5,2,2,100,1600,200,1300,26,2600
"3822","I2",2024-02-10,"FeralpiSalo","Palermo",1,2,"A",0,0,"D",3.84,3.53,2.06,"0-0","1-2",27,8,13,4,1,4,0,0,10,4,10,9,3,14,19,"10-4","Y","Y","N",5,0,3,50,400,150,700,42,2100
"3830","I2",2024-02-17,"Bari","FeralpiSalo",1,0,"H",0,0,"D",1.98,3.28,4.56,"0-0","1-0",8,3,8,2,3,1,0,0,4,0,17,14,1,4,31,"4-0","N","N","N",4,0,1,40,300,40,160,4,160
"3843","I2",2024-02-24,"FeralpiSalo","Ascoli",0,1,"A",0,1,"A",2.74,2.97,3.07,"0-1","0-1",15,4,10,4,2,3,0,0,7,3,19,16,1,10,35,"7-3","N","N","N",5,0,1,50,600,50,500,10,500
"3789","I2",2024-01-19,"Sampdoria","Parma",0,3,"A",0,2,"A",3.37,3.31,2.33,"0-2","0-3",11,4,12,3,1,1,0,0,2,6,10,7,3,8,17,"2-6","Y","Y","N",2,0,3,20,100,60,160,24,480
"3808","I2",2024-01-28,"Cittadella","Sampdoria",1,2,"A",0,0,"D",2.1,3.28,4.06,"0-0","1-2",9,1,7,2,4,2,0,0,2,1,18,15,3,3,33,"2-1","Y","Y","N",6,0,3,60,800,180,180,9,540
"3816","I2",2024-02-03,"Sampdoria","Modena",2,2,"D",2,0,"H",2.21,3.28,3.7,"2-0","2-2",10,5,17,3,3,4,0,0,3,4,19,14,4,7,33,"3-4","Y","Y","Y",7,0,4,70,1200,280,490,28,1960
"3827","I2",2024-02-10,"Pisa","Sampdoria",2,0,"H",0,0,"D",2.27,3.3,3.51,"0-0","2-0",10,4,8,2,3,5,0,1,2,3,15,15,2,5,30,"2-3","Y","N","N",8,1,2,105,2250,210,525,10,1050
"3837","I2",2024-02-17,"Sampdoria","Brescia",1,1,"D",0,0,"D",2.16,3.16,4.03,"0-0","1-1",13,3,8,4,1,2,0,0,2,6,17,12,2,8,29,"2-6","Y","N","N",3,0,2,30,200,60,240,16,480
"3839","I2",2024-02-23,"Cosenza","Sampdoria",1,2,"A",0,2,"A",2.5,3.21,3.16,"0-2","1-2",19,6,7,3,2,5,0,0,12,0,10,8,3,12,18,"12-0","Y","Y","N",7,0,3,70,1000,210,840,36,2520
"13","I2",2024-02-23,"Cosenza","Sampdoria",1,2,"A",0,2,"A",2.5,3.21,3.16,"0-2","1-2",19,6,7,3,2,5,0,0,12,0,10,8,3,12,18,"12-0","Y","Y","N",7,0,2.75,59.5833333333333,854.166666666667,160,491.25,22.5833333333333,1312.5
