"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5136","I2",2025-03-30,"Salernitana","Palermo",1,2,"A",0,2,"A",2.68,3.08,2.84,"0-2","1-2",14,2,11,4,3,1,0,0,3,2,12,13,3,5,25,"3-2","Y","Y","N",4,0,3,40,300,120,200,15,600
"5145","I2",2025-04-06,"Palermo","Sassuolo",5,3,"H",3,0,"H",2.71,3.04,2.85,"3-0","5-3",13,5,20,7,2,2,0,0,9,4,9,8,8,13,17,"9-4","Y","Y","Y",4,0,8,40,400,320,520,104,4160
"5147","I2",2025-04-11,"Bari","Palermo",2,1,"H",1,1,"D",2.95,3.24,2.59,"1-1","2-1",13,6,7,3,1,2,0,0,7,4,10,13,3,11,23,"7-4","Y","Y","N",3,0,3,30,200,90,330,33,990
"5165","I2",2025-04-27,"Catanzaro","Palermo",1,3,"A",0,2,"A",2.74,3.25,2.65,"0-2","1-3",15,5,9,6,2,1,0,0,3,2,14,14,4,5,28,"3-2","Y","Y","Y",3,0,4,30,200,120,150,20,600
"5171","I2",2025-05-01,"Palermo","Sudtirol",1,2,"A",1,0,"H",2.32,2.88,3.68,"1-0","1-2",17,5,15,6,2,3,0,0,3,3,5,24,3,6,29,"3-3","Y","Y","N",5,0,3,50,600,150,300,18,900
"5181","I2",2025-05-04,"Cesena","Palermo",2,1,"H",1,1,"D",2.49,3.12,3.05,"1-1","2-1",12,5,19,6,2,2,0,0,6,4,23,16,3,10,39,"6-4","Y","Y","N",4,0,3,40,400,120,400,30,1200
"5131","I2",2025-03-29,"Sampdoria","Frosinone",0,3,"A",0,0,"D",2.02,3.19,4.32,"0-0","0-3",12,3,23,7,2,2,0,0,5,6,22,17,3,11,39,"5-6","Y","Y","N",4,0,3,40,400,120,440,33,1320
"5140","I2",2025-04-05,"Frosinone","Cosenza",2,2,"D",1,2,"A",1.81,3.47,4.7,"1-2","2-2",20,5,6,3,4,3,0,1,6,0,5,14,4,6,19,"6-0","Y","Y","Y",7,1,4,95,2200,380,570,24,2280
"5154","I2",2025-04-13,"Cesena","Frosinone",1,1,"D",1,0,"H",2.23,3.06,3.63,"1-0","1-1",8,2,10,2,0,2,0,0,6,5,15,12,2,11,27,"6-5","Y","N","N",2,0,2,20,0,40,220,22,440
"5157","I2",2025-04-25,"Frosinone","Spezia",2,2,"D",2,1,"H",3.96,3.47,2.02,"2-1","2-2",8,3,21,7,2,0,0,0,2,6,14,11,4,8,25,"2-6","Y","Y","Y",2,0,4,20,0,80,160,32,640
"5172","I2",2025-05-01,"Pisa","Frosinone",1,0,"H",0,0,"D",1.93,3,5.01,"0-0","1-0",13,3,8,0,0,0,0,0,3,3,16,6,1,6,22,"3-3","N","N","N",0,0,1,0,0,0,0,6,0
"5182","I2",2025-05-04,"Frosinone","Cittadella",1,1,"D",1,0,"H",2.3,2.62,4.27,"1-0","1-1",22,5,10,2,0,4,0,0,8,1,14,28,2,9,42,"8-1","Y","N","N",4,0,2,40,0,80,360,18,720
"13","I2",2025-05-04,"Frosinone","Cittadella",1,1,"D",1,0,"H",2.3,2.62,4.27,"1-0","1-1",22,5,10,2,0,4,0,0,8,1,14,28,2,9,42,"8-1","Y","N","N",4,0,3.33333333333333,37.0833333333333,391.666666666667,135,304.166666666667,29.5833333333333,1154.16666666667
