"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5211","I2",2024-04-06,"Reggiana","Cittadella",0,2,"A",0,0,"D",2.57,2.96,3.27,"0-0","0-2",26,2,9,6,2,3,0,0,7,5,13,12,2,12,25,"7-5","Y","N","N",5,0,2,50,600,100,600,24,1200
"5220","I2",2024-04-13,"Lecco","Reggiana",1,0,"H",0,0,"D",2.98,3.29,2.55,"0-0","1-0",6,1,13,2,2,4,0,0,4,2,16,18,1,6,34,"4-2","N","N","N",6,0,1,60,800,60,360,6,360
"5224","I2",2024-04-19,"Reggiana","Cosenza",0,4,"A",0,2,"A",2.5,2.77,3.68,"0-2","0-4",18,3,14,6,1,4,0,0,6,5,15,11,4,11,26,"6-5","Y","Y","Y",5,0,4,50,400,200,550,44,2200
"5241","I2",2024-04-27,"Palermo","Reggiana",1,2,"A",1,0,"H",1.81,3.71,4.71,"1-0","1-2",17,2,11,5,1,2,0,0,7,7,13,12,3,14,25,"7-7","Y","Y","N",3,0,3,30,200,90,420,42,1260
"5252","I2",2024-05-01,"Reggiana","Modena",1,0,"H",0,0,"D",3.08,2.71,2.95,"0-0","1-0",15,3,7,1,0,4,0,0,3,4,10,9,1,7,19,"3-4","N","N","N",4,0,1,40,0,40,280,7,280
"5260","I2",2024-05-05,"Sampdoria","Reggiana",1,0,"H",1,0,"H",1.89,3.52,4.5,"1-0","1-0",13,3,4,1,2,5,0,0,4,1,15,27,1,5,42,"4-1","N","N","N",7,0,1,70,1000,70,350,5,350
"5207","I2",2024-04-06,"Sudtirol","Parma",0,0,"D",0,0,"D",4.82,3.31,1.9,"0-0","0-0",8,2,11,3,1,2,0,0,4,4,13,18,0,8,31,"4-4","N","N","N",3,0,0,30,200,0,240,0,0
"5221","I2",2024-04-13,"Parma","Spezia",2,0,"H",1,0,"H",1.75,3.86,4.9,"1-0","2-0",11,4,10,2,3,2,0,0,6,3,11,20,2,9,31,"6-3","Y","N","N",5,0,2,50,600,100,450,18,900
"5223","I2",2024-04-19,"Palermo","Parma",0,0,"D",0,0,"D",3.06,3.36,2.44,"0-0","0-0",9,2,14,4,2,2,0,0,7,5,7,13,0,12,20,"7-5","N","N","N",4,0,0,40,400,0,480,0,0
"5237","I2",2024-04-27,"Parma","Lecco",4,0,"H",3,0,"H",1.38,5.25,8.02,"3-0","4-0",24,10,13,7,2,1,0,0,8,3,15,7,4,11,22,"8-3","Y","Y","Y",3,0,4,30,200,120,330,44,1320
"5249","I2",2024-05-01,"Bari","Parma",1,1,"D",0,0,"D",3.67,3.28,2.19,"0-0","1-1",11,4,15,4,0,2,0,0,7,1,9,9,2,8,18,"7-1","Y","N","N",2,0,2,20,0,40,160,16,320
"5258","I2",2024-05-05,"Parma","Cremonese",1,1,"D",0,1,"A",2.58,3.55,2.56,"0-1","1-1",13,5,16,8,3,5,1,1,8,2,12,17,2,10,29,"8-2","Y","N","N",8,2,2,130,4125,260,1300,20,2600
"13","I2",2024-05-05,"Parma","Cremonese",1,1,"D",0,1,"A",2.58,3.55,2.56,"0-1","1-1",13,5,16,8,3,5,1,1,8,2,12,17,2,10,29,"8-2","Y","N","N",8,2,1.83333333333333,50,710.416666666667,90,460,18.8333333333333,899.166666666667
