"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1098","I2",2024-08-27,"Salernitana","Sampdoria",3,2,"H",1,2,"A",2.89,3.15,2.71,"1-2","3-2",24,8,13,4,2,1,1,0,7,4,15,9,5,11,24,"7-4","Y","Y","Y",3,1,5,55,450,275,605,55,3025
"1102","I2",2024-08-31,"Sampdoria","Bari",0,0,"D",0,0,"D",1.88,3.31,4.54,"0-0","0-0",9,4,25,7,3,4,1,0,2,4,11,11,0,6,22,"2-4","N","N","N",7,1,0,95,2200,0,570,0,0
"1119","I2",2024-09-15,"Cosenza","Sampdoria",2,1,"H",1,0,"H",2.77,3.05,2.75,"1-0","2-1",11,6,10,3,3,2,0,0,1,9,17,17,3,10,34,"1-9","Y","Y","N",5,0,3,50,600,150,500,30,1500
"1127","I2",2024-09-21,"Sampdoria","Sudtirol",1,0,"H",1,0,"H",1.99,3.03,4.55,"1-0","1-0",12,3,8,2,3,2,0,0,5,2,12,16,1,7,28,"5-2","N","N","N",5,0,1,50,600,50,350,7,350
"1138","I2",2024-09-29,"Modena","Sampdoria",1,3,"A",0,0,"D",2.39,3.15,3.19,"0-0","1-3",8,4,13,6,2,4,0,0,6,6,11,9,4,12,20,"6-6","Y","Y","Y",6,0,4,60,800,240,720,48,2880
"1142","I2",2024-10-04,"Sampdoria","Juve Stabia",1,2,"A",1,0,"H",1.99,3.16,4.61,"1-0","1-2",16,4,7,3,3,5,0,0,2,1,19,20,3,3,39,"2-1","Y","Y","N",8,0,3,80,1500,240,240,9,720
"1097","I2",2024-08-27,"Reggiana","Brescia",2,0,"H",1,0,"H",2.83,3.07,2.82,"1-0","2-0",11,5,17,4,3,2,0,0,5,5,16,14,2,10,30,"5-5","Y","N","N",5,0,2,50,600,100,500,20,1000
"1106","I2",2024-08-31,"Sudtirol","Brescia",1,2,"A",0,1,"A",2.43,2.78,3.59,"0-1","1-2",19,7,5,2,3,6,0,0,9,3,13,15,3,12,28,"9-3","Y","Y","N",9,0,3,90,1800,270,1080,36,3240
"1114","I2",2024-09-14,"Brescia","Frosinone",4,0,"H",3,0,"H",2.49,2.96,3.19,"3-0","4-0",14,7,8,2,1,2,0,1,6,2,10,15,4,8,25,"6-2","Y","Y","Y",3,1,4,55,450,220,440,32,1760
"1125","I2",2024-09-21,"Pisa","Brescia",2,1,"H",1,0,"H",1.92,3.16,4.67,"1-0","2-1",13,5,14,5,1,3,0,0,2,4,6,14,3,6,20,"2-4","Y","Y","N",4,0,3,40,300,120,240,18,720
"1141","I2",2024-09-30,"Brescia","Cremonese",3,2,"H",3,0,"H",2.92,2.95,2.72,"3-0","3-2",14,7,19,7,4,3,0,0,9,5,12,14,5,14,26,"9-5","Y","Y","Y",7,0,5,70,1200,350,980,70,4900
"1150","I2",2024-10-06,"Mantova","Brescia",1,1,"D",0,0,"D",2.44,3.03,3.23,"0-0","1-1",21,7,10,4,2,2,0,0,4,3,24,12,2,7,36,"4-3","Y","N","N",4,0,2,40,400,80,280,14,560
"13","I2",2024-10-06,"Mantova","Brescia",1,1,"D",0,0,"D",2.44,3.03,3.23,"0-0","1-1",21,7,10,4,2,2,0,0,4,3,24,12,2,7,36,"4-3","Y","N","N",4,0,2.91666666666667,61.25,908.333333333333,174.583333333333,542.083333333333,28.25,1721.25
