"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1093","I2",2024-08-27,"Carrarese","Sudtirol",2,0,"H",1,0,"H",3.18,2.9,2.68,"1-0","2-0",12,3,16,4,0,3,0,0,6,8,16,13,2,14,29,"6-8","Y","N","N",3,0,2,30,0,60,420,28,840
"1106","I2",2024-08-31,"Sudtirol","Brescia",1,2,"A",0,1,"A",2.43,2.78,3.59,"0-1","1-2",19,7,5,2,3,6,0,0,9,3,13,15,3,12,28,"9-3","Y","Y","N",9,0,3,90,1800,270,1080,36,3240
"1120","I2",2024-09-15,"Reggiana","Sudtirol",1,3,"A",1,2,"A",2.59,2.83,3.2,"1-2","1-3",22,6,16,4,0,2,0,0,10,5,15,12,4,15,27,"10-5","Y","Y","Y",2,0,4,20,0,80,300,60,1200
"1127","I2",2024-09-21,"Sampdoria","Sudtirol",1,0,"H",1,0,"H",1.99,3.03,4.55,"1-0","1-0",12,3,8,2,3,2,0,0,5,2,12,16,1,7,28,"5-2","N","N","N",5,0,1,50,600,50,350,7,350
"1140","I2",2024-09-30,"Sudtirol","Palermo",1,3,"A",0,1,"A",2.76,3.05,2.79,"0-1","1-3",16,5,7,3,4,2,0,0,3,6,14,16,4,9,30,"3-6","Y","Y","Y",6,0,4,60,800,240,540,36,2160
"1148","I2",2024-10-06,"Cosenza","Sudtirol",0,2,"A",0,1,"A",2.56,2.9,3.19,"0-1","0-2",32,6,10,4,2,1,0,1,8,0,12,15,2,8,27,"8-0","Y","N","N",3,1,2,55,700,110,440,16,880
"1094","I2",2024-08-27,"Cittadella","Pisa",1,1,"D",1,1,"D",3.58,3.15,2.29,"1-1","1-1",9,4,18,1,4,1,0,0,2,5,14,18,2,7,32,"2-5","Y","N","N",5,0,2,50,400,100,350,14,700
"1104","I2",2024-08-31,"Pisa","Reggiana",2,1,"H",1,0,"H",1.72,3.53,5.22,"1-0","2-1",15,5,8,5,0,4,0,0,1,4,12,17,3,5,29,"1-4","Y","Y","N",4,0,3,40,0,120,200,15,600
"1121","I2",2024-09-15,"Salernitana","Pisa",2,3,"A",1,2,"A",2.61,3.26,2.75,"1-2","2-3",12,7,8,5,3,3,0,0,8,0,8,17,5,8,25,"8-0","Y","Y","Y",6,0,5,60,900,300,480,40,2400
"1125","I2",2024-09-21,"Pisa","Brescia",2,1,"H",1,0,"H",1.92,3.16,4.67,"1-0","2-1",13,5,14,5,1,3,0,0,2,4,6,14,3,6,20,"2-4","Y","Y","N",4,0,3,40,300,120,240,18,720
"1137","I2",2024-09-29,"Juve Stabia","Pisa",2,0,"H",1,0,"H",2.94,2.99,2.67,"1-0","2-0",13,6,8,2,4,1,0,1,7,1,21,14,2,8,35,"7-1","Y","N","N",5,1,2,75,1400,150,600,16,1200
"1144","I2",2024-10-05,"Pisa","Cesena",3,1,"H",2,0,"H",2.29,3.16,3.5,"2-0","3-1",14,7,6,2,3,1,0,0,5,7,5,12,4,12,17,"5-7","Y","Y","Y",4,0,4,40,300,160,480,48,1920
"13","I2",2024-10-05,"Pisa","Cesena",3,1,"H",2,0,"H",2.29,3.16,3.5,"2-0","3-1",14,7,6,2,3,1,0,0,5,7,5,12,4,12,17,"5-7","Y","Y","Y",4,0,2.91666666666667,50.8333333333333,600,146.666666666667,456.666666666667,27.8333333333333,1350.83333333333
