"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3962","I2",2024-02-04,"Ascoli","Sudtirol",1,2,"A",0,1,"A",2.28,3.05,3.84,"0-1","1-2",11,3,7,2,1,4,0,0,2,1,20,17,3,3,37,"2-1","Y","Y","N",5,0,3,50,400,150,150,9,450
"3968","I2",2024-02-10,"Sudtirol","Venezia",0,3,"A",0,1,"A",3.91,3.17,2.19,"0-1","0-3",12,2,14,4,7,2,1,0,5,3,15,18,3,8,33,"5-3","Y","Y","N",9,1,3,115,1900,345,920,24,2760
"3979","I2",2024-02-17,"Catanzaro","Sudtirol",2,2,"D",1,1,"D",2,3.29,4.44,"1-1","2-2",16,6,6,3,3,3,1,0,6,2,24,13,4,8,37,"6-2","Y","Y","Y",6,1,4,85,1650,340,680,32,2720
"3988","I2",2024-02-24,"Sudtirol","Bari",1,0,"H",0,0,"D",2.74,2.8,3.27,"0-0","1-0",7,1,4,1,3,1,0,0,3,4,18,11,1,7,29,"3-4","N","N","N",4,0,1,40,300,40,280,7,280
"3994","I2",2024-02-27,"Reggiana","Sudtirol",1,1,"D",0,0,"D",2.48,2.79,3.75,"0-0","1-1",9,1,9,4,2,2,0,0,2,2,11,12,2,4,23,"2-2","Y","N","N",4,0,2,40,400,80,160,8,320
"4004","I2",2024-03-02,"Sudtirol","Lecco",1,0,"H",0,0,"D",2.08,3.21,4.21,"0-0","1-0",14,2,7,0,4,3,0,0,10,4,17,13,1,14,30,"10-4","N","N","N",7,0,1,70,1200,70,980,14,980
"3956","I2",2024-02-03,"Parma","Venezia",2,1,"H",1,1,"D",2.08,3.44,3.9,"1-1","2-1",15,6,14,5,2,2,0,0,11,5,10,6,3,16,16,"11-5","Y","Y","N",4,0,3,40,400,120,640,48,1920
"39681","I2",2024-02-10,"Sudtirol","Venezia",0,3,"A",0,1,"A",3.91,3.17,2.19,"0-1","0-3",12,2,14,4,7,2,1,0,5,3,15,18,3,8,33,"5-3","Y","Y","N",9,1,3,115,1900,345,920,24,2760
"3982","I2",2024-02-18,"Venezia","Modena",2,2,"D",1,0,"H",1.7,3.59,5.15,"1-0","2-2",14,4,13,4,2,3,0,0,7,4,12,11,4,11,23,"7-4","Y","Y","Y",5,0,4,50,600,200,550,44,2200
"3990","I2",2024-02-24,"Pisa","Venezia",1,2,"A",0,0,"D",2.66,3.16,2.98,"0-0","1-2",15,2,12,4,2,3,0,0,4,3,10,13,3,7,23,"4-3","Y","Y","N",5,0,3,50,600,150,350,21,1050
"4002","I2",2024-02-28,"Venezia","Cittadella",2,0,"H",1,0,"H",1.91,3.55,4.48,"1-0","2-0",11,4,23,5,1,2,0,0,4,14,10,8,2,18,18,"4-14","Y","N","N",3,0,2,30,200,60,540,36,1080
"4009","I2",2024-03-03,"Como","Venezia",2,1,"H",1,1,"D",2.42,3.27,3.23,"1-1","2-1",8,4,10,3,1,2,0,0,5,5,13,10,3,10,23,"5-5","Y","Y","N",3,0,3,30,200,90,300,30,900
"13","I2",2024-03-03,"Como","Venezia",2,1,"H",1,1,"D",2.42,3.27,3.23,"1-1","2-1",8,4,10,3,1,2,0,0,5,5,13,10,3,10,23,"5-5","Y","Y","N",3,0,2.66666666666667,59.5833333333333,812.5,165.833333333333,539.166666666667,24.75,1451.66666666667
