"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5212","I2",2024-04-07,"Ascoli","Venezia",0,0,"D",0,0,"D",3.68,3.26,2.2,"0-0","0-0",6,1,11,1,2,2,1,0,4,7,16,11,0,11,27,"4-7","N","N","N",4,1,0,65,900,0,715,0,0
"5222","I2",2024-04-14,"Venezia","Brescia",2,0,"H",1,0,"H",1.71,3.69,5.53,"1-0","2-0",20,6,9,4,2,2,0,0,9,3,13,15,2,12,28,"9-3","Y","N","N",4,0,2,40,400,80,480,24,960
"5230","I2",2024-04-20,"Lecco","Venezia",1,2,"A",1,0,"H",4.83,3.98,1.73,"1-0","1-2",9,4,23,11,2,1,1,0,1,6,15,11,3,7,26,"1-6","Y","Y","N",3,1,3,55,450,165,385,21,1155
"5234","I2",2024-04-26,"Venezia","Cremonese",2,1,"H",0,1,"A",2.21,3.61,3.28,"0-1","2-1",8,4,14,3,2,3,0,0,5,3,23,11,3,8,34,"5-3","Y","Y","N",5,0,3,50,600,150,400,24,1200
"5245","I2",2024-05-01,"Catanzaro","Venezia",3,2,"H",1,1,"D",3.29,3.63,2.2,"1-1","3-2",12,5,12,4,2,2,0,1,10,1,14,10,5,11,24,"10-1","Y","Y","Y",4,1,5,65,900,325,715,55,3575
"5262","I2",2024-05-05,"Venezia","FeralpiSalo",2,1,"H",0,0,"D",1.46,4.94,6.62,"0-0","2-1",13,7,14,2,5,1,0,0,3,5,8,7,3,8,15,"3-5","Y","Y","N",6,0,3,60,500,180,480,24,1440
"5207","I2",2024-04-06,"Sudtirol","Parma",0,0,"D",0,0,"D",4.82,3.31,1.9,"0-0","0-0",8,2,11,3,1,2,0,0,4,4,13,18,0,8,31,"4-4","N","N","N",3,0,0,30,200,0,240,0,0
"5218","I2",2024-04-13,"Sampdoria","Sudtirol",0,1,"A",0,0,"D",2.02,3.26,4.3,"0-0","0-1",10,3,12,3,2,3,0,0,7,5,17,10,1,12,27,"7-5","N","N","N",5,0,1,50,600,50,600,12,600
"5232","I2",2024-04-20,"Sudtirol","Cittadella",0,0,"D",0,0,"D",2.63,2.79,3.12,"0-0","0-0",11,2,11,5,0,2,0,0,2,5,9,12,0,7,21,"2-5","N","N","N",2,0,0,20,0,0,140,0,0
"5236","I2",2024-04-27,"Modena","Sudtirol",1,0,"H",0,0,"D",1.86,3.26,4.54,"0-0","1-0",4,2,6,3,1,5,0,0,5,4,13,17,1,9,30,"5-4","N","N","N",6,0,1,60,500,60,540,9,540
"5248","I2",2024-05-01,"Sudtirol","Ternana",4,3,"H",1,2,"A",2.26,3.09,3.74,"1-2","4-3",21,8,9,5,3,4,0,1,5,2,11,17,7,7,28,"5-2","Y","Y","Y",7,1,7,95,1950,665,665,49,4655
"5259","I2",2024-05-05,"Pisa","Sudtirol",2,2,"D",1,0,"H",2.02,3.23,4.36,"1-0","2-2",20,4,9,5,3,1,0,0,3,5,7,13,4,8,20,"3-5","Y","Y","Y",4,0,4,40,300,160,320,32,1280
"13","I2",2024-05-05,"Pisa","Sudtirol",2,2,"D",1,0,"H",2.02,3.23,4.36,"1-0","2-2",20,4,9,5,3,1,0,0,3,5,7,13,4,8,20,"3-5","Y","Y","Y",4,0,2.41666666666667,52.5,608.333333333333,152.916666666667,473.333333333333,20.8333333333333,1283.75
