"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6119","N1",2023-04-14,"Excelsior","Go Ahead Eagles",2,1,"H",0,0,"D",3.37,3.71,2.16,"0-0","2-1",14,3,17,7,0,3,0,0,5,12,7,10,3,17,17,"5-12","Y","Y","N",3,0,3,30,0,90,510,51,1530
"6131","N1",2023-04-22,"Vitesse","Excelsior",0,0,"D",0,0,"D",1.46,4.79,7.27,"0-0","0-0",28,7,6,0,2,1,0,0,17,3,6,11,0,20,17,"17-3","N","N","N",3,0,0,30,200,0,600,0,0
"6144","N1",2023-05-07,"Excelsior","Feyenoord",0,2,"A",0,1,"A",12.34,7.42,1.22,"0-1","0-2",9,4,8,3,0,0,0,0,4,2,11,10,2,6,21,"4-2","Y","N","N",0,0,2,0,0,0,0,12,0
"6149","N1",2023-05-13,"Heerenveen","Excelsior",0,0,"D",0,0,"D",1.53,4.77,6.01,"0-0","0-0",11,2,15,4,3,2,0,0,5,6,10,12,0,11,22,"5-6","N","N","N",5,0,0,50,600,0,550,0,0
"6157","N1",2023-05-21,"Excelsior","For Sittard",3,0,"H",0,0,"D",1.98,3.98,3.65,"0-0","3-0",14,6,13,3,1,2,0,0,6,2,14,5,3,8,19,"6-2","Y","Y","N",3,0,3,30,200,90,240,24,720
"6173","N1",2023-05-28,"Volendam","Excelsior",3,2,"H",3,0,"H",1.72,4.6,4.33,"3-0","3-2",28,9,19,8,0,0,0,0,15,5,11,9,5,20,20,"15-5","Y","Y","Y",0,0,5,0,0,0,0,100,0
"6127","N1",2023-04-16,"For Sittard","AZ Alkmaar",0,3,"A",0,2,"A",4.65,4.04,1.76,"0-2","0-3",11,3,14,6,0,0,0,0,1,12,10,14,3,13,24,"1-12","Y","Y","N",0,0,3,0,0,0,0,39,0
"6136","N1",2023-04-23,"AZ Alkmaar","Waalwijk",3,0,"H",1,0,"H",1.37,5.57,8.29,"1-0","3-0",16,8,7,1,0,1,0,0,8,0,9,6,3,8,15,"8-0","Y","Y","N",1,0,3,10,0,30,80,24,240
"6142","N1",2023-05-06,"Ajax","AZ Alkmaar",0,0,"D",0,0,"D",1.58,4.7,5.37,"0-0","0-0",18,3,11,4,1,2,0,0,8,2,10,10,0,10,20,"8-2","N","N","N",3,0,0,30,200,0,300,0,0
"6153","N1",2023-05-14,"AZ Alkmaar","FC Emmen",5,1,"H",5,0,"H",1.35,5.65,8.86,"5-0","5-1",23,4,7,2,0,0,0,0,13,3,8,5,6,16,13,"13-3","Y","Y","Y",0,0,6,0,0,0,0,96,0
"6160","N1",2023-05-21,"Nijmegen","AZ Alkmaar",0,3,"A",0,2,"A",4.03,4.16,1.85,"0-2","0-3",11,2,14,6,2,0,1,0,3,4,10,7,3,7,17,"3-4","Y","Y","N",2,1,3,45,0,135,315,21,945
"6165","N1",2023-05-28,"AZ Alkmaar","PSV Eindhoven",1,2,"A",0,0,"D",2.72,3.8,2.52,"0-0","1-2",9,6,7,2,2,5,0,1,2,4,10,17,3,6,27,"2-4","Y","Y","N",7,1,3,95,1500,285,570,18,1710
"13","N1",2023-05-28,"AZ Alkmaar","PSV Eindhoven",1,2,"A",0,0,"D",2.72,3.8,2.52,"0-0","1-2",9,6,7,2,2,5,0,1,2,4,10,17,3,6,27,"2-4","Y","Y","N",7,1,2.58333333333333,26.6666666666667,225,52.5,263.75,32.0833333333333,428.75
