"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5699","N1",2025-03-15,"Utrecht","Nijmegen",0,1,"A",0,0,"D",1.78,3.89,4.3,"0-0","0-1",19,5,13,3,0,3,0,0,6,5,8,12,1,11,20,"6-5","N","N","N",3,0,1,30,0,30,330,11,330
"5710","N1",2025-03-29,"Nijmegen","AZ Alkmaar",3,3,"D",1,2,"A",3.44,3.48,2.11,"1-2","3-3",15,4,9,5,3,2,0,0,5,7,9,9,6,12,18,"5-7","Y","Y","Y",5,0,6,50,600,300,600,72,3600
"5725","N1",2025-04-06,"Sparta Rotterdam","Nijmegen",2,0,"H",1,0,"H",2.07,3.49,3.55,"1-0","2-0",12,3,9,1,0,4,0,1,3,2,10,10,2,5,20,"3-2","Y","N","N",4,1,2,65,0,130,325,10,650
"5727","N1",2025-04-11,"Nijmegen","Waalwijk",2,1,"H",0,0,"D",1.69,4.21,4.76,"0-0","2-1",19,4,10,4,2,0,0,0,3,7,14,9,3,10,23,"3-7","Y","Y","N",2,0,3,20,0,60,200,30,600
"5745","N1",2025-04-27,"Heerenveen","Nijmegen",1,0,"H",0,0,"D",1.99,3.65,3.63,"0-0","1-0",14,5,6,1,1,4,0,0,7,5,13,11,1,12,24,"7-5","N","N","N",5,0,1,50,400,50,600,12,600
"5747","N1",2025-05-03,"Nijmegen","Willem II",1,1,"D",0,1,"A",1.58,4.22,5.32,"0-1","1-1",21,4,10,3,2,2,0,0,4,2,15,9,2,6,24,"4-2","Y","N","N",4,0,2,40,400,80,240,12,480
"5711","N1",2025-03-29,"Zwolle","Waalwijk",2,0,"H",0,0,"D",2.04,3.56,3.56,"0-0","2-0",25,11,6,2,1,2,0,1,11,3,11,13,2,14,24,"11-3","Y","N","N",3,1,2,55,450,110,770,28,1540
"5716","N1",2025-04-01,"AZ Alkmaar","Waalwijk",2,2,"D",1,0,"H",1.31,6.07,9.23,"1-0","2-2",24,6,6,2,0,3,0,0,12,5,10,10,4,17,20,"12-5","Y","Y","Y",3,0,4,30,0,120,510,68,2040
"5723","N1",2025-04-06,"Waalwijk","Heracles",0,0,"D",0,0,"D",2.38,3.42,2.97,"0-0","0-0",10,3,10,1,1,1,0,0,6,9,11,12,0,15,23,"6-9","N","N","N",2,0,0,20,100,0,300,0,0
"57271","N1",2025-04-11,"Nijmegen","Waalwijk",2,1,"H",0,0,"D",1.69,4.21,4.76,"0-0","2-1",19,4,10,4,2,0,0,0,3,7,14,9,3,10,23,"3-7","Y","Y","N",2,0,3,20,0,60,200,30,600
"5741","N1",2025-04-25,"Waalwijk","Utrecht",0,4,"A",0,3,"A",3.85,4.09,1.88,"0-3","0-4",13,2,20,9,1,2,0,0,5,5,8,10,4,10,18,"5-5","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"5749","N1",2025-05-03,"Groningen","Waalwijk",6,1,"H",2,0,"H",1.69,3.98,4.74,"2-0","6-1",22,12,9,4,0,1,0,0,5,3,10,8,7,8,18,"5-3","Y","Y","Y",1,0,7,10,0,70,80,56,560
"13","N1",2025-05-03,"Groningen","Waalwijk",6,1,"H",2,0,"H",1.69,3.98,4.74,"2-0","6-1",22,12,9,4,0,1,0,0,5,3,10,8,7,8,18,"5-3","Y","Y","Y",1,0,2.91666666666667,35,179.166666666667,94.1666666666667,371.25,30.75,1016.66666666667
