"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4391","N1",2024-01-27,"PSV Eindhoven","Almere City",2,0,"H",1,0,"H",1.09,13.74,24,"1-0","2-0",17,8,4,2,0,2,0,0,4,1,5,15,2,5,20,"4-1","Y","N","N",2,0,2,20,0,40,100,10,200
"4402","N1",2024-02-03,"Ajax","PSV Eindhoven",1,1,"D",1,1,"D",3.49,4.27,1.97,"1-1","1-1",13,4,18,5,1,3,0,0,3,5,8,14,2,8,22,"3-5","Y","N","N",4,0,2,40,300,80,320,16,640
"4415","N1",2024-02-11,"Volendam","PSV Eindhoven",1,5,"A",1,1,"D",23.39,12.61,1.1,"1-1","1-5",8,2,34,14,2,1,0,0,4,7,10,3,6,11,13,"4-7","Y","Y","Y",3,0,6,30,200,180,330,66,1980
"4417","N1",2024-02-16,"PSV Eindhoven","Heracles",2,0,"H",1,0,"H",1.07,15.1,28.52,"1-0","2-0",39,14,3,0,0,3,0,1,15,0,6,8,2,15,14,"15-0","Y","N","N",3,1,2,55,0,110,825,30,1650
"4428","N1",2024-02-24,"Zwolle","PSV Eindhoven",1,7,"A",1,2,"A",12.27,7.54,1.22,"1-2","1-7",8,1,25,12,2,0,0,0,3,7,7,8,8,10,15,"3-7","Y","Y","Y",2,0,8,20,0,160,200,80,1600
"4441","N1",2024-03-03,"PSV Eindhoven","Feyenoord",2,2,"D",1,1,"D",2.08,3.66,3.65,"1-1","2-2",17,8,9,6,4,3,0,0,9,2,10,10,4,11,20,"9-2","Y","Y","Y",7,0,4,70,1200,280,770,44,3080
"43911","N1",2024-01-27,"PSV Eindhoven","Almere City",2,0,"H",1,0,"H",1.09,13.74,24,"1-0","2-0",17,8,4,2,0,2,0,0,4,1,5,15,2,5,20,"4-1","Y","N","N",2,0,2,20,0,40,100,10,200
"4399","N1",2024-02-02,"Almere City","Excelsior",2,1,"H",1,1,"D",2.2,3.39,3.6,"1-1","2-1",11,2,8,4,1,3,0,0,7,3,9,14,3,10,23,"7-3","Y","Y","N",4,0,3,40,300,120,400,30,1200
"4410","N1",2024-02-10,"Almere City","AZ Alkmaar",0,0,"D",0,0,"D",4.8,4.01,1.75,"0-0","0-0",11,1,10,3,2,1,0,0,5,6,19,11,0,11,30,"5-6","N","N","N",3,0,0,30,200,0,330,0,0
"4421","N1",2024-02-17,"Zwolle","Almere City",0,1,"A",0,0,"D",2.18,3.45,3.58,"0-0","0-1",16,2,5,2,0,4,0,0,4,2,9,16,1,6,25,"4-2","N","N","N",4,0,1,40,0,40,240,6,240
"4431","N1",2024-02-25,"Almere City","Feyenoord",0,2,"A",0,0,"D",10.03,6.07,1.3,"0-0","0-2",12,6,8,2,3,1,0,0,5,5,8,13,2,10,21,"5-5","Y","N","N",4,0,2,40,300,80,400,20,800
"4443","N1",2024-03-03,"Heracles","Almere City",2,2,"D",0,2,"A",2.69,3.38,2.78,"0-2","2-2",16,5,14,6,2,3,0,1,5,1,17,12,4,6,29,"5-1","Y","Y","Y",5,1,4,75,1100,300,450,24,1800
"13","N1",2024-03-03,"Heracles","Almere City",2,2,"D",0,2,"A",2.69,3.38,2.78,"0-2","2-2",16,5,14,6,2,3,0,1,5,1,17,12,4,6,29,"5-1","Y","Y","Y",5,1,3,40,300,119.166666666667,372.083333333333,28,1115.83333333333
