"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5791","N1",2024-03-31,"Feyenoord","Utrecht",4,2,"H",1,2,"A",1.36,5.59,8.11,"1-2","4-2",27,10,3,3,3,2,0,0,10,1,8,10,6,11,18,"10-1","Y","Y","Y",5,0,6,50,600,300,550,66,3300
"5798","N1",2024-04-03,"Utrecht","Zwolle",5,1,"H",0,0,"D",1.51,4.65,6.29,"0-0","5-1",18,7,5,2,0,1,0,0,5,0,7,6,6,5,13,"5-0","Y","Y","Y",1,0,6,10,0,60,50,30,300
"5811","N1",2024-04-07,"Heerenveen","Utrecht",2,3,"A",0,1,"A",2.68,3.47,2.69,"0-1","2-3",13,5,18,6,2,1,1,0,5,3,10,10,5,8,20,"5-3","Y","Y","Y",3,1,5,55,450,275,440,40,2200
"5818","N1",2024-04-14,"Utrecht","Go Ahead Eagles",2,1,"H",1,1,"D",1.76,3.99,4.6,"1-1","2-1",16,6,14,3,1,0,0,0,5,3,7,7,3,8,14,"5-3","Y","Y","N",1,0,3,10,0,30,80,24,240
"5828","N1",2024-04-28,"Waalwijk","Utrecht",2,2,"D",1,0,"H",3.26,3.71,2.19,"1-0","2-2",9,6,11,5,1,2,0,0,4,6,14,10,4,10,24,"4-6","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"5834","N1",2024-05-05,"Utrecht","Vitesse",1,0,"H",0,0,"D",1.36,5.44,8.24,"0-0","1-0",15,6,20,5,0,3,0,0,4,7,15,10,1,11,25,"4-7","N","N","N",3,0,1,30,0,30,330,11,330
"5786","N1",2024-03-30,"Sparta Rotterdam","For Sittard",4,0,"H",1,0,"H",2.2,3.53,3.39,"1-0","4-0",17,9,14,3,0,0,0,0,9,4,9,5,4,13,14,"9-4","Y","Y","Y",0,0,4,0,0,0,0,52,0
"5794","N1",2024-04-02,"Vitesse","Sparta Rotterdam",1,4,"A",1,3,"A",2.79,3.54,2.55,"1-3","1-4",21,6,12,7,1,0,0,0,8,4,6,7,5,12,13,"8-4","Y","Y","Y",1,0,5,10,0,50,120,60,600
"5803","N1",2024-04-06,"Sparta Rotterdam","Heracles",1,2,"A",1,0,"H",1.67,4.24,4.95,"1-0","1-2",21,4,8,4,1,3,0,0,9,3,13,13,3,12,26,"9-3","Y","Y","N",4,0,3,40,300,120,480,36,1440
"5815","N1",2024-04-13,"Almere City","Sparta Rotterdam",2,3,"A",1,2,"A",2.79,3.44,2.61,"1-2","2-3",13,2,13,5,3,0,0,0,8,6,18,3,5,14,21,"8-6","Y","Y","Y",3,0,5,30,0,150,420,70,2100
"5827","N1",2024-04-28,"Sparta Rotterdam","Volendam",1,0,"H",0,0,"D",1.34,5.95,8.2,"0-0","1-0",10,3,10,2,1,2,0,0,5,9,7,11,1,14,18,"5-9","N","N","N",3,0,1,30,200,30,420,14,420
"5833","N1",2024-05-05,"PSV Eindhoven","Sparta Rotterdam",4,2,"H",2,2,"D",1.13,10.79,16.62,"2-2","4-2",18,7,7,1,0,1,0,0,3,4,8,9,6,7,17,"3-4","Y","Y","Y",1,0,6,10,0,60,70,42,420
"13","N1",2024-05-05,"PSV Eindhoven","Sparta Rotterdam",4,2,"H",2,2,"D",1.13,10.79,16.62,"2-2","4-2",18,7,7,1,0,1,0,0,3,4,8,9,6,7,17,"3-4","Y","Y","Y",1,0,4.08333333333333,25.4166666666667,145.833333333333,102.083333333333,271.666666666667,40.4166666666667,1045.83333333333
