"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6122","N1",2023-04-16,"Nijmegen","Vitesse",1,4,"A",0,2,"A",2.25,3.34,3.53,"0-2","1-4",13,3,14,4,3,3,0,0,7,6,11,20,5,13,31,"7-6","Y","Y","Y",6,0,5,60,900,300,780,65,3900
"6131","N1",2023-04-22,"Vitesse","Excelsior",0,0,"D",0,0,"D",1.46,4.79,7.27,"0-0","0-0",28,7,6,0,2,1,0,0,17,3,6,11,0,20,17,"17-3","N","N","N",3,0,0,30,200,0,600,0,0
"6146","N1",2023-05-07,"For Sittard","Vitesse",2,0,"H",0,0,"D",3.46,3.61,2.16,"0-0","2-0",7,4,14,2,2,1,0,0,5,8,12,11,2,13,23,"5-8","Y","N","N",3,0,2,30,200,60,390,26,780
"6151","N1",2023-05-14,"Vitesse","Cambuur",2,0,"H",0,0,"D",1.35,5.53,9.09,"0-0","2-0",14,2,10,1,2,0,1,0,4,4,11,13,2,8,24,"4-4","Y","N","N",2,1,2,45,0,90,360,16,720
"6163","N1",2023-05-21,"Vitesse","Groningen",6,0,"H",2,0,"H",1.45,5.13,6.72,"2-0","6-0",30,13,8,1,1,0,0,1,2,2,5,5,6,4,10,"2-2","Y","Y","Y",1,1,6,35,250,210,140,24,840
"6167","N1",2023-05-28,"Feyenoord","Vitesse",0,1,"A",0,1,"A",1.3,6.5,8.73,"0-1","0-1",27,9,14,7,0,2,0,0,11,5,1,12,1,16,13,"11-5","N","N","N",2,0,1,20,0,20,320,16,320
"6124","N1",2023-04-16,"Volendam","PSV Eindhoven",2,3,"A",0,2,"A",10.01,6.39,1.28,"0-2","2-3",11,3,8,5,1,3,0,0,3,2,8,9,5,5,17,"3-2","Y","Y","Y",4,0,5,40,300,200,200,25,1000
"6134","N1",2023-04-23,"PSV Eindhoven","Ajax",3,0,"H",1,0,"H",2.4,3.77,2.9,"1-0","3-0",11,4,8,2,1,3,0,0,5,5,17,11,3,10,28,"5-5","Y","Y","N",4,0,3,40,300,120,400,30,1200
"6139","N1",2023-05-06,"Sparta Rotterdam","PSV Eindhoven",0,1,"A",0,0,"D",5.97,4.57,1.55,"0-0","0-1",5,0,21,4,1,1,0,0,2,4,7,15,1,6,22,"2-4","N","N","N",2,0,1,20,100,20,120,6,120
"6154","N1",2023-05-14,"PSV Eindhoven","For Sittard",2,1,"H",1,1,"D",1.11,11.67,20.6,"1-1","2-1",22,7,4,0,1,3,0,0,14,1,7,7,3,15,14,"14-1","Y","Y","N",4,0,3,40,300,120,600,45,1800
"6161","N1",2023-05-21,"PSV Eindhoven","Heerenveen",3,3,"D",1,2,"A",1.23,7.27,11.9,"1-2","3-3",22,5,13,6,3,2,0,0,9,6,9,11,6,15,20,"9-6","Y","Y","Y",5,0,6,50,600,300,750,90,4500
"6165","N1",2023-05-28,"AZ Alkmaar","PSV Eindhoven",1,2,"A",0,0,"D",2.72,3.8,2.52,"0-0","1-2",9,6,7,2,2,5,0,1,2,4,10,17,3,6,27,"2-4","Y","Y","N",7,1,3,95,1500,285,570,18,1710
"13","N1",2023-05-28,"AZ Alkmaar","PSV Eindhoven",1,2,"A",0,0,"D",2.72,3.8,2.52,"0-0","1-2",9,6,7,2,2,5,0,1,2,4,10,17,3,6,27,"2-4","Y","Y","N",7,1,3.08333333333333,42.0833333333333,387.5,143.75,435.833333333333,30.0833333333333,1407.5
