"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5661","N1",2024-03-16,"Excelsior","Waalwijk",1,1,"D",1,0,"H",2.3,3.64,3.14,"1-0","1-1",18,5,16,5,1,2,0,0,7,4,11,6,2,11,17,"7-4","Y","N","N",3,0,2,30,200,60,330,22,660
"5671","N1",2024-03-30,"Waalwijk","Heerenveen",1,1,"D",0,0,"D",2.89,3.52,2.48,"0-0","1-1",9,3,10,6,1,1,0,0,4,6,10,12,2,10,22,"4-6","Y","N","N",2,0,2,20,100,40,200,20,400
"5684","N1",2024-04-04,"Waalwijk","Almere City",0,0,"D",0,0,"D",2.28,3.43,3.3,"0-0","0-0",15,3,9,0,2,1,0,0,5,6,7,16,0,11,23,"5-6","N","N","N",3,0,0,30,200,0,330,0,0
"5693","N1",2024-04-07,"Volendam","Waalwijk",3,2,"H",2,0,"H",3.71,3.87,1.97,"2-0","3-2",20,8,15,8,3,2,0,0,6,7,13,11,5,13,24,"6-7","Y","Y","Y",5,0,5,50,600,250,650,65,3250
"5697","N1",2024-04-13,"AZ Alkmaar","Waalwijk",3,2,"H",0,2,"A",1.3,6.07,9.38,"0-2","3-2",21,7,5,3,1,3,0,0,8,1,10,13,5,9,23,"8-1","Y","Y","Y",4,0,5,40,300,200,360,45,1800
"5711","N1",2024-04-28,"Waalwijk","Utrecht",2,2,"D",1,0,"H",3.26,3.71,2.19,"1-0","2-2",9,6,11,5,1,2,0,0,4,6,14,10,4,10,24,"4-6","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"5664","N1",2024-03-17,"Heerenveen","Feyenoord",2,3,"A",1,1,"D",6.28,4.87,1.5,"1-1","2-3",8,3,21,5,1,1,0,0,3,8,8,13,5,11,21,"3-8","Y","Y","Y",2,0,5,20,100,100,220,55,1100
"5674","N1",2024-03-31,"Feyenoord","Utrecht",4,2,"H",1,2,"A",1.36,5.59,8.11,"1-2","4-2",27,10,3,3,3,2,0,0,10,1,8,10,6,11,18,"10-1","Y","Y","Y",5,0,6,50,600,300,550,66,3300
"5683","N1",2024-04-04,"Volendam","Feyenoord",0,0,"D",0,0,"D",21.73,12.73,1.09,"0-0","0-0",9,1,23,10,6,2,0,0,0,6,22,5,0,6,27,"0-6","N","N","N",8,0,0,80,1200,0,480,0,0
"5691","N1",2024-04-07,"Feyenoord","Ajax",6,0,"H",3,0,"H",1.44,5.1,6.65,"3-0","6-0",30,15,1,1,0,2,0,0,9,1,9,12,6,10,21,"9-1","Y","Y","Y",2,0,6,20,0,120,200,60,1200
"5700","N1",2024-04-14,"For Sittard","Feyenoord",0,1,"A",0,1,"A",8.1,5.33,1.37,"0-1","0-1",14,3,10,3,2,3,0,0,3,6,7,15,1,9,22,"3-6","N","N","N",5,0,1,50,600,50,450,9,450
"5707","N1",2024-04-25,"Go Ahead Eagles","Feyenoord",1,3,"A",1,2,"A",5.43,4.97,1.53,"1-2","1-3",16,6,17,7,0,0,0,0,9,3,6,11,4,12,17,"9-3","Y","Y","Y",0,0,4,0,0,0,0,48,0
"13","N1",2024-04-25,"Go Ahead Eagles","Feyenoord",1,3,"A",1,2,"A",5.43,4.97,1.53,"1-2","1-3",16,6,17,7,0,0,0,0,9,3,6,11,4,12,17,"9-3","Y","Y","Y",0,0,3.33333333333333,35,341.666666666667,103.333333333333,339.166666666667,35.8333333333333,1113.33333333333
