"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3242","N1",2023-11-12,"PSV Eindhoven","Zwolle",4,0,"H",2,0,"H",1.1,12.68,22.26,"2-0","4-0",21,6,3,2,0,2,0,0,12,0,8,7,4,12,15,"12-0","Y","Y","Y",2,0,4,20,0,80,240,48,960
"3251","N1",2023-11-25,"Zwolle","Waalwijk",1,2,"A",1,1,"D",1.82,4.01,4.34,"1-1","1-2",17,6,13,4,1,2,0,0,5,8,7,12,3,13,19,"5-8","Y","Y","N",3,0,3,30,200,90,390,39,1170
"3257","N1",2023-12-02,"Volendam","Zwolle",0,5,"A",0,0,"D",2.68,3.72,2.59,"0-0","0-5",9,3,20,10,2,0,0,0,6,5,5,4,5,11,9,"6-5","Y","Y","Y",2,0,5,20,0,100,220,55,1100
"3271","N1",2023-12-09,"Zwolle","Nijmegen",1,3,"A",0,1,"A",2.34,3.69,3.04,"0-1","1-3",16,3,17,9,1,0,0,0,1,6,12,3,4,7,15,"1-6","Y","Y","Y",1,0,4,10,0,40,70,28,280
"3283","N1",2023-12-17,"Ajax","Zwolle",2,2,"D",1,0,"H",1.28,6.57,9.45,"1-0","2-2",16,5,11,4,1,3,0,0,5,0,5,10,4,5,15,"5-0","Y","Y","Y",4,0,4,40,300,160,200,20,800
"3288","N1",2024-01-13,"Zwolle","Heerenveen",2,2,"D",0,1,"A",2.67,3.74,2.59,"0-1","2-2",13,5,20,10,1,2,0,0,4,6,13,10,4,10,23,"4-6","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"3243","N1",2023-11-12,"Almere City","Ajax",2,2,"D",0,0,"D",5.43,4.87,1.56,"0-0","2-2",13,5,22,13,5,2,0,0,4,6,12,10,4,10,22,"4-6","Y","Y","Y",7,0,4,70,1000,280,700,40,2800
"3252","N1",2023-11-26,"Almere City","Heracles",0,5,"A",0,1,"A",2.01,3.85,3.68,"0-1","0-5",17,3,17,6,0,3,0,0,6,4,6,15,5,10,21,"6-4","Y","Y","Y",3,0,5,30,0,150,300,50,1500
"3256","N1",2023-12-01,"Heerenveen","Almere City",3,0,"H",2,0,"H",1.68,4.05,5.25,"2-0","3-0",15,8,13,2,1,2,0,0,7,8,6,12,3,15,18,"7-8","Y","Y","N",3,0,3,30,200,90,450,45,1350
"3272","N1",2023-12-09,"AZ Alkmaar","Almere City",4,1,"H",1,0,"H",1.19,7.88,14.68,"1-0","4-1",13,7,13,6,2,5,0,0,6,5,9,17,5,11,26,"6-5","Y","Y","Y",7,0,5,70,1000,350,770,55,3850
"3280","N1",2023-12-17,"Almere City","Vitesse",5,0,"H",2,0,"H",2.43,3.69,2.9,"2-0","5-0",11,7,7,4,0,0,0,0,6,2,16,16,5,8,32,"6-2","Y","Y","Y",0,0,5,0,0,0,0,40,0
"3290","N1",2024-01-14,"Volendam","Almere City",0,1,"A",0,1,"A",2.69,3.66,2.61,"0-1","0-1",5,2,10,2,1,1,0,0,5,4,11,12,1,9,23,"5-4","N","N","N",2,0,1,20,100,20,180,9,180
"13","N1",2024-01-14,"Volendam","Almere City",0,1,"A",0,1,"A",2.69,3.66,2.61,"0-1","0-1",5,2,10,2,1,1,0,0,5,4,11,12,1,9,23,"5-4","N","N","N",2,0,3.91666666666667,30.8333333333333,250,123.333333333333,318.333333333333,39.0833333333333,1265.83333333333
