"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5499","P1",2024-03-30,"Arouca","Farense",2,1,"H",1,0,"H",1.8,3.81,4.59,"1-0","2-1",28,17,10,4,4,3,0,1,13,4,15,13,3,17,28,"13-4","Y","Y","N",7,1,3,95,2200,285,1615,51,4845
"5508","P1",2024-04-06,"Sp Braga","Arouca",0,3,"A",0,2,"A",1.44,5.03,6.91,"0-2","0-3",17,10,11,6,1,3,0,0,10,9,11,15,3,19,26,"10-9","Y","Y","N",4,0,3,40,300,120,760,57,2280
"5519","P1",2024-04-14,"Arouca","Boavista",2,1,"H",2,0,"H",1.67,4,5.36,"2-0","2-1",14,5,8,5,3,4,0,1,1,4,17,9,3,5,26,"1-4","Y","Y","N",7,1,3,95,1950,285,475,15,1425
"5524","P1",2024-04-19,"Rio Ave","Arouca",1,1,"D",1,0,"H",2.67,3.17,2.91,"1-0","1-1",6,3,17,5,3,3,0,0,4,6,15,13,2,10,28,"4-6","Y","N","N",6,0,2,60,900,120,600,20,1200
"5533","P1",2024-04-26,"Gil Vicente","Arouca",2,2,"D",0,0,"D",2.62,3.49,2.74,"0-0","2-2",9,3,15,7,3,1,0,0,2,5,7,9,4,7,16,"2-5","Y","Y","Y",4,0,4,40,300,160,280,28,1120
"5548","P1",2024-05-05,"Arouca","Estrela",0,0,"D",0,0,"D",2.04,3.87,3.5,"0-0","0-0",21,1,7,2,1,4,0,0,6,3,13,9,0,9,22,"6-3","N","N","N",5,0,0,50,400,0,450,0,0
"5503","P1",2024-03-31,"Vizela","Casa Pia",0,4,"A",0,1,"A",2.41,3.24,3.23,"0-1","0-4",13,3,11,9,2,6,0,1,6,3,8,18,4,9,26,"6-3","Y","Y","Y",8,1,4,105,1700,420,945,36,3780
"5513","P1",2024-04-08,"Casa Pia","Estoril",0,0,"D",0,0,"D",2.79,2.88,3,"0-0","0-0",12,4,11,2,0,2,0,0,2,6,9,11,0,8,20,"2-6","N","N","N",2,0,0,20,0,0,160,0,0
"5520","P1",2024-04-14,"Portimonense","Casa Pia",2,2,"D",2,1,"H",2.83,3.08,2.81,"2-1","2-2",11,3,11,4,2,4,0,1,5,8,10,14,4,13,24,"5-8","Y","Y","Y",6,1,4,85,1300,340,1105,52,4420
"5530","P1",2024-04-21,"Casa Pia","Porto",1,2,"A",1,1,"D",9.54,4.88,1.37,"1-1","1-2",11,4,16,5,3,1,0,0,8,4,18,15,3,12,33,"8-4","Y","Y","N",4,0,3,40,300,120,480,36,1440
"5534","P1",2024-04-27,"Casa Pia","Chaves",3,1,"H",1,0,"H",2.07,3.28,4.05,"1-0","3-1",11,6,11,7,3,4,0,0,4,5,14,12,4,9,26,"4-5","Y","Y","Y",7,0,4,70,1200,280,630,36,2520
"5549","P1",2024-05-05,"Sp Braga","Casa Pia",4,3,"H",1,1,"D",1.31,5.73,9.8,"1-1","4-3",15,7,15,6,4,3,1,0,7,7,7,9,7,14,16,"7-7","Y","Y","Y",7,1,7,95,1950,665,1330,98,9310
"13","P1",2024-05-05,"Sp Braga","Casa Pia",4,3,"H",1,1,"D",1.31,5.73,9.8,"1-1","4-3",15,7,15,6,4,3,1,0,7,7,7,9,7,14,16,"7-7","Y","Y","Y",7,1,3.08333333333333,66.25,1041.66666666667,232.916666666667,735.833333333333,35.75,2695
