"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3094","P1",2023-12-03,"Boavista","Arouca",0,4,"A",0,3,"A",2.17,3.31,3.55,"0-3","0-4",8,2,12,7,5,4,1,1,8,1,12,10,4,9,22,"8-1","Y","Y","Y",9,2,4,140,4875,560,1260,36,5040
"3102","P1",2023-12-10,"Arouca","Rio Ave",2,2,"D",0,2,"A",2.19,3.32,3.69,"0-2","2-2",16,5,12,9,1,5,0,0,5,3,11,14,4,8,25,"5-3","Y","Y","Y",6,0,4,60,500,240,480,32,1920
"3107","P1",2023-12-16,"Arouca","Gil Vicente",3,0,"H",1,0,"H",1.99,3.62,4,"1-0","3-0",10,7,9,5,2,0,0,0,4,6,11,8,3,10,19,"4-6","Y","Y","N",2,0,3,20,0,60,200,30,600
"3116","P1",2023-12-28,"Estrela","Arouca",1,4,"A",1,0,"H",2.63,3.38,2.8,"1-0","1-4",6,2,18,5,0,2,1,0,3,5,6,12,5,8,18,"3-5","Y","Y","Y",2,1,5,45,500,225,360,40,1800
"3127","P1",2024-01-06,"Arouca","Benfica",0,3,"A",0,1,"A",6.3,4.85,1.5,"0-1","0-3",11,1,11,5,2,2,0,0,1,3,12,5,3,4,17,"1-3","Y","Y","N",4,0,3,40,400,120,160,12,480
"3140","P1",2024-01-15,"Guimaraes","Arouca",2,1,"H",1,1,"D",1.89,3.61,4.33,"1-1","2-1",15,6,9,2,0,3,0,0,10,1,8,7,3,11,15,"10-1","Y","Y","N",3,0,3,30,0,90,330,33,990
"3090","P1",2023-12-02,"Famalicao","Porto",0,3,"A",0,2,"A",5.17,3.84,1.64,"0-2","0-3",12,0,9,5,4,5,1,0,7,2,16,22,3,9,38,"7-2","Y","Y","N",9,1,3,115,3250,345,1035,27,3105
"3098","P1",2023-12-09,"Portimonense","Famalicao",1,1,"D",0,1,"A",2.98,3.4,2.51,"0-1","1-1",8,4,16,8,4,1,1,0,2,5,14,19,2,7,33,"2-5","Y","N","N",5,1,2,75,650,150,525,14,1050
"3111","P1",2023-12-17,"Famalicao","Estoril",1,1,"D",1,1,"D",2.26,3.56,3.28,"1-1","1-1",10,3,12,5,3,1,0,0,1,7,9,19,2,8,28,"1-7","Y","N","N",4,0,2,40,300,80,320,16,640
"3117","P1",2023-12-29,"Benfica","Famalicao",3,0,"H",1,0,"H",1.25,6.36,12.42,"1-0","3-0",17,10,12,3,2,3,0,0,6,4,21,14,3,10,35,"6-4","Y","Y","N",5,0,3,50,600,150,500,30,1500
"3130","P1",2024-01-07,"Famalicao","Chaves",2,2,"D",2,1,"H",1.79,3.8,4.79,"2-1","2-2",17,7,10,5,3,2,0,0,5,8,17,23,4,13,40,"5-8","Y","Y","Y",5,0,4,50,600,200,650,52,2600
"3133","P1",2024-01-13,"Casa Pia","Famalicao",0,2,"A",0,1,"A",2.58,3.1,3.16,"0-1","0-2",8,1,13,4,1,1,1,0,6,3,13,15,2,9,28,"6-3","Y","N","N",2,1,2,45,350,90,405,18,810
"13","P1",2024-01-13,"Casa Pia","Famalicao",0,2,"A",0,1,"A",2.58,3.1,3.16,"0-1","0-2",8,1,13,4,1,1,1,0,6,3,13,15,2,9,28,"6-3","Y","N","N",2,1,3.16666666666667,59.1666666666667,1002.08333333333,192.5,518.75,28.3333333333333,1711.25
