"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5819","P1",2023-04-23,"Benfica","Estoril",1,0,"H",1,0,"H",1.11,10.13,29.51,"1-0","1-0",19,5,4,0,2,2,0,0,11,2,18,16,1,13,34,"11-2","N","N","N",4,0,1,40,400,40,520,13,520
"5828","P1",2023-04-29,"Gil Vicente","Benfica",0,2,"A",0,0,"D",9.82,5.63,1.33,"0-0","0-2",13,5,17,7,3,2,0,0,7,11,17,8,2,18,25,"7-11","Y","N","N",5,0,2,50,600,100,900,36,1800
"5835","P1",2023-05-06,"Benfica","Sp Braga",1,0,"H",0,0,"D",1.57,4.52,5.77,"0-0","1-0",20,4,5,0,3,4,0,0,7,1,8,10,1,8,18,"7-1","N","N","N",7,0,1,70,1200,70,560,8,560
"5844","P1",2023-05-13,"Portimonense","Benfica",1,5,"A",1,3,"A",12.71,6.48,1.24,"1-3","1-5",5,1,24,10,2,1,0,0,3,5,12,12,6,8,24,"3-5","Y","Y","Y",3,0,6,30,200,180,240,48,1440
"5858","P1",2023-05-21,"Sp Lisbon","Benfica",2,2,"D",2,0,"H",2.73,3.58,2.62,"2-0","2-2",13,7,19,4,2,2,0,0,7,7,13,15,4,14,28,"7-7","Y","Y","Y",4,0,4,40,400,160,560,56,2240
"5864","P1",2023-05-27,"Benfica","Santa Clara",3,0,"H",2,0,"H",1.06,15.54,37.49,"2-0","3-0",9,4,9,6,1,1,0,0,4,4,14,14,3,8,28,"4-4","Y","Y","N",2,0,3,20,100,60,160,24,480
"58191","P1",2023-04-23,"Benfica","Estoril",1,0,"H",1,0,"H",1.11,10.13,29.51,"1-0","1-0",19,5,4,0,2,2,0,0,11,2,18,16,1,13,34,"11-2","N","N","N",4,0,1,40,400,40,520,13,520
"5829","P1",2023-04-30,"Estoril","Santa Clara",3,0,"H",2,0,"H",2.24,3.29,3.61,"2-0","3-0",7,3,10,3,4,3,0,0,3,4,16,14,3,7,30,"3-4","Y","Y","N",7,0,3,70,1200,210,490,21,1470
"5834","P1",2023-05-06,"Boavista","Estoril",1,0,"H",0,0,"D",2.09,3.42,3.87,"0-0","1-0",13,3,6,2,2,4,1,0,6,3,13,12,1,9,25,"6-3","N","N","N",6,1,1,85,1800,85,765,9,765
"5849","P1",2023-05-15,"Estoril","Arouca",2,0,"H",0,0,"D",2.65,3.07,3.03,"0-0","2-0",10,4,16,4,1,2,0,0,4,2,16,23,2,6,39,"4-2","Y","N","N",3,0,2,30,200,60,180,12,360
"5856","P1",2023-05-21,"Casa Pia","Estoril",2,2,"D",0,0,"D",2.11,3.44,3.75,"0-0","2-2",25,10,12,3,5,6,0,0,3,3,11,18,4,6,29,"3-3","Y","Y","Y",11,0,4,110,3000,440,660,24,2640
"5863","P1",2023-05-27,"Estoril","Maritimo",3,1,"H",1,0,"H",2.28,3.6,3.22,"1-0","3-1",12,3,18,6,2,5,0,2,4,5,19,18,4,9,37,"4-5","Y","Y","Y",7,2,4,120,2000,480,1080,36,4320
"13","P1",2023-05-27,"Estoril","Maritimo",3,1,"H",1,0,"H",2.28,3.6,3.22,"1-0","3-1",12,3,18,6,2,5,0,2,4,5,19,18,4,9,37,"4-5","Y","Y","Y",7,2,2.66666666666667,58.75,958.333333333333,160.416666666667,552.916666666667,25,1426.25
