"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5422","P1",2025-03-29,"Estrela","Sp Lisbon",0,3,"A",0,0,"D",8.91,5.3,1.32,"0-0","0-3",7,0,13,7,7,1,2,0,3,2,18,18,3,5,36,"3-2","Y","Y","N",8,2,3,130,1200,390,650,15,1950
"5434","P1",2025-04-06,"Nacional","Estrela",0,1,"A",0,0,"D",2.11,3.17,3.84,"0-0","0-1",19,4,12,3,1,2,0,0,7,5,15,14,1,12,29,"7-5","N","N","N",3,0,1,30,200,30,360,12,360
"5444","P1",2025-04-13,"Estrela","Farense",0,1,"A",0,0,"D",2.75,3.09,2.76,"0-0","0-1",13,3,10,5,1,0,0,0,7,3,22,11,1,10,33,"7-3","N","N","N",1,0,1,10,0,10,100,10,100
"5454","P1",2025-04-19,"Arouca","Estrela",1,0,"H",0,0,"D",1.97,3.31,4.13,"0-0","1-0",19,6,8,4,4,4,0,0,4,4,17,16,1,8,33,"4-4","N","N","N",8,0,1,80,1600,80,640,8,640
"5460","P1",2025-04-26,"Estrela","Porto",2,0,"H",1,0,"H",6.59,4.08,1.52,"1-0","2-0",11,5,12,3,5,3,0,0,5,11,17,14,2,16,31,"5-11","Y","N","N",8,0,2,80,1500,160,1280,32,2560
"5473","P1",2025-05-05,"Rio Ave","Estrela",2,0,"H",0,0,"D",2.39,3.28,3.08,"0-0","2-0",19,6,8,3,4,6,0,0,5,3,17,16,2,8,33,"5-3","Y","N","N",10,0,2,100,2400,200,800,16,1600
"5424","P1",2025-03-30,"Famalicao","AVS",4,1,"H",0,0,"D",1.76,3.53,4.96,"0-0","4-1",16,4,6,1,2,2,0,0,4,2,15,21,5,6,36,"4-2","Y","Y","Y",4,0,5,40,400,200,240,30,1200
"5430","P1",2025-04-04,"AVS","Estoril",0,3,"A",0,2,"A",3.05,3.09,2.62,"0-2","0-3",9,2,14,8,3,1,0,0,4,3,13,18,3,7,31,"4-3","Y","Y","N",4,0,3,40,300,120,280,21,840
"5446","P1",2025-04-13,"Sp Braga","AVS",4,1,"H",3,1,"H",1.36,4.86,8.74,"3-1","4-1",18,8,4,2,2,2,0,0,7,3,13,8,5,10,21,"7-3","Y","Y","Y",4,0,5,40,400,200,400,50,2000
"5452","P1",2025-04-19,"AVS","Casa Pia",1,1,"D",1,0,"H",3.03,3.12,2.51,"1-0","1-1",10,3,6,4,7,2,0,0,3,4,14,11,2,7,25,"3-4","Y","N","N",9,0,2,90,1400,180,630,14,1260
"5462","P1",2025-04-27,"Benfica","AVS",6,0,"H",4,0,"H",1.08,11.18,22.76,"4-0","6-0",23,11,10,3,1,3,0,0,10,4,11,12,6,14,23,"10-4","Y","Y","Y",4,0,6,40,300,240,560,84,3360
"5474","P1",2025-05-05,"AVS","Boavista",1,2,"A",0,0,"D",2.09,3.4,3.6,"0-0","1-2",13,5,14,3,4,2,0,0,4,5,21,12,3,9,33,"4-5","Y","Y","N",6,0,3,60,800,180,540,27,1620
"13","P1",2025-05-05,"AVS","Boavista",1,2,"A",0,0,"D",2.09,3.4,3.6,"0-0","1-2",13,5,14,3,4,2,0,0,4,5,21,12,3,9,33,"4-5","Y","Y","N",6,0,2.83333333333333,61.6666666666667,875,165.833333333333,540,26.5833333333333,1457.5
