"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4111","P1",2023-01-31,"Pacos Ferreira","Gil Vicente",2,1,"H",1,0,"H",3.25,3.28,2.41,"1-0","2-1",21,8,10,4,2,2,0,0,11,12,14,12,3,23,26,"11-12","Y","Y","N",4,0,3,40,400,120,920,69,2760
"4121","P1",2023-02-05,"Gil Vicente","Arouca",1,1,"D",1,1,"D",2.31,3.32,3.4,"1-1","1-1",17,7,12,6,2,3,0,0,13,4,14,10,2,17,24,"13-4","Y","N","N",5,0,2,50,600,100,850,34,1700
"4128","P1",2023-02-12,"Famalicao","Gil Vicente",0,1,"A",0,0,"D",2.25,3.31,3.55,"0-0","0-1",16,3,16,3,1,6,0,0,4,6,17,24,1,10,41,"4-6","N","N","N",7,0,1,70,600,70,700,10,700
"4133","P1",2023-02-17,"Gil Vicente","Vizela",1,1,"D",0,0,"D",2.51,3.44,2.95,"0-0","1-1",16,6,13,4,5,4,1,0,10,2,16,11,2,12,27,"10-2","Y","N","N",9,1,2,115,3000,230,1380,24,2760
"4148","P1",2023-02-26,"Porto","Gil Vicente",1,2,"A",1,2,"A",1.21,7.5,13.21,"1-2","1-2",11,4,9,4,5,5,2,0,3,0,9,8,3,3,17,"3-0","Y","Y","N",10,2,3,150,5000,450,450,9,1350
"4156","P1",2023-03-05,"Gil Vicente","Maritimo",2,0,"H",1,0,"H",1.91,3.64,4.33,"1-0","2-0",11,5,19,6,3,3,0,0,12,8,16,11,2,20,27,"12-8","Y","N","N",6,0,2,60,900,120,1200,40,2400
"4114","P1",2023-02-01,"Sp Lisbon","Sp Braga",5,0,"H",1,0,"H",2,3.75,3.82,"1-0","5-0",22,9,4,4,1,2,0,1,10,1,13,13,5,11,26,"10-1","Y","Y","Y",3,1,5,55,450,275,605,55,3025
"4123","P1",2023-02-06,"Rio Ave","Sp Lisbon",0,1,"A",0,0,"D",7.41,4.48,1.47,"0-0","0-1",5,1,8,1,1,3,0,0,4,2,10,14,1,6,24,"4-2","N","N","N",4,0,1,40,300,40,240,6,240
"4129","P1",2023-02-12,"Sp Lisbon","Porto",1,2,"A",0,0,"D",2.76,3.41,2.69,"0-0","1-2",15,5,10,3,4,1,0,0,8,4,11,12,3,12,23,"8-4","Y","Y","N",5,0,3,50,400,150,600,36,1800
"4140","P1",2023-02-20,"Chaves","Sp Lisbon",2,3,"A",1,1,"D",6.1,4.9,1.49,"1-1","2-3",13,5,16,8,2,3,0,0,4,4,13,16,5,8,29,"4-4","Y","Y","Y",5,0,5,50,600,250,400,40,2000
"4149","P1",2023-02-27,"Sp Lisbon","Estoril",2,0,"H",1,0,"H",1.21,6.72,14.49,"1-0","2-0",17,8,3,0,0,0,0,0,14,5,9,6,2,19,15,"14-5","Y","N","N",0,0,2,0,0,0,0,38,0
"4154","P1",2023-03-04,"Portimonense","Sp Lisbon",0,1,"A",0,0,"D",8.52,4.95,1.4,"0-0","0-1",6,4,21,7,4,2,0,0,3,7,10,15,1,10,25,"3-7","N","N","N",6,0,1,60,800,60,600,10,600
"13","P1",2023-03-04,"Portimonense","Sp Lisbon",0,1,"A",0,0,"D",8.52,4.95,1.4,"0-0","0-1",6,4,21,7,4,2,0,0,3,7,10,15,1,10,25,"3-7","N","N","N",6,0,2.5,61.6666666666667,1087.5,155.416666666667,662.083333333333,30.9166666666667,1611.25
