"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4614","P1",2023-02-18,"Estoril","Pacos Ferreira",1,3,"A",0,2,"A",2.1,3.28,4.05,"0-2","1-3",13,4,17,5,0,3,0,0,5,7,16,19,4,12,35,"5-7","Y","Y","Y",3,0,4,30,0,120,360,48,1440
"4627","P1",2023-02-26,"Pacos Ferreira","Boavista",1,3,"A",0,1,"A",2.79,3.18,2.83,"0-1","1-3",15,6,12,4,4,7,0,0,9,10,17,19,4,19,36,"9-10","Y","Y","Y",11,0,4,110,2800,440,2090,76,8360
"4639","P1",2023-03-06,"Casa Pia","Pacos Ferreira",2,1,"H",0,1,"A",2.08,3.3,3.98,"0-1","2-1",9,4,14,2,3,2,0,0,4,2,14,20,3,6,34,"4-2","Y","Y","N",5,0,3,50,600,150,300,18,900
"4642","P1",2023-03-11,"Pacos Ferreira","Santa Clara",1,0,"H",0,0,"D",2.5,3.24,3.14,"0-0","1-0",15,4,11,4,5,6,0,0,9,2,15,13,1,11,28,"9-2","N","N","N",11,0,1,110,3000,110,1210,11,1210
"4651","P1",2023-03-18,"Arouca","Pacos Ferreira",1,1,"D",0,0,"D",2.17,3.3,3.79,"0-0","1-1",17,5,14,4,3,3,0,0,6,7,16,14,2,13,30,"6-7","Y","N","N",6,0,2,60,900,120,780,26,1560
"4659","P1",2023-04-01,"Guimaraes","Pacos Ferreira",0,0,"D",0,0,"D",1.99,3.53,4.12,"0-0","0-0",17,3,9,4,2,5,0,1,5,4,19,11,0,9,30,"5-4","N","N","N",7,1,0,95,1500,0,855,0,0
"4617","P1",2023-02-19,"Santa Clara","Famalicao",1,3,"A",0,0,"D",3.09,3.04,2.66,"0-0","1-3",16,7,17,7,2,3,1,1,3,6,22,19,4,9,41,"3-6","Y","Y","Y",5,2,4,100,2475,400,900,36,3600
"4622","P1",2023-02-24,"Famalicao","Portimonense",1,0,"H",0,0,"D",1.86,3.48,4.86,"0-0","1-0",21,6,17,7,1,3,1,0,7,8,20,16,1,15,36,"7-8","N","N","N",4,1,1,65,1050,65,975,15,975
"4632","P1",2023-03-03,"Benfica","Famalicao",2,0,"H",1,0,"H",1.16,8.13,19.16,"1-0","2-0",19,7,7,0,1,3,0,0,7,2,13,13,2,9,26,"7-2","Y","N","N",4,0,2,40,300,80,360,18,720
"4648","P1",2023-03-13,"Famalicao","Casa Pia",1,0,"H",1,0,"H",2.18,3.23,3.77,"1-0","1-0",16,4,11,2,4,3,0,0,3,5,14,15,1,8,29,"3-5","N","N","N",7,0,1,70,1200,70,560,8,560
"4656","P1",2023-03-19,"Boavista","Famalicao",1,2,"A",0,0,"D",2.5,3.1,3.28,"0-0","1-2",16,6,7,3,1,1,0,0,9,1,29,15,3,10,44,"9-1","Y","Y","N",2,0,3,20,100,60,200,30,600
"4665","P1",2023-04-03,"Famalicao","Arouca",0,1,"A",0,0,"D",2.02,3.28,4.26,"0-0","0-1",18,1,9,2,1,1,0,0,7,1,11,17,1,8,28,"7-1","N","N","N",2,0,1,20,100,20,160,8,160
"13","P1",2023-04-03,"Famalicao","Arouca",0,1,"A",0,0,"D",2.02,3.28,4.26,"0-0","0-1",18,1,9,2,1,1,0,0,7,1,11,17,1,8,28,"7-1","N","N","N",2,0,2.16666666666667,64.1666666666667,1168.75,136.25,729.166666666667,24.5,1673.75
