"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5484","P1",2023-04-02,"Porto","Portimonense",1,0,"H",1,0,"H",1.17,8.36,16.91,"1-0","1-0",17,6,6,0,2,3,0,1,10,3,15,12,1,13,27,"10-3","N","N","N",5,1,1,75,1100,75,975,13,975
"5492","P1",2023-04-08,"Portimonense","Rio Ave",2,2,"D",0,1,"A",2.72,3.03,3.04,"0-1","2-2",17,6,18,8,5,1,0,0,8,4,21,14,4,12,35,"8-4","Y","Y","Y",6,0,4,60,500,240,720,48,2880
"5497","P1",2023-04-15,"Estoril","Portimonense",0,1,"A",0,0,"D",2.36,3.19,3.45,"0-0","0-1",13,3,15,5,0,4,0,0,10,5,14,14,1,15,28,"10-5","N","N","N",4,0,1,40,0,40,600,15,600
"5509","P1",2023-04-23,"Portimonense","Gil Vicente",1,0,"H",0,0,"D",2.63,3.28,2.92,"0-0","1-0",10,4,20,4,1,2,0,0,1,12,12,8,1,13,20,"1-12","N","N","N",3,0,1,30,200,30,390,13,390
"5516","P1",2023-04-29,"Sp Braga","Portimonense",4,1,"H",3,1,"H",1.26,6.15,12.45,"3-1","4-1",18,11,8,2,1,5,0,0,4,0,9,12,5,4,21,"4-0","Y","Y","Y",6,0,5,60,500,300,240,20,1200
"5523","P1",2023-05-05,"Casa Pia","Portimonense",1,1,"D",0,0,"D",2.15,3.21,3.96,"0-0","1-1",17,3,10,2,2,0,0,0,4,4,18,11,2,8,29,"4-4","Y","N","N",2,0,2,20,0,40,160,16,320
"5483","P1",2023-04-02,"Rio Ave","Benfica",0,1,"A",0,0,"D",9.8,5.1,1.36,"0-0","0-1",10,4,12,5,3,3,0,0,3,6,12,17,1,9,29,"3-6","N","N","N",6,0,1,60,900,60,540,9,540
"5488","P1",2023-04-07,"Benfica","Porto",1,2,"A",1,1,"D",1.93,3.53,4.35,"1-1","1-2",7,1,7,3,3,5,0,0,4,5,13,15,3,9,28,"4-5","Y","Y","N",8,0,3,80,1500,240,720,27,2160
"5499","P1",2023-04-15,"Chaves","Benfica",1,0,"H",0,0,"D",9.74,5.77,1.32,"0-0","1-0",9,2,19,4,4,0,0,0,3,19,13,7,1,22,20,"3-19","N","N","N",4,0,1,40,0,40,880,22,880
"5510","P1",2023-04-23,"Benfica","Estoril",1,0,"H",1,0,"H",1.11,10.13,29.51,"1-0","1-0",19,5,4,0,2,2,0,0,11,2,18,16,1,13,34,"11-2","N","N","N",4,0,1,40,400,40,520,13,520
"5519","P1",2023-04-29,"Gil Vicente","Benfica",0,2,"A",0,0,"D",9.82,5.63,1.33,"0-0","0-2",13,5,17,7,3,2,0,0,7,11,17,8,2,18,25,"7-11","Y","N","N",5,0,2,50,600,100,900,36,1800
"5526","P1",2023-05-06,"Benfica","Sp Braga",1,0,"H",0,0,"D",1.57,4.52,5.77,"0-0","1-0",20,4,5,0,3,4,0,0,7,1,8,10,1,8,18,"7-1","N","N","N",7,0,1,70,1200,70,560,8,560
"13","P1",2023-05-06,"Benfica","Sp Braga",1,0,"H",0,0,"D",1.57,4.52,5.77,"0-0","1-0",20,4,5,0,3,4,0,0,7,1,8,10,1,8,18,"7-1","N","N","N",7,0,1.91666666666667,52.0833333333333,575,106.25,600.416666666667,20,1068.75
